phase,horizon_h,subset,response_group,family,observed,n,failures,hits,mae_m,bias_m,absolute_error_sum_m,maximum_error_m
validation,5,all,decrease_gt_0.5m,augmented,461,461,0,449,0.10083242237069649,0.06502170473240669,46.48374671289108,0.7764834866097847
validation,5,all,within_0.5m,augmented,5360,5360,0,5311,0.07192301709368944,0.024862281376425984,385.50737162217536,2.306793471181738
validation,5,all,unavailable_base,augmented,40,0,40,0,,,0.0,
validation,5,level_ge_7m,increase_gt_0.5m,observed_control,10,10,0,8,0.3628485831335199,0.04164734066509155,3.6284858313351993,0.7553061347974745
validation,5,level_ge_7m,decrease_gt_0.5m,observed_control,7,7,0,7,0.09588254401913966,0.024771724357117466,0.6711778081339776,0.288402695671504
validation,5,level_ge_7m,within_0.5m,observed_control,11,11,0,10,0.19234329006791223,-0.029637716458606436,2.1157761907470345,0.5482347611757703
validation,5,level_ge_7m,unavailable_base,observed_control,0,0,0,0,,,0.0,
validation,5,level_ge_7m,increase_gt_0.5m,augmented,10,10,0,8,0.37781788967007046,0.3750435083757785,3.7781788967007044,1.2353311810489425
validation,5,level_ge_7m,decrease_gt_0.5m,augmented,7,7,0,7,0.18788121071788197,0.18788121071788197,1.3151684750251738,0.45664200485176565
validation,5,level_ge_7m,within_0.5m,augmented,11,11,0,10,0.3653279342547661,0.32194818975915174,4.0186072768024275,0.7571424414817152
validation,5,level_ge_7m,unavailable_base,augmented,0,0,0,0,,,0.0,
validation,6,all,increase_gt_0.5m,observed_control,773,773,0,692,0.204869099990986,-0.08586184092066929,158.36381429303216,2.0157117770796145
validation,6,all,decrease_gt_0.5m,observed_control,604,604,0,576,0.1329549907898766,0.0877655622938366,80.30481443708547,0.8203103383192469
validation,6,all,within_0.5m,observed_control,5095,5095,0,5054,0.07966970250571055,0.022715459449169334,405.91713426659527,1.311924910419159
validation,6,all,unavailable_base,observed_control,40,0,40,0,,,0.0,
validation,6,all,increase_gt_0.5m,augmented,773,773,0,699,0.22107697835955728,-0.03982308920476559,170.89250427193778,2.7535370106891737
validation,6,all,decrease_gt_0.5m,augmented,604,604,0,571,0.1385780928331884,0.09616238474950324,83.70116807124579,1.0208737772323686
validation,6,all,within_0.5m,augmented,5095,5095,0,5024,0.08342865404858255,0.033109462567768554,425.06899237752805,2.4104332454653585
validation,6,all,unavailable_base,augmented,40,0,40,0,,,0.0,
validation,6,level_ge_7m,increase_gt_0.5m,observed_control,12,12,0,8,0.3834983014726098,-0.04149343856902473,4.601979617671318,1.0962896884715265
validation,6,level_ge_7m,decrease_gt_0.5m,observed_control,6,6,0,6,0.056073429147849,-0.009385241102570477,0.336440574887094,0.09424353085643666
validation,6,level_ge_7m,within_0.5m,observed_control,10,10,0,10,0.2305514274839348,-0.07269910934252888,2.3055142748393482,0.3761309810846143
validation,6,level_ge_7m,unavailable_base,observed_control,0,0,0,0,,,0.0,
validation,6,level_ge_7m,increase_gt_0.5m,augmented,12,12,0,5,0.6718990101769163,0.5550420393482828,8.062788122122996,2.106793462509512
validation,6,level_ge_7m,decrease_gt_0.5m,augmented,6,6,0,6,0.2880361663712884,0.2880361663712884,1.7282169982277304,0.46642408666011725
validation,6,level_ge_7m,within_0.5m,augmented,10,10,0,7,0.508504866030029,0.508504866030029,5.08504866030029,1.0505987716880565
validation,6,level_ge_7m,unavailable_base,augmented,0,0,0,0,,,0.0,
validation,7,all,increase_gt_0.5m,observed_control,865,865,0,748,0.2390867786835482,0.006779015185086079,206.81006356126917,2.794810940153507
validation,7,all,decrease_gt_0.5m,observed_control,731,731,0,679,0.1789333907152564,0.1449610951665657,130.80030861285243,1.1058393763627175
validation,7,all,within_0.5m,observed_control,4875,4875,0,4732,0.11222692438802952,0.05460357472970538,547.1062563916439,1.6739539719153917
validation,7,all,unavailable_base,observed_control,40,0,40,0,,,0.0,
validation,7,all,increase_gt_0.5m,augmented,865,865,0,764,0.247954691546685,-0.023618204945754874,214.48080818788253,3.5232943603510334
validation,7,all,decrease_gt_0.5m,augmented,731,731,0,682,0.1811348818976192,0.14983690409195183,132.40959866715963,1.9536333886730655
validation,7,all,within_0.5m,augmented,4875,4875,0,4661,0.13557151082657878,0.07181341305091081,660.9111152795716,2.8385119512651382
validation,7,all,unavailable_base,augmented,40,0,40,0,,,0.0,
validation,7,level_ge_7m,increase_gt_0.5m,observed_control,12,12,0,7,0.5526419413891607,0.41821951935504065,6.6317032966699285,2.6556568259868305
validation,7,level_ge_7m,decrease_gt_0.5m,observed_control,6,6,0,5,0.23186526786908557,0.19447597575330677,1.3911916072145134,0.5146063430760517
validation,7,level_ge_7m,within_0.5m,observed_control,10,10,0,6,0.3947151573904767,0.3046620521817376,3.947151573904767,0.8794016971017911
validation,7,level_ge_7m,unavailable_base,observed_control,0,0,0,0,,,0.0,
validation,7,level_ge_7m,increase_gt_0.5m,augmented,12,12,0,4,0.8084451307486353,0.7678904707635117,9.701341568983624,3.5232943603510334
validation,7,level_ge_7m,decrease_gt_0.5m,augmented,6,6,0,5,0.3812979770140177,0.3812979770140177,2.287787862084106,0.5412311735223181
validation,7,level_ge_7m,within_0.5m,augmented,10,10,0,4,0.4881853033095439,0.25779693210507554,4.881853033095439,0.8552595447146736
validation,7,level_ge_7m,unavailable_base,augmented,0,0,0,0,,,0.0,
validation,8,all,increase_gt_0.5m,observed_control,934,934,0,802,0.27066019828172405,-0.027814007450901523,252.79662519513028,2.692538070308298
validation,8,all,decrease_gt_0.5m,observed_control,868,868,0,766,0.2236001207681818,0.18971602902369133,194.0849048267818,1.3224031874413509
validation,8,all,within_0.5m,observed_control,4668,4668,0,4412,0.1451396857692531,0.06761093572709627,677.5120531708734,1.9544464339815963
validation,8,all,unavailable_base,observed_control,40,0,40,0,,,0.0,
validation,8,all,increase_gt_0.5m,augmented,934,934,0,797,0.2889145433015104,-0.024613528239683626,269.8461834436107,3.854638321845154
validation,8,all,decrease_gt_0.5m,augmented,868,868,0,772,0.2282949353749616,0.1910745477798999,198.16000390546665,2.959772619711451
validation,8,all,within_0.5m,augmented,4668,4668,0,4386,0.16788324253085712,0.09291316713371318,783.678976134041,3.387219422088554
validation,8,all,unavailable_base,augmented,40,0,40,0,,,0.0,
validation,8,level_ge_7m,increase_gt_0.5m,observed_control,13,13,0,9,0.6220356694441224,0.461008515037571,8.08646370277359,2.5050304061770072
validation,8,level_ge_7m,decrease_gt_0.5m,observed_control,6,6,0,5,0.32604087591222813,0.32604087591222813,1.9562452554733687,0.7787426317145769
validation,8,level_ge_7m,within_0.5m,observed_control,9,9,0,6,0.40307851007744827,0.20320505942966272,3.6277065906970343,0.7447995597774355
validation,8,level_ge_7m,unavailable_base,observed_control,0,0,0,0,,,0.0,
validation,8,level_ge_7m,increase_gt_0.5m,augmented,13,13,0,3,1.120639556066838,1.120639556066838,14.568314228868896,3.2509934262678986
validation,8,level_ge_7m,decrease_gt_0.5m,augmented,6,6,0,4,0.578979589350393,0.578979589350393,3.473877536102358,1.065903702214083
validation,8,level_ge_7m,within_0.5m,augmented,9,9,0,4,0.57616151512129,0.45671565887551147,5.18545363609161,1.1844688843652307
validation,8,level_ge_7m,unavailable_base,augmented,0,0,0,0,,,0.0,
validation,9,all,increase_gt_0.5m,observed_control,989,989,0,829,0.3014127759252235,-0.02277702820126898,298.097235390046,3.5173872091375897
validation,9,all,decrease_gt_0.5m,observed_control,981,981,0,813,0.2786521257043749,0.24610202776257034,273.3577353159918,1.956957320537746
validation,9,all,within_0.5m,observed_control,4500,4500,0,4220,0.17459724896031545,0.09060634387364495,785.6876203214196,2.49506439984489
validation,9,all,unavailable_base,observed_control,39,0,39,0,,,0.0,
validation,9,all,increase_gt_0.5m,augmented,989,989,0,811,0.351289263659782,-0.014233436329669917,347.4250817595244,4.669264540868721
validation,9,all,decrease_gt_0.5m,augmented,981,981,0,816,0.27361002019802616,0.23566790736586601,268.41142981426367,4.229810074748349
validation,9,all,within_0.5m,augmented,4500,4500,0,4177,0.20273178493543817,0.10882448406351909,912.2930322094718,4.71597637784684
validation,9,all,unavailable_base,augmented,39,0,39,0,,,0.0,
validation,9,level_ge_7m,increase_gt_0.5m,observed_control,15,15,0,9,0.6583555160294235,0.5520792451164308,9.875332740441353,2.1405087524778477
validation,9,level_ge_7m,decrease_gt_0.5m,observed_control,5,5,0,4,0.4657034393080487,0.4657034393080487,2.3285171965402434,1.0672994740448605
validation,9,level_ge_7m,within_0.5m,observed_control,8,8,0,4,0.6079905283395579,0.2775617270716322,4.863924226716463,1.11830934633816
validation,9,level_ge_7m,unavailable_base,observed_control,0,0,0,0,,,0.0,
validation,9,level_ge_7m,increase_gt_0.5m,augmented,15,15,0,5,1.348257598143621,1.2869017744754931,20.223863972154312,3.0095583032725717
validation,9,level_ge_7m,decrease_gt_0.5m,augmented,5,5,0,0,0.7609225418018255,0.7609225418018255,3.8046127090091275,1.0715557726859988
validation,9,level_ge_7m,within_0.5m,augmented,8,8,0,3,0.64935098882967,0.46797105707920195,5.19480791063736,1.2684923710113605
validation,9,level_ge_7m,unavailable_base,augmented,0,0,0,0,,,0.0,
validation,10,all,increase_gt_0.5m,observed_control,1044,1044,0,839,0.35294723399916184,-0.003488888966050776,368.476912295125,3.441071344514551
validation,10,all,decrease_gt_0.5m,observed_control,1054,1054,0,817,0.3228829001359083,0.2925165233704417,340.3185767432474,2.0574567177798393
validation,10,all,within_0.5m,observed_control,4370,4370,0,3948,0.22968543085862367,0.0914304880573751,1003.7253328521854,2.642020092664189
validation,10,all,unavailable_base,observed_control,40,0,40,0,,,0.0,
validation,10,all,increase_gt_0.5m,augmented,1044,1044,0,798,0.4023855855335454,-0.03222011064755452,420.0905512970214,3.787931090205899
validation,10,all,decrease_gt_0.5m,augmented,1054,1054,0,852,0.29032377168034,0.2505486802761932,306.0012553510784,2.6707622322758677
validation,10,all,within_0.5m,augmented,4370,4370,0,3910,0.2626112338860564,0.09843755260047071,1147.6110920820665,3.552655846132455
validation,10,all,unavailable_base,augmented,40,0,40,0,,,0.0,
validation,10,level_ge_7m,increase_gt_0.5m,observed_control,15,15,0,4,0.934633402438914,0.907189072707333,14.01950103658371,1.6643311821088886
validation,10,level_ge_7m,decrease_gt_0.5m,observed_control,5,5,0,3,0.48087253760998633,0.48087253760998633,2.4043626880499316,0.9886161723623061
validation,10,level_ge_7m,within_0.5m,observed_control,8,8,0,4,0.6203019838743131,0.30835042136991664,4.962415870994505,0.9750348644685438
validation,10,level_ge_7m,unavailable_base,observed_control,0,0,0,0,,,0.0,
validation,10,level_ge_7m,increase_gt_0.5m,augmented,15,15,0,3,1.6093082360358362,1.5508688737803369,24.139623540537542,3.2633612073333236
validation,10,level_ge_7m,decrease_gt_0.5m,augmented,5,5,0,2,0.6979394203506833,0.6979394203506833,3.489697101753417,1.2007578082679533
validation,10,level_ge_7m,within_0.5m,augmented,8,8,0,1,0.6938192192357937,0.2659491813398478,5.55055375388635,1.2044821867568736
validation,10,level_ge_7m,unavailable_base,augmented,0,0,0,0,,,0.0,
validation,11,all,increase_gt_0.5m,observed_control,1071,1071,0,812,0.3928096617879868,-0.010550023323012874,420.69914777493386,3.5610869492357984
validation,11,all,decrease_gt_0.5m,observed_control,1103,1103,0,799,0.3603860269433087,0.324404865229597,397.5057877184695,2.730596832243563
validation,11,all,within_0.5m,observed_control,4294,4294,0,3741,0.27132117067839373,0.09239716287062807,1165.0531068930227,3.9782715851312767
validation,11,all,unavailable_base,observed_control,39,0,39,0,,,0.0,
validation,11,all,increase_gt_0.5m,augmented,1071,1071,0,820,0.4204866870816303,-0.020312028675199517,450.341241864426,3.933447309040913
validation,11,all,decrease_gt_0.5m,augmented,1103,1103,0,836,0.32168643177724215,0.2750646196760942,354.8201342502981,1.9406519166763028
validation,11,all,within_0.5m,augmented,4294,4294,0,3745,0.2891140130177479,0.0963165982053823,1241.4555718982097,3.3842581153536484
validation,11,all,unavailable_base,augmented,39,0,39,0,,,0.0,
validation,11,level_ge_7m,increase_gt_0.5m,observed_control,14,14,0,5,1.0922440556170174,1.0378218354623685,15.291416778638245,2.3488613754696814
validation,11,level_ge_7m,decrease_gt_0.5m,observed_control,4,4,0,1,0.7377795173006332,0.7377795173006332,2.9511180692025327,1.1286614837674005
validation,11,level_ge_7m,within_0.5m,observed_control,10,10,0,3,0.7327920531650285,0.19371866901539825,7.327920531650285,1.1281004909343295
validation,11,level_ge_7m,unavailable_base,observed_control,0,0,0,0,,,0.0,
validation,11,level_ge_7m,increase_gt_0.5m,augmented,14,14,0,1,1.6986421392501192,1.6986421392501192,23.78098994950167,3.3284713606072653
validation,11,level_ge_7m,decrease_gt_0.5m,augmented,4,4,0,1,0.8441629773340746,0.8441629773340746,3.3766519093362986,1.4023635793233584
validation,11,level_ge_7m,within_0.5m,augmented,10,10,0,3,0.7481581248650884,0.5093535375869263,7.481581248650883,1.4005925806041457
validation,11,level_ge_7m,unavailable_base,augmented,0,0,0,0,,,0.0,
validation,12,all,increase_gt_0.5m,observed_control,1084,1084,0,806,0.41914882650175256,-0.02546369432958715,454.35732792789975,3.717391928882293
