window,station,timestamp_literal,previous_timestamp_literal,elapsed_seconds,ChuvaFinal,CQ_ChuvaFinal,admissible,source_file,source_record_index
2018-09-27,86200900,2018-09-29 07:00:00,2018-09-29 02:00:00,18000.0,0.00,Dado aprovado,False,outputs/radar-insumos-observados-2018-20260922/raw/ana-86200900-2018-09-27--2018-10-06.xml,45
2018-09-27,86200900,2018-09-29 12:00:00,2018-09-29 07:00:00,18000.0,0.00,Dado aprovado,False,outputs/radar-insumos-observados-2018-20260922/raw/ana-86200900-2018-09-27--2018-10-06.xml,44
2018-09-27,86200900,2018-09-29 17:00:00,2018-09-29 12:00:00,18000.0,0.00,Dado aprovado,False,outputs/radar-insumos-observados-2018-20260922/raw/ana-86200900-2018-09-27--2018-10-06.xml,43
2018-09-27,86200900,2018-09-29 19:00:00,2018-09-29 17:00:00,7200.0,0.00,Dado aprovado,False,outputs/radar-insumos-observados-2018-20260922/raw/ana-86200900-2018-09-27--2018-10-06.xml,42
2018-09-27,86200900,2018-09-29 23:00:00,2018-09-29 20:00:00,10800.0,0.00,Dado aprovado,False,outputs/radar-insumos-observados-2018-20260922/raw/ana-86200900-2018-09-27--2018-10-06.xml,40
2018-09-27,86200900,2018-09-30 01:00:00,2018-09-29 23:00:00,7200.0,0.00,Dado aprovado,False,outputs/radar-insumos-observados-2018-20260922/raw/ana-86200900-2018-09-27--2018-10-06.xml,39
2018-09-27,86200900,2018-09-30 06:00:00,2018-09-30 01:00:00,18000.0,0.00,Dado aprovado,False,outputs/radar-insumos-observados-2018-20260922/raw/ana-86200900-2018-09-27--2018-10-06.xml,38
2018-09-27,86200900,2018-09-30 10:00:00,2018-09-30 06:00:00,14400.0,2.80,Dado aprovado,False,outputs/radar-insumos-observados-2018-20260922/raw/ana-86200900-2018-09-27--2018-10-06.xml,37
2018-09-27,86200900,2018-09-30 15:00:00,2018-09-30 10:00:00,18000.0,0.00,Dado aprovado,False,outputs/radar-insumos-observados-2018-20260922/raw/ana-86200900-2018-09-27--2018-10-06.xml,36
2018-09-27,86200900,2018-09-30 19:00:00,2018-09-30 15:00:00,14400.0,0.00,Dado aprovado,False,outputs/radar-insumos-observados-2018-20260922/raw/ana-86200900-2018-09-27--2018-10-06.xml,35
2018-09-27,86200900,2018-09-30 22:00:00,2018-09-30 19:00:00,10800.0,0.00,Dado aprovado,False,outputs/radar-insumos-observados-2018-20260922/raw/ana-86200900-2018-09-27--2018-10-06.xml,34
2018-09-27,86200900,2018-10-01 02:00:00,2018-09-30 22:00:00,14400.0,0.00,Dado aprovado,False,outputs/radar-insumos-observados-2018-20260922/raw/ana-86200900-2018-09-27--2018-10-06.xml,33
2018-09-27,86200900,2018-10-01 04:00:00,2018-10-01 02:00:00,7200.0,0.00,Dado aprovado,False,outputs/radar-insumos-observados-2018-20260922/raw/ana-86200900-2018-09-27--2018-10-06.xml,32
2018-09-27,86200900,2018-10-01 20:00:00,2018-10-01 05:00:00,54000.0,0.00,Dado aprovado,False,outputs/radar-insumos-observados-2018-20260922/raw/ana-86200900-2018-09-27--2018-10-06.xml,30
2018-09-27,86200900,2018-10-01 23:00:00,2018-10-01 20:00:00,10800.0,0.20,Dado aprovado,False,outputs/radar-insumos-observados-2018-20260922/raw/ana-86200900-2018-09-27--2018-10-06.xml,29
2018-09-27,86200900,2018-10-02 02:00:00,2018-10-01 23:00:00,10800.0,0.20,Dado aprovado,False,outputs/radar-insumos-observados-2018-20260922/raw/ana-86200900-2018-09-27--2018-10-06.xml,28
2018-09-27,86200900,2018-10-02 04:00:00,2018-10-02 02:00:00,7200.0,0.00,Dado aprovado,False,outputs/radar-insumos-observados-2018-20260922/raw/ana-86200900-2018-09-27--2018-10-06.xml,27
