window,column,name,finite,missing
2018-09-30,60,Carreiro:P1,168,0
2018-09-30,61,Carreiro:C1,168,0
2018-09-30,62,Carreiro:P3,168,0
2018-09-30,63,Carreiro:C3,168,0
2018-09-30,64,Carreiro:P6,168,0
2018-09-30,65,Carreiro:C6,168,0
2018-09-30,66,Carreiro:P12,168,0
2018-09-30,67,Carreiro:C12,168,0
2018-09-30,68,Carreiro:P24,168,0
2018-09-30,69,Carreiro:C24,168,0
2018-09-30,70,Carreiro:P48,168,0
2018-09-30,71,Carreiro:C48,168,0
2018-09-30,72,Carreiro:P3lag3,168,0
2018-09-30,73,Carreiro:P3lag6,168,0
2018-09-30,74,Carreiro:P3lag12,168,0
2018-09-30,75,Prata-Turvo:P1,0,168
2018-09-30,76,Prata-Turvo:C1,168,0
2018-09-30,77,Prata-Turvo:P3,0,168
2018-09-30,78,Prata-Turvo:C3,168,0
2018-09-30,79,Prata-Turvo:P6,0,168
2018-09-30,80,Prata-Turvo:C6,168,0
2018-09-30,81,Prata-Turvo:P12,0,168
2018-09-30,82,Prata-Turvo:C12,168,0
2018-09-30,83,Prata-Turvo:P24,0,168
2018-09-30,84,Prata-Turvo:C24,168,0
2018-09-30,85,Prata-Turvo:P48,0,168
2018-09-30,86,Prata-Turvo:C48,168,0
2018-09-30,87,Prata-Turvo:P3lag3,0,168
2018-09-30,88,Prata-Turvo:P3lag6,0,168
2018-09-30,89,Prata-Turvo:P3lag12,0,168
2018-09-30,90,Alto Antas:P1,2,166
2018-09-30,91,Alto Antas:C1,168,0
2018-09-30,92,Alto Antas:P3,0,168
2018-09-30,93,Alto Antas:C3,168,0
2018-09-30,94,Alto Antas:P6,0,168
2018-09-30,95,Alto Antas:C6,168,0
2018-09-30,96,Alto Antas:P12,0,168
2018-09-30,97,Alto Antas:C12,168,0
2018-09-30,98,Alto Antas:P24,0,168
2018-09-30,99,Alto Antas:C24,168,0
2018-09-30,100,Alto Antas:P48,0,168
2018-09-30,101,Alto Antas:C48,168,0
2018-09-30,102,Alto Antas:P3lag3,0,168
2018-09-30,103,Alto Antas:P3lag6,0,168
2018-09-30,104,Alto Antas:P3lag12,0,168
2018-09-30,105,Tainhas:P1,0,168
2018-09-30,106,Tainhas:C1,168,0
2018-09-30,107,Tainhas:P3,0,168
2018-09-30,108,Tainhas:C3,168,0
2018-09-30,109,Tainhas:P6,0,168
2018-09-30,110,Tainhas:C6,168,0
2018-09-30,111,Tainhas:P12,0,168
2018-09-30,112,Tainhas:C12,168,0
2018-09-30,113,Tainhas:P24,0,168
2018-09-30,114,Tainhas:C24,168,0
2018-09-30,115,Tainhas:P48,0,168
2018-09-30,116,Tainhas:C48,168,0
2018-09-30,117,Tainhas:P3lag3,0,168
2018-09-30,118,Tainhas:P3lag6,0,168
2018-09-30,119,Tainhas:P3lag12,0,168
