origin,feature,value
2026-07-22T11:00:00-03:00,julho:val_nivelmontante:change1,-0.029999999999986926
2026-07-22T11:00:00-03:00,julho:val_nivelmontante:slope3,0.0033333333333350388
2026-07-22T11:00:00-03:00,julho:val_nivelmontante:slope6,-0.01166666666666553
2026-07-22T11:00:00-03:00,julho:val_niveljusante:level,83.97
2026-07-22T11:00:00-03:00,julho:val_niveljusante:change1,0.14000000000000057
2026-07-22T11:00:00-03:00,julho:val_niveljusante:slope3,0.25
2026-07-22T11:00:00-03:00,julho:val_niveljusante:slope6,0.5549999999999997
2026-07-22T11:00:00-03:00,monte:val_nivelmontante:level,153.21
2026-07-22T11:00:00-03:00,monte:val_nivelmontante:change1,-0.06999999999999318
2026-07-22T11:00:00-03:00,monte:val_nivelmontante:slope3,-0.0500000000000019
2026-07-22T11:00:00-03:00,monte:val_nivelmontante:slope6,0.03166666666666629
2026-07-22T11:00:00-03:00,monte:val_niveljusante:level,119.29
2026-07-22T11:00:00-03:00,monte:val_niveljusante:change1,-0.11999999999999034
2026-07-22T11:00:00-03:00,monte:val_niveljusante:slope3,0.0500000000000019
2026-07-22T11:00:00-03:00,monte:val_niveljusante:slope6,0.30333333333333456
2026-07-22T11:00:00-03:00,castro:val_nivelmontante:level,245.65
2026-07-22T11:00:00-03:00,castro:val_nivelmontante:change1,-0.12000000000000455
2026-07-22T11:00:00-03:00,castro:val_nivelmontante:slope3,-0.08999999999999393
2026-07-22T11:00:00-03:00,castro:val_nivelmontante:slope6,0.013333333333335418
2026-07-22T11:00:00-03:00,castro:val_niveljusante:level,157.2
2026-07-22T11:00:00-03:00,castro:val_niveljusante:change1,-0.27000000000001023
2026-07-22T11:00:00-03:00,castro:val_niveljusante:slope3,-0.12000000000000455
2026-07-22T11:00:00-03:00,castro:val_niveljusante:slope6,0.06666666666666288
