window,column,finite,missing
2018-08-30,91,168,0
2018-08-30,92,0,168
2018-08-30,93,168,0
2018-08-30,94,0,168
2018-08-30,95,168,0
2018-08-30,96,0,168
2018-08-30,97,168,0
2018-08-30,98,0,168
2018-08-30,99,168,0
2018-08-30,100,0,168
2018-08-30,101,168,0
2018-08-30,102,0,168
2018-08-30,103,0,168
2018-08-30,104,0,168
2018-08-30,105,0,168
2018-08-30,106,168,0
2018-08-30,107,0,168
2018-08-30,108,168,0
2018-08-30,109,0,168
2018-08-30,110,168,0
2018-08-30,111,0,168
2018-08-30,112,168,0
2018-08-30,113,0,168
2018-08-30,114,168,0
2018-08-30,115,0,168
2018-08-30,116,168,0
2018-08-30,117,0,168
2018-08-30,118,0,168
2018-08-30,119,0,168
2018-09-30,0,165,3
2018-09-30,1,0,168
2018-09-30,2,162,6
2018-09-30,3,162,6
2018-09-30,4,162,6
2018-09-30,5,162,6
2018-09-30,6,168,0
2018-09-30,7,168,0
2018-09-30,8,168,0
2018-09-30,9,168,0
2018-09-30,10,168,0
2018-09-30,11,168,0
2018-09-30,12,0,168
2018-09-30,13,0,168
2018-09-30,14,0,168
2018-09-30,15,0,168
2018-09-30,16,0,168
2018-09-30,17,0,168
2018-09-30,18,0,168
2018-09-30,19,0,168
2018-09-30,20,0,168
2018-09-30,21,0,168
2018-09-30,22,0,168
2018-09-30,23,0,168
2018-09-30,24,168,0
2018-09-30,25,168,0
2018-09-30,26,168,0
2018-09-30,27,168,0
2018-09-30,28,168,0
2018-09-30,29,168,0
2018-09-30,30,168,0
2018-09-30,31,168,0
2018-09-30,32,168,0
2018-09-30,33,168,0
2018-09-30,34,168,0
2018-09-30,35,168,0
2018-09-30,36,168,0
2018-09-30,37,168,0
2018-09-30,38,168,0
2018-09-30,39,168,0
2018-09-30,40,168,0
2018-09-30,41,168,0
2018-09-30,42,168,0
2018-09-30,43,168,0
2018-09-30,44,168,0
2018-09-30,45,0,168
2018-09-30,46,168,0
2018-09-30,47,168,0
2018-09-30,48,168,0
2018-09-30,49,168,0
2018-09-30,50,168,0
2018-09-30,51,168,0
2018-09-30,52,168,0
2018-09-30,53,168,0
2018-09-30,54,168,0
2018-09-30,55,168,0
2018-09-30,56,168,0
2018-09-30,57,168,0
2018-09-30,58,168,0
2018-09-30,59,168,0
2018-09-30,60,168,0
2018-09-30,61,168,0
2018-09-30,62,168,0
2018-09-30,63,168,0
2018-09-30,64,168,0
2018-09-30,65,168,0
2018-09-30,66,168,0
2018-09-30,67,168,0
2018-09-30,68,168,0
2018-09-30,69,168,0
2018-09-30,70,168,0
2018-09-30,71,168,0
2018-09-30,72,168,0
2018-09-30,73,168,0
2018-09-30,74,168,0
2018-09-30,75,0,168
2018-09-30,76,168,0
2018-09-30,77,0,168
2018-09-30,78,168,0
2018-09-30,79,0,168
2018-09-30,80,168,0
2018-09-30,81,0,168
2018-09-30,82,168,0
2018-09-30,83,0,168
2018-09-30,84,168,0
2018-09-30,85,0,168
2018-09-30,86,168,0
2018-09-30,87,0,168
2018-09-30,88,0,168
2018-09-30,89,0,168
2018-09-30,90,2,166
2018-09-30,91,168,0
2018-09-30,92,0,168
2018-09-30,93,168,0
2018-09-30,94,0,168
2018-09-30,95,168,0
2018-09-30,96,0,168
2018-09-30,97,168,0
2018-09-30,98,0,168
2018-09-30,99,168,0
2018-09-30,100,0,168
2018-09-30,101,168,0
2018-09-30,102,0,168
2018-09-30,103,0,168
2018-09-30,104,0,168
2018-09-30,105,0,168
2018-09-30,106,168,0
2018-09-30,107,0,168
2018-09-30,108,168,0
2018-09-30,109,0,168
2018-09-30,110,168,0
2018-09-30,111,0,168
2018-09-30,112,168,0
2018-09-30,113,0,168
2018-09-30,114,168,0
2018-09-30,115,0,168
2018-09-30,116,168,0
2018-09-30,117,0,168
2018-09-30,118,0,168
2018-09-30,119,0,168
