plant,variable,previous_timestamp,timestamp,previous_value_m,value_m,delta_m,elapsed_hours,rate_m_per_hour,previous_source_file,previous_source_line,source_file,source_line,I_raw,Q_raw,context_zero_or_negative
JIUHCA,val_niveljusante,2026-07-21 21:00:00,2026-07-21 22:00:00,151.81,152.93,1.1200000000000045,1.0,1.1200000000000045,outputs/mucum-propagacao-2026-09-21/raw/DADOS_HIDROLOGICOS_HO_2026_07-ceran.csv,1246,outputs/mucum-propagacao-2026-09-21/raw/DADOS_HIDROLOGICOS_HO_2026_07-ceran.csv,1247,2853.0,2260.0,False
JIUHCA,val_niveljusante,2026-08-13 11:00:00,2026-08-13 12:00:00,149.05,150.18,1.1299999999999955,1.0,1.1299999999999955,outputs/mucum-propagacao-2026-09-21/raw/DADOS_HIDROLOGICOS_HO_2026_08-ceran.csv,1043,outputs/mucum-propagacao-2026-09-21/raw/DADOS_HIDROLOGICOS_HO_2026_08-ceran.csv,1044,980.0,832.0,False
JIUHCA,val_niveljusante,2026-09-21 08:00:00,2026-09-21 09:00:00,148.56,149.69,1.1299999999999955,1.0,1.1299999999999955,outputs/mucum-propagacao-2026-09-21/raw/DADOS_HIDROLOGICOS_HO_2026_09-ceran.csv,980,outputs/mucum-propagacao-2026-09-21/raw/DADOS_HIDROLOGICOS_HO_2026_09-ceran.csv,981,605.0,279.0,False
JIUHCA,val_niveljusante,2026-09-21 09:00:00,2026-09-21 10:00:00,149.69,151.07,1.3799999999999955,1.0,1.3799999999999955,outputs/mucum-propagacao-2026-09-21/raw/DADOS_HIDROLOGICOS_HO_2026_09-ceran.csv,981,outputs/mucum-propagacao-2026-09-21/raw/DADOS_HIDROLOGICOS_HO_2026_09-ceran.csv,982,1372.0,513.0,False
JIUHMC,val_nivelmontante,2025-08-07 09:00:00,2025-08-07 10:00:00,148.7,149.76,1.0600000000000023,1.0,1.0600000000000023,outputs/mucum-propagacao-2026-09-21/raw/DADOS_HIDROLOGICOS_HO_2025_08-ceran.csv,1642,outputs/mucum-propagacao-2026-09-21/raw/DADOS_HIDROLOGICOS_HO_2025_08-ceran.csv,1643,1228.0,786.0,False
JIUHMC,val_niveljusante,2025-04-30 21:00:00,2025-04-30 22:00:00,105.32,106.35,1.0300000000000011,1.0,1.0300000000000011,outputs/mucum-propagacao-2026-09-21/raw/DADOS_HIDROLOGICOS_HO_2025_04-ceran.csv,2158,outputs/mucum-propagacao-2026-09-21/raw/DADOS_HIDROLOGICOS_HO_2025_04-ceran.csv,2159,101.0,155.0,False
JIUHMC,val_niveljusante,2025-05-10 16:00:00,2025-05-10 17:00:00,105.12,106.17,1.0499999999999972,1.0,1.0499999999999972,outputs/mucum-propagacao-2026-09-21/raw/DADOS_HIDROLOGICOS_HO_2025_05-ceran.csv,1720,outputs/mucum-propagacao-2026-09-21/raw/DADOS_HIDROLOGICOS_HO_2025_05-ceran.csv,1721,5.0,89.0,False
JIUHMC,val_niveljusante,2025-05-18 20:00:00,2025-05-18 21:00:00,105.8,106.8,1.0,1.0,1.0,outputs/mucum-propagacao-2026-09-21/raw/DADOS_HIDROLOGICOS_HO_2025_05-ceran.csv,1916,outputs/mucum-propagacao-2026-09-21/raw/DADOS_HIDROLOGICOS_HO_2025_05-ceran.csv,1917,40.0,78.0,False
JIUHMC,val_niveljusante,2025-05-28 23:00:00,2025-05-28 23:59:00,107.79,106.79,-1.0,0.9833333333333333,-1.0169491525423728,outputs/mucum-propagacao-2026-09-21/raw/DADOS_HIDROLOGICOS_HO_2025_05-ceran.csv,2159,outputs/mucum-propagacao-2026-09-21/raw/DADOS_HIDROLOGICOS_HO_2025_05-ceran.csv,2160,177.0,190.0,False
JIUHMC,val_niveljusante,2025-06-23 15:00:00,2025-06-23 16:00:00,110.6,113.0,2.4000000000000057,1.0,2.4000000000000057,outputs/mucum-propagacao-2026-09-21/raw/DADOS_HIDROLOGICOS_HO_2025_06-ceran.csv,1984,outputs/mucum-propagacao-2026-09-21/raw/DADOS_HIDROLOGICOS_HO_2025_06-ceran.csv,1985,3746.0,3671.0,False
