plant,variable,previous_timestamp,timestamp,previous_value_m,value_m,delta_m,elapsed_hours,rate_m_per_hour,previous_source_file,previous_source_line,source_file,source_line,I_raw,Q_raw,context_zero_or_negative
JIUHCA,val_niveljusante,2026-04-28 01:00:00,2026-04-28 02:00:00,146.64,147.76,1.1200000000000045,1.0,1.1200000000000045,outputs/mucum-propagacao-2026-09-21/raw/DADOS_HIDROLOGICOS_HO_2026_04-ceran.csv,1370,outputs/mucum-propagacao-2026-09-21/raw/DADOS_HIDROLOGICOS_HO_2026_04-ceran.csv,1371,18.0,18.0,False
JIUHCA,val_niveljusante,2026-07-21 21:00:00,2026-07-21 22:00:00,151.81,152.93,1.1200000000000045,1.0,1.1200000000000045,outputs/mucum-propagacao-2026-09-21/raw/DADOS_HIDROLOGICOS_HO_2026_07-ceran.csv,1246,outputs/mucum-propagacao-2026-09-21/raw/DADOS_HIDROLOGICOS_HO_2026_07-ceran.csv,1247,2853.0,2260.0,False
JIUHCA,val_niveljusante,2025-07-31 17:00:00,2025-07-31 18:00:00,148.99,147.88,-1.1100000000000136,1.0,-1.1100000000000136,outputs/mucum-propagacao-2026-09-21/raw/DADOS_HIDROLOGICOS_HO_2025_07-ceran.csv,1482,outputs/mucum-propagacao-2026-09-21/raw/DADOS_HIDROLOGICOS_HO_2025_07-ceran.csv,1483,185.0,185.0,False
JIUHCA,val_niveljusante,2026-03-12 20:00:00,2026-03-12 21:00:00,147.92,146.82,-1.0999999999999943,1.0,-1.0999999999999943,outputs/mucum-propagacao-2026-09-21/raw/DADOS_HIDROLOGICOS_HO_2026_03-ceran.csv,1029,outputs/mucum-propagacao-2026-09-21/raw/DADOS_HIDROLOGICOS_HO_2026_03-ceran.csv,1030,27.0,71.0,False
JIUHCA,val_niveljusante,2026-01-22 11:00:00,2026-01-22 12:00:00,145.99,147.08,1.0900000000000034,1.0,1.0900000000000034,outputs/mucum-propagacao-2026-09-21/raw/DADOS_HIDROLOGICOS_HO_2026_01-ceran.csv,1260,outputs/mucum-propagacao-2026-09-21/raw/DADOS_HIDROLOGICOS_HO_2026_01-ceran.csv,1261,80.0,51.0,False
JIUHCA,val_niveljusante,2026-06-16 23:00:00,2026-06-16 23:59:00,147.77,146.68,-1.0900000000000034,0.9833333333333333,-1.10847457627119,outputs/mucum-propagacao-2026-09-21/raw/DADOS_HIDROLOGICOS_HO_2026_06-ceran.csv,1104,outputs/mucum-propagacao-2026-09-21/raw/DADOS_HIDROLOGICOS_HO_2026_06-ceran.csv,1105,40.0,69.0,False
JIUHCA,val_niveljusante,2026-05-05 15:00:00,2026-05-05 16:00:00,149.39,148.31,-1.079999999999984,1.0,-1.079999999999984,outputs/mucum-propagacao-2026-09-21/raw/DADOS_HIDROLOGICOS_HO_2026_05-ceran.csv,856,outputs/mucum-propagacao-2026-09-21/raw/DADOS_HIDROLOGICOS_HO_2026_05-ceran.csv,857,225.0,195.0,False
JIUHMC,val_nivelmontante,2025-08-07 09:00:00,2025-08-07 10:00:00,148.7,149.76,1.0600000000000023,1.0,1.0600000000000023,outputs/mucum-propagacao-2026-09-21/raw/DADOS_HIDROLOGICOS_HO_2025_08-ceran.csv,1642,outputs/mucum-propagacao-2026-09-21/raw/DADOS_HIDROLOGICOS_HO_2025_08-ceran.csv,1643,1228.0,786.0,False
JIUHMC,val_nivelmontante,2025-08-07 10:00:00,2025-08-07 11:00:00,149.76,148.78,-0.9799999999999898,1.0,-0.9799999999999898,outputs/mucum-propagacao-2026-09-21/raw/DADOS_HIDROLOGICOS_HO_2025_08-ceran.csv,1643,outputs/mucum-propagacao-2026-09-21/raw/DADOS_HIDROLOGICOS_HO_2025_08-ceran.csv,1644,0.0,200.0,False
JIUHMC,val_nivelmontante,2025-12-14 07:00:00,2025-12-14 08:00:00,147.45,148.33,0.8800000000000239,1.0,0.8800000000000239,outputs/mucum-propagacao-2026-09-21/raw/DADOS_HIDROLOGICOS_HO_2025_12-ceran.csv,1807,outputs/mucum-propagacao-2026-09-21/raw/DADOS_HIDROLOGICOS_HO_2025_12-ceran.csv,1808,434.0,67.0,False
JIUHMC,val_nivelmontante,2025-06-17 20:00:00,2025-06-17 21:00:00,149.0,149.76,0.7599999999999909,1.0,0.7599999999999909,outputs/mucum-propagacao-2026-09-21/raw/DADOS_HIDROLOGICOS_HO_2025_06-ceran.csv,1845,outputs/mucum-propagacao-2026-09-21/raw/DADOS_HIDROLOGICOS_HO_2025_06-ceran.csv,1846,1702.0,1385.0,False
JIUHMC,val_nivelmontante,2026-09-21 09:00:00,2026-09-21 10:00:00,149.41,150.16,0.75,1.0,0.75,outputs/mucum-propagacao-2026-09-21/raw/DADOS_HIDROLOGICOS_HO_2026_09-ceran.csv,1472,outputs/mucum-propagacao-2026-09-21/raw/DADOS_HIDROLOGICOS_HO_2026_09-ceran.csv,1473,2941.0,2629.0,False
JIUHMC,val_nivelmontante,2026-07-21 21:00:00,2026-07-21 22:00:00,150.79,151.47,0.6800000000000068,1.0,0.6800000000000068,outputs/mucum-propagacao-2026-09-21/raw/DADOS_HIDROLOGICOS_HO_2026_07-ceran.csv,1990,outputs/mucum-propagacao-2026-09-21/raw/DADOS_HIDROLOGICOS_HO_2026_07-ceran.csv,1991,4658.0,4374.0,False
JIUHMC,val_nivelmontante,2026-08-27 10:00:00,2026-08-27 11:00:00,147.45,148.08,0.6300000000000239,1.0,0.6300000000000239,outputs/mucum-propagacao-2026-09-21/raw/DADOS_HIDROLOGICOS_HO_2026_08-ceran.csv,2122,outputs/mucum-propagacao-2026-09-21/raw/DADOS_HIDROLOGICOS_HO_2026_08-ceran.csv,2123,287.0,25.0,False
JIUHMC,val_nivelmontante,2026-01-06 09:00:00,2026-01-06 10:00:00,147.13,147.75,0.6200000000000045,1.0,0.6200000000000045,outputs/mucum-propagacao-2026-09-21/raw/DADOS_HIDROLOGICOS_HO_2026_01-ceran.csv,1618,outputs/mucum-propagacao-2026-09-21/raw/DADOS_HIDROLOGICOS_HO_2026_01-ceran.csv,1619,277.0,19.0,False
JIUHMC,val_nivelmontante,2026-09-21 08:00:00,2026-09-21 09:00:00,148.79,149.41,0.6200000000000045,1.0,0.6200000000000045,outputs/mucum-propagacao-2026-09-21/raw/DADOS_HIDROLOGICOS_HO_2026_09-ceran.csv,1471,outputs/mucum-propagacao-2026-09-21/raw/DADOS_HIDROLOGICOS_HO_2026_09-ceran.csv,1472,977.0,718.0,False
JIUHMC,val_nivelmontante,2025-06-30 15:00:00,2025-06-30 16:00:00,149.9,150.5,0.5999999999999943,1.0,0.5999999999999943,outputs/mucum-propagacao-2026-09-21/raw/DADOS_HIDROLOGICOS_HO_2025_06-ceran.csv,2152,outputs/mucum-propagacao-2026-09-21/raw/DADOS_HIDROLOGICOS_HO_2025_06-ceran.csv,2153,2789.0,2539.0,False
