nominal_lead_h,column,name,current,training_rows,finite_training_rows,missing_training_rows,minimum,maximum,status
4,135,gfs_seamless:Alto Antas:forecastP12,0.0,10884,10884,0,0.0,84.8,within_univariate_range
4,136,gfs_seamless:Tainhas:forecastP3,0.0,10884,10884,0,0.0,63.2,within_univariate_range
4,137,gfs_seamless:Tainhas:forecastP6,0.0,10884,10884,0,0.0,71.2,within_univariate_range
4,138,gfs_seamless:Tainhas:forecastP9,0.0,10884,10884,0,0.0,83.2,within_univariate_range
4,139,gfs_seamless:Tainhas:forecastP12,0.0,10884,10884,0,0.0,86.1,within_univariate_range
4,140,ecmwf_ifs025:Baixo Antas:forecastP3,0.0,10884,10884,0,0.0,24.0,within_univariate_range
4,141,ecmwf_ifs025:Baixo Antas:forecastP6,0.0,10884,10884,0,0.0,42.0,within_univariate_range
4,142,ecmwf_ifs025:Baixo Antas:forecastP9,0.0,10884,10884,0,0.0,53.699999999999996,within_univariate_range
4,143,ecmwf_ifs025:Baixo Antas:forecastP12,0.0,10884,10884,0,0.0,68.69999999999999,within_univariate_range
4,144,ecmwf_ifs025:Carreiro:forecastP3,0.0,10884,10884,0,0.0,22.799999999999997,within_univariate_range
4,145,ecmwf_ifs025:Carreiro:forecastP6,0.0,10884,10884,0,0.0,43.8,within_univariate_range
4,146,ecmwf_ifs025:Carreiro:forecastP9,0.0,10884,10884,0,0.0,57.300000000000004,within_univariate_range
4,147,ecmwf_ifs025:Carreiro:forecastP12,0.0,10884,10884,0,0.0,69.9,within_univariate_range
4,148,ecmwf_ifs025:Prata-Turvo:forecastP3,0.0,10884,10884,0,0.0,29.400000000000002,within_univariate_range
4,149,ecmwf_ifs025:Prata-Turvo:forecastP6,0.0,10884,10884,0,0.0,48.6,within_univariate_range
4,150,ecmwf_ifs025:Prata-Turvo:forecastP9,0.0,10884,10884,0,0.0,73.2,within_univariate_range
4,151,ecmwf_ifs025:Prata-Turvo:forecastP12,0.0,10884,10884,0,0.0,86.7,within_univariate_range
4,152,ecmwf_ifs025:Alto Antas:forecastP3,0.0,10884,10884,0,0.0,19.799999999999997,within_univariate_range
4,153,ecmwf_ifs025:Alto Antas:forecastP6,0.0,10884,10884,0,0.0,30.6,within_univariate_range
4,154,ecmwf_ifs025:Alto Antas:forecastP9,0.0,10884,10884,0,0.0,44.699999999999996,within_univariate_range
4,155,ecmwf_ifs025:Alto Antas:forecastP12,0.0,10884,10884,0,0.0,52.2,within_univariate_range
4,156,ecmwf_ifs025:Tainhas:forecastP3,0.0,10884,10884,0,0.0,24.599999999999998,within_univariate_range
4,157,ecmwf_ifs025:Tainhas:forecastP6,0.0,10884,10884,0,0.0,41.7,within_univariate_range
4,158,ecmwf_ifs025:Tainhas:forecastP9,0.0,10884,10884,0,0.0,53.7,within_univariate_range
4,159,ecmwf_ifs025:Tainhas:forecastP12,0.0,10884,10884,0,0.0,65.1,within_univariate_range
4,160,icon_global:Baixo Antas:forecastP3,0.0,10884,10805,79,0.0,46.4,within_univariate_range
4,161,icon_global:Baixo Antas:forecastP6,0.0,10884,10802,82,0.0,51.7,within_univariate_range
4,162,icon_global:Baixo Antas:forecastP9,0.0,10884,10799,85,0.0,64.89999999999999,within_univariate_range
4,163,icon_global:Baixo Antas:forecastP12,0.0,10884,10796,88,0.0,77.79999999999998,within_univariate_range
4,164,icon_global:Carreiro:forecastP3,0.0,10884,10805,79,0.0,45.9,within_univariate_range
4,165,icon_global:Carreiro:forecastP6,0.0,10884,10802,82,0.0,65.80000000000001,within_univariate_range
4,166,icon_global:Carreiro:forecastP9,0.0,10884,10799,85,0.0,71.80000000000001,within_univariate_range
4,167,icon_global:Carreiro:forecastP12,0.0,10884,10796,88,0.0,77.4,within_univariate_range
4,168,icon_global:Prata-Turvo:forecastP3,0.0,10884,10805,79,0.0,40.0,within_univariate_range
