period,horizon_h,population,subset,family,scheduled_rows,missing_truth,observed_targets,pairs,failures,hits,paired_hit_fraction,observed_target_hit_fraction,mae_m,bias_m,p98_abs_m,max_abs_m
2021,6,complete24,level_ge_7m,raw_plus2020,0,0,0,0,0,0,,,,,,
2021,6,complete24,level_ge_7m,normalized_original,0,0,0,0,0,0,,,,,,
2021,6,complete24,level_ge_7m,normalized_plus2020,0,0,0,0,0,0,,,,,,
2021,6,missing24,all,raw_original,738,0,738,738,0,670,0.907859078590786,0.907859078590786,0.2781717689523117,0.18854065698105368,0.6596527584537191,1.0246188908290073
2021,6,missing24,all,raw_plus2020,738,0,738,738,0,684,0.926829268292683,0.926829268292683,0.17050491091407957,0.07168369620702254,0.7074631319850455,1.0071693843931842
2021,6,missing24,all,normalized_original,738,0,738,738,0,640,0.8672086720867209,0.8672086720867209,0.31938310236176193,0.24247935075162524,0.6955730257320537,1.0267839655011182
2021,6,missing24,all,normalized_plus2020,738,0,738,738,0,693,0.9390243902439024,0.9390243902439024,0.1458086037540999,-0.021707724863090996,0.6980668389399224,1.0460179362189206
2021,6,missing24,level_ge_7m,raw_original,738,0,11,11,0,8,0.7272727272727273,0.7272727272727273,0.3474363456431569,-0.3456660162360741,0.7424507653193309,0.7555407290239282
2021,6,missing24,level_ge_7m,raw_plus2020,738,0,11,11,0,9,0.8181818181818182,0.8181818181818182,0.23491198161598945,-0.12736884636109444,0.6119422041810888,0.6274279853034797
2021,6,missing24,level_ge_7m,normalized_original,738,0,11,11,0,8,0.7272727272727273,0.7272727272727273,0.3108835937814262,-0.29019519193028637,0.7049249054996127,0.7148948267553221
2021,6,missing24,level_ge_7m,normalized_plus2020,738,0,11,11,0,9,0.8181818181818182,0.8181818181818182,0.24800198397380058,-0.13980374261038395,0.6053993674115582,0.6210923754392468
2021,7,full_schedule,all,raw_original,737,0,737,737,0,161,0.21845318860244234,0.21845318860244234,0.5918019483141733,0.5458054470232235,1.0159286834438288,1.4848286906758732
2021,7,full_schedule,all,raw_plus2020,737,0,737,737,0,618,0.8385345997286295,0.8385345997286295,0.29719121551773137,0.19390135130846056,0.8841357299963397,1.4631952151117718
2021,7,full_schedule,all,normalized_original,737,0,737,737,0,135,0.18317503392130258,0.18317503392130258,0.6358114548162035,0.5929754228862624,1.0605504527226375,1.4857504386933025
2021,7,full_schedule,all,normalized_plus2020,737,0,737,737,0,618,0.8385345997286295,0.8385345997286295,0.31023021323663097,0.21732185207023688,0.8553702875429667,1.430495452634851
2021,7,full_schedule,level_ge_7m,raw_original,737,0,11,11,0,9,0.8181818181818182,0.8181818181818182,0.37113368639617317,0.08255606797247345,0.5531362738604573,0.5563514985729388
2021,7,full_schedule,level_ge_7m,raw_plus2020,737,0,11,11,0,5,0.45454545454545453,0.45454545454545453,0.4784116089201626,-0.17688814906071426,0.8890774222530323,0.8906062921345601
2021,7,full_schedule,level_ge_7m,normalized_original,737,0,11,11,0,9,0.8181818181818182,0.8181818181818182,0.37215242002086435,0.07546323482451464,0.5562327864307515,0.5563050334209159
2021,7,full_schedule,level_ge_7m,normalized_plus2020,737,0,11,11,0,7,0.6363636363636364,0.6363636363636364,0.4654082623507195,-0.16849679960766997,0.8852976087301951,0.8989373295784926
2021,7,complete24,all,raw_original,0,0,0,0,0,0,,,,,,
2021,7,complete24,all,raw_plus2020,0,0,0,0,0,0,,,,,,
2021,7,complete24,all,normalized_original,0,0,0,0,0,0,,,,,,
2021,7,complete24,all,normalized_plus2020,0,0,0,0,0,0,,,,,,
2021,7,complete24,level_ge_7m,raw_original,0,0,0,0,0,0,,,,,,
2021,7,complete24,level_ge_7m,raw_plus2020,0,0,0,0,0,0,,,,,,
2021,7,complete24,level_ge_7m,normalized_original,0,0,0,0,0,0,,,,,,
2021,7,complete24,level_ge_7m,normalized_plus2020,0,0,0,0,0,0,,,,,,
2021,7,missing24,all,raw_original,737,0,737,737,0,161,0.21845318860244234,0.21845318860244234,0.5918019483141733,0.5458054470232235,1.0159286834438288,1.4848286906758732
2021,7,missing24,all,raw_plus2020,737,0,737,737,0,618,0.8385345997286295,0.8385345997286295,0.29719121551773137,0.19390135130846056,0.8841357299963397,1.4631952151117718
2021,7,missing24,all,normalized_original,737,0,737,737,0,135,0.18317503392130258,0.18317503392130258,0.6358114548162035,0.5929754228862624,1.0605504527226375,1.4857504386933025
2021,7,missing24,all,normalized_plus2020,737,0,737,737,0,618,0.8385345997286295,0.8385345997286295,0.31023021323663097,0.21732185207023688,0.8553702875429667,1.430495452634851
2021,7,missing24,level_ge_7m,raw_original,737,0,11,11,0,9,0.8181818181818182,0.8181818181818182,0.37113368639617317,0.08255606797247345,0.5531362738604573,0.5563514985729388
2021,7,missing24,level_ge_7m,raw_plus2020,737,0,11,11,0,5,0.45454545454545453,0.45454545454545453,0.4784116089201626,-0.17688814906071426,0.8890774222530323,0.8906062921345601
2021,7,missing24,level_ge_7m,normalized_original,737,0,11,11,0,9,0.8181818181818182,0.8181818181818182,0.37215242002086435,0.07546323482451464,0.5562327864307515,0.5563050334209159
2021,7,missing24,level_ge_7m,normalized_plus2020,737,0,11,11,0,7,0.6363636363636364,0.6363636363636364,0.4654082623507195,-0.16849679960766997,0.8852976087301951,0.8989373295784926
2021,8,full_schedule,all,raw_original,736,0,736,736,0,65,0.08831521739130435,0.08831521739130435,0.8484241435487748,0.8304357091235343,1.2874694814707994,1.663018786673602
2021,8,full_schedule,all,raw_plus2020,736,0,736,736,0,572,0.7771739130434783,0.7771739130434783,0.35593539460290985,0.2904768742483219,0.9070716877008339,1.3370527536688988
2021,8,full_schedule,all,normalized_original,736,0,736,736,0,66,0.08967391304347826,0.08967391304347826,0.8368048616184288,0.8185298562047372,1.2666671030549352,1.6227927373344029
2021,8,full_schedule,all,normalized_plus2020,736,0,736,736,0,582,0.7907608695652174,0.7907608695652174,0.3506140131023804,0.2834971693118733,0.9063002665393418,1.3405139045732666
2021,8,full_schedule,level_ge_7m,raw_original,736,0,11,11,0,4,0.36363636363636365,0.36363636363636365,0.7500184561386763,0.7500184561386763,1.262122906690466,1.2829171508189772
2021,8,full_schedule,level_ge_7m,raw_plus2020,736,0,11,11,0,5,0.45454545454545453,0.45454545454545453,0.5676187905499476,0.14481102401518092,1.2012115195676942,1.3370527536688988
2021,8,full_schedule,level_ge_7m,normalized_original,736,0,11,11,0,5,0.45454545454545453,0.45454545454545453,0.728337001240515,0.728337001240515,1.2467151073490856,1.2634991249001457
2021,8,full_schedule,level_ge_7m,normalized_plus2020,736,0,11,11,0,4,0.36363636363636365,0.36363636363636365,0.5505391755715073,0.15759615512740452,1.2010564831629715,1.3405139045732666
2021,8,complete24,all,raw_original,0,0,0,0,0,0,,,,,,
2021,8,complete24,all,raw_plus2020,0,0,0,0,0,0,,,,,,
2021,8,complete24,all,normalized_original,0,0,0,0,0,0,,,,,,
2021,8,complete24,all,normalized_plus2020,0,0,0,0,0,0,,,,,,
2021,8,complete24,level_ge_7m,raw_original,0,0,0,0,0,0,,,,,,
2021,8,complete24,level_ge_7m,raw_plus2020,0,0,0,0,0,0,,,,,,
2021,8,complete24,level_ge_7m,normalized_original,0,0,0,0,0,0,,,,,,
2021,8,complete24,level_ge_7m,normalized_plus2020,0,0,0,0,0,0,,,,,,
2021,8,missing24,all,raw_original,736,0,736,736,0,65,0.08831521739130435,0.08831521739130435,0.8484241435487748,0.8304357091235343,1.2874694814707994,1.663018786673602
2021,8,missing24,all,raw_plus2020,736,0,736,736,0,572,0.7771739130434783,0.7771739130434783,0.35593539460290985,0.2904768742483219,0.9070716877008339,1.3370527536688988
2021,8,missing24,all,normalized_original,736,0,736,736,0,66,0.08967391304347826,0.08967391304347826,0.8368048616184288,0.8185298562047372,1.2666671030549352,1.6227927373344029
2021,8,missing24,all,normalized_plus2020,736,0,736,736,0,582,0.7907608695652174,0.7907608695652174,0.3506140131023804,0.2834971693118733,0.9063002665393418,1.3405139045732666
2021,8,missing24,level_ge_7m,raw_original,736,0,11,11,0,4,0.36363636363636365,0.36363636363636365,0.7500184561386763,0.7500184561386763,1.262122906690466,1.2829171508189772
2021,8,missing24,level_ge_7m,raw_plus2020,736,0,11,11,0,5,0.45454545454545453,0.45454545454545453,0.5676187905499476,0.14481102401518092,1.2012115195676942,1.3370527536688988
2021,8,missing24,level_ge_7m,normalized_original,736,0,11,11,0,5,0.45454545454545453,0.45454545454545453,0.728337001240515,0.728337001240515,1.2467151073490856,1.2634991249001457
2021,8,missing24,level_ge_7m,normalized_plus2020,736,0,11,11,0,4,0.36363636363636365,0.36363636363636365,0.5505391755715073,0.15759615512740452,1.2010564831629715,1.3405139045732666
2021,9,full_schedule,all,raw_original,735,0,735,735,0,39,0.053061224489795916,0.053061224489795916,1.0429328314503483,1.0269430916996758,1.475819540912229,1.88185234036969
2021,9,full_schedule,all,raw_plus2020,735,0,735,735,0,489,0.6653061224489796,0.6653061224489796,0.4343485068213258,0.3880193461559392,1.0274752114196772,1.2622506102099593
