scope,start,end_inclusive,quarter_hours,with_approved_level,classes
full,2026-07-08T07:15:00-03:00,2026-07-08T16:45:00-03:00,39,0,"{""no_exact_record"": 39}"
full,2026-07-08T17:15:00-03:00,2026-07-09T06:45:00-03:00,55,0,"{""no_exact_record"": 55}"
full,2026-07-09T07:15:00-03:00,2026-07-09T16:45:00-03:00,39,0,"{""no_exact_record"": 9, ""q_empty"": 30}"
full,2026-07-09T17:15:00-03:00,2026-07-10T06:45:00-03:00,55,0,"{""q_empty"": 55}"
full,2026-07-10T07:15:00-03:00,2026-07-10T16:30:00-03:00,38,0,"{""q_empty"": 38}"
full,2026-07-15T16:45:00-03:00,2026-07-15T16:45:00-03:00,1,0,"{""no_exact_record"": 1}"
full,2026-07-15T17:15:00-03:00,2026-07-16T06:45:00-03:00,55,0,"{""no_exact_record"": 55}"
full,2026-07-16T07:15:00-03:00,2026-07-16T09:30:00-03:00,10,0,"{""no_exact_record"": 10}"
full,2026-07-23T10:45:00-03:00,2026-07-23T19:00:00-03:00,34,34,"{""q_empty"": 34}"
full,2026-08-14T12:45:00-03:00,2026-08-14T17:15:00-03:00,19,0,"{""q_empty"": 19}"
full,2026-09-21T14:45:00-03:00,2026-09-21T15:00:00-03:00,2,0,"{""no_exact_record"": 2}"
evaluation,2026-07-01T00:00:00-03:00,2026-07-01T06:45:00-03:00,28,0,"{""no_exact_record"": 28}"
evaluation,2026-07-01T07:15:00-03:00,2026-07-01T16:45:00-03:00,39,0,"{""no_exact_record"": 39}"
evaluation,2026-07-01T17:15:00-03:00,2026-07-02T06:45:00-03:00,55,0,"{""no_exact_record"": 55}"
evaluation,2026-07-02T07:15:00-03:00,2026-07-02T16:45:00-03:00,39,0,"{""no_exact_record"": 39}"
evaluation,2026-07-02T17:15:00-03:00,2026-07-03T06:45:00-03:00,55,0,"{""no_exact_record"": 55}"
evaluation,2026-07-03T07:15:00-03:00,2026-07-03T16:45:00-03:00,39,0,"{""no_exact_record"": 39}"
evaluation,2026-07-03T17:15:00-03:00,2026-07-04T06:45:00-03:00,55,0,"{""no_exact_record"": 55}"
evaluation,2026-07-04T07:15:00-03:00,2026-07-04T16:45:00-03:00,39,0,"{""no_exact_record"": 39}"
evaluation,2026-07-04T17:15:00-03:00,2026-07-05T06:45:00-03:00,55,0,"{""no_exact_record"": 55}"
evaluation,2026-07-05T07:15:00-03:00,2026-07-05T16:45:00-03:00,39,0,"{""no_exact_record"": 39}"
evaluation,2026-07-05T17:15:00-03:00,2026-07-06T06:45:00-03:00,55,0,"{""no_exact_record"": 55}"
evaluation,2026-07-06T07:15:00-03:00,2026-07-06T16:45:00-03:00,39,0,"{""no_exact_record"": 39}"
evaluation,2026-07-06T17:15:00-03:00,2026-07-07T06:45:00-03:00,55,0,"{""no_exact_record"": 55}"
evaluation,2026-07-07T07:15:00-03:00,2026-07-07T16:45:00-03:00,39,0,"{""no_exact_record"": 39}"
evaluation,2026-07-07T17:15:00-03:00,2026-07-08T06:45:00-03:00,55,0,"{""no_exact_record"": 55}"
evaluation,2026-07-08T07:15:00-03:00,2026-07-08T16:45:00-03:00,39,0,"{""no_exact_record"": 39}"
evaluation,2026-07-08T17:15:00-03:00,2026-07-09T06:45:00-03:00,55,0,"{""no_exact_record"": 55}"
evaluation,2026-07-09T07:15:00-03:00,2026-07-09T16:45:00-03:00,39,0,"{""no_exact_record"": 9, ""q_empty"": 30}"
evaluation,2026-07-09T17:15:00-03:00,2026-07-10T06:45:00-03:00,55,0,"{""q_empty"": 55}"
evaluation,2026-07-10T07:15:00-03:00,2026-07-10T16:30:00-03:00,38,0,"{""q_empty"": 38}"
evaluation,2026-07-15T16:45:00-03:00,2026-07-15T16:45:00-03:00,1,0,"{""no_exact_record"": 1}"
evaluation,2026-07-15T17:15:00-03:00,2026-07-16T06:45:00-03:00,55,0,"{""no_exact_record"": 55}"
evaluation,2026-07-16T07:15:00-03:00,2026-07-16T09:30:00-03:00,10,0,"{""no_exact_record"": 10}"
evaluation,2026-07-23T10:45:00-03:00,2026-07-23T19:00:00-03:00,34,34,"{""q_empty"": 34}"
evaluation,2026-08-14T12:45:00-03:00,2026-08-14T17:15:00-03:00,19,0,"{""q_empty"": 19}"
evaluation_with_prefix,2026-06-29T23:00:00-03:00,2026-06-30T06:45:00-03:00,32,0,"{""no_exact_record"": 32}"
evaluation_with_prefix,2026-06-30T07:15:00-03:00,2026-06-30T16:45:00-03:00,39,0,"{""no_exact_record"": 39}"
evaluation_with_prefix,2026-06-30T17:15:00-03:00,2026-07-01T06:45:00-03:00,55,0,"{""no_exact_record"": 55}"
evaluation_with_prefix,2026-07-01T07:15:00-03:00,2026-07-01T16:45:00-03:00,39,0,"{""no_exact_record"": 39}"
evaluation_with_prefix,2026-07-01T17:15:00-03:00,2026-07-02T06:45:00-03:00,55,0,"{""no_exact_record"": 55}"
evaluation_with_prefix,2026-07-02T07:15:00-03:00,2026-07-02T16:45:00-03:00,39,0,"{""no_exact_record"": 39}"
evaluation_with_prefix,2026-07-02T17:15:00-03:00,2026-07-03T06:45:00-03:00,55,0,"{""no_exact_record"": 55}"
evaluation_with_prefix,2026-07-03T07:15:00-03:00,2026-07-03T16:45:00-03:00,39,0,"{""no_exact_record"": 39}"
evaluation_with_prefix,2026-07-03T17:15:00-03:00,2026-07-04T06:45:00-03:00,55,0,"{""no_exact_record"": 55}"
evaluation_with_prefix,2026-07-04T07:15:00-03:00,2026-07-04T16:45:00-03:00,39,0,"{""no_exact_record"": 39}"
evaluation_with_prefix,2026-07-04T17:15:00-03:00,2026-07-05T06:45:00-03:00,55,0,"{""no_exact_record"": 55}"
evaluation_with_prefix,2026-07-05T07:15:00-03:00,2026-07-05T16:45:00-03:00,39,0,"{""no_exact_record"": 39}"
evaluation_with_prefix,2026-07-05T17:15:00-03:00,2026-07-06T06:45:00-03:00,55,0,"{""no_exact_record"": 55}"
evaluation_with_prefix,2026-07-06T07:15:00-03:00,2026-07-06T16:45:00-03:00,39,0,"{""no_exact_record"": 39}"
evaluation_with_prefix,2026-07-06T17:15:00-03:00,2026-07-07T06:45:00-03:00,55,0,"{""no_exact_record"": 55}"
evaluation_with_prefix,2026-07-07T07:15:00-03:00,2026-07-07T16:45:00-03:00,39,0,"{""no_exact_record"": 39}"
evaluation_with_prefix,2026-07-07T17:15:00-03:00,2026-07-08T06:45:00-03:00,55,0,"{""no_exact_record"": 55}"
evaluation_with_prefix,2026-07-08T07:15:00-03:00,2026-07-08T16:45:00-03:00,39,0,"{""no_exact_record"": 39}"
evaluation_with_prefix,2026-07-08T17:15:00-03:00,2026-07-09T06:45:00-03:00,55,0,"{""no_exact_record"": 55}"
evaluation_with_prefix,2026-07-09T07:15:00-03:00,2026-07-09T16:45:00-03:00,39,0,"{""no_exact_record"": 9, ""q_empty"": 30}"
evaluation_with_prefix,2026-07-09T17:15:00-03:00,2026-07-10T06:45:00-03:00,55,0,"{""q_empty"": 55}"
evaluation_with_prefix,2026-07-10T07:15:00-03:00,2026-07-10T16:30:00-03:00,38,0,"{""q_empty"": 38}"
evaluation_with_prefix,2026-07-15T16:45:00-03:00,2026-07-15T16:45:00-03:00,1,0,"{""no_exact_record"": 1}"
evaluation_with_prefix,2026-07-15T17:15:00-03:00,2026-07-16T06:45:00-03:00,55,0,"{""no_exact_record"": 55}"
evaluation_with_prefix,2026-07-16T07:15:00-03:00,2026-07-16T09:30:00-03:00,10,0,"{""no_exact_record"": 10}"
evaluation_with_prefix,2026-07-23T10:45:00-03:00,2026-07-23T19:00:00-03:00,34,34,"{""q_empty"": 34}"
evaluation_with_prefix,2026-08-14T12:45:00-03:00,2026-08-14T17:15:00-03:00,19,0,"{""q_empty"": 19}"
