at,epoch,scope,classification,level_approved_m,raw_level_cm,raw_level_qc,raw_flow,raw_flow_qc,source_path,record_start_line,approved_q_in_other_preserved_xml
2026-01-01T06:45:00-03:00,1767260700.0,other,no_exact_record,,,,,,,,0
2026-01-01T07:15:00-03:00,1767262500.0,other,no_exact_record,,,,,,,,0
2026-01-01T07:30:00-03:00,1767263400.0,other,no_exact_record,,,,,,,,0
2026-01-01T07:45:00-03:00,1767264300.0,other,no_exact_record,,,,,,,,0
2026-01-01T08:00:00-03:00,1767265200.0,other,no_exact_record,,,,,,,,0
2026-01-01T08:15:00-03:00,1767266100.0,other,no_exact_record,,,,,,,,0
2026-01-01T08:30:00-03:00,1767267000.0,other,no_exact_record,,,,,,,,0
2026-01-01T08:45:00-03:00,1767267900.0,other,no_exact_record,,,,,,,,0
2026-01-01T09:00:00-03:00,1767268800.0,other,no_exact_record,,,,,,,,0
2026-01-01T09:15:00-03:00,1767269700.0,other,no_exact_record,,,,,,,,0
2026-01-01T09:30:00-03:00,1767270600.0,other,no_exact_record,,,,,,,,0
2026-01-01T09:45:00-03:00,1767271500.0,other,no_exact_record,,,,,,,,0
2026-01-01T10:00:00-03:00,1767272400.0,other,no_exact_record,,,,,,,,0
2026-01-01T10:15:00-03:00,1767273300.0,other,no_exact_record,,,,,,,,0
2026-01-01T10:30:00-03:00,1767274200.0,other,no_exact_record,,,,,,,,0
2026-01-01T10:45:00-03:00,1767275100.0,other,no_exact_record,,,,,,,,0
2026-01-01T11:00:00-03:00,1767276000.0,other,no_exact_record,,,,,,,,0
2026-01-01T11:15:00-03:00,1767276900.0,other,no_exact_record,,,,,,,,0
2026-01-01T11:30:00-03:00,1767277800.0,other,no_exact_record,,,,,,,,0
2026-01-01T11:45:00-03:00,1767278700.0,other,no_exact_record,,,,,,,,0
2026-01-01T12:00:00-03:00,1767279600.0,other,no_exact_record,,,,,,,,0
2026-01-01T12:15:00-03:00,1767280500.0,other,no_exact_record,,,,,,,,0
2026-01-01T12:30:00-03:00,1767281400.0,other,no_exact_record,,,,,,,,0
2026-01-01T12:45:00-03:00,1767282300.0,other,no_exact_record,,,,,,,,0
2026-01-01T13:00:00-03:00,1767283200.0,other,no_exact_record,,,,,,,,0
2026-01-01T13:15:00-03:00,1767284100.0,other,no_exact_record,,,,,,,,0
2026-01-01T13:30:00-03:00,1767285000.0,other,no_exact_record,,,,,,,,0
2026-01-01T13:45:00-03:00,1767285900.0,other,no_exact_record,,,,,,,,0
2026-01-01T14:00:00-03:00,1767286800.0,other,no_exact_record,,,,,,,,0
