source_at,affected_target_pairs,affected_origins,reasons,classification,level_approved_m,source_path,record_start_line
2026-07-04T19:00:00-03:00,269,25,anchor_history_missing|forecast_history_missing,no_exact_record,,,
2026-07-04T19:30:00-03:00,9,1,known_base_missing,no_exact_record,,,
2026-07-04T20:00:00-03:00,269,25,anchor_history_missing|forecast_history_missing,no_exact_record,,,
2026-07-04T20:30:00-03:00,9,1,known_base_missing,no_exact_record,,,
2026-07-04T21:00:00-03:00,269,25,anchor_history_missing|forecast_history_missing,no_exact_record,,,
2026-07-04T21:30:00-03:00,9,1,known_base_missing,no_exact_record,,,
2026-07-04T22:00:00-03:00,269,25,anchor_history_missing|forecast_history_missing,no_exact_record,,,
2026-07-04T22:30:00-03:00,9,1,known_base_missing,no_exact_record,,,
2026-07-04T23:00:00-03:00,269,25,anchor_history_missing|forecast_history_missing,no_exact_record,,,
2026-07-04T23:30:00-03:00,9,1,known_base_missing,no_exact_record,,,
2026-07-05T00:00:00-03:00,269,25,anchor_history_missing|forecast_history_missing,no_exact_record,,,
2026-07-05T00:30:00-03:00,9,1,known_base_missing,no_exact_record,,,
2026-07-05T01:00:00-03:00,269,25,anchor_history_missing|forecast_history_missing,no_exact_record,,,
2026-07-05T01:30:00-03:00,9,1,known_base_missing,no_exact_record,,,
2026-07-05T02:00:00-03:00,269,25,anchor_history_missing|forecast_history_missing,no_exact_record,,,
2026-07-05T02:30:00-03:00,9,1,known_base_missing,no_exact_record,,,
2026-07-05T03:00:00-03:00,269,25,anchor_history_missing|forecast_history_missing,no_exact_record,,,
2026-07-05T03:30:00-03:00,9,1,known_base_missing,no_exact_record,,,
2026-07-05T04:00:00-03:00,269,25,anchor_history_missing|forecast_history_missing,no_exact_record,,,
2026-07-05T04:30:00-03:00,9,1,known_base_missing,no_exact_record,,,
2026-07-05T05:00:00-03:00,269,25,anchor_history_missing|forecast_history_missing,no_exact_record,,,
2026-07-05T05:30:00-03:00,9,1,known_base_missing,no_exact_record,,,
2026-07-05T06:00:00-03:00,269,25,anchor_history_missing|forecast_history_missing,no_exact_record,,,
2026-07-05T06:30:00-03:00,9,1,known_base_missing,no_exact_record,,,
2026-07-05T07:30:00-03:00,9,1,known_base_missing,no_exact_record,,,
2026-07-05T08:00:00-03:00,269,25,anchor_history_missing|forecast_history_missing,no_exact_record,,,
2026-07-05T08:30:00-03:00,9,1,known_base_missing,no_exact_record,,,
2026-07-05T09:00:00-03:00,269,25,anchor_history_missing|forecast_history_missing,no_exact_record,,,
2026-07-05T09:30:00-03:00,9,1,known_base_missing,no_exact_record,,,
2026-07-05T10:00:00-03:00,269,25,anchor_history_missing|forecast_history_missing,no_exact_record,,,
2026-07-05T10:30:00-03:00,9,1,known_base_missing,no_exact_record,,,
2026-07-05T11:00:00-03:00,269,25,anchor_history_missing|forecast_history_missing,no_exact_record,,,
