tau_hours,family,horizon_h,group_kind,group,subset,scheduled_rows,observed_n,paired_n,failures,hits,hit_fraction,mae_m,bias_m,p98_abs_m,max_abs_m
6,reference,10,event,a801ac814e2dfee4fc14bea5,level_ge_7m,135,135,133,2,23,0.17293233082706766,1.7153570018754165,0.20565953121589037,6.751695759004755,8.405707625670848
6,reference,10,event,f803fdacd0779dfe9e87b834,level_ge_7m,49,49,49,0,19,0.3877551020408163,0.6342809702944239,0.4846308991767013,1.232689517209795,1.2356625262625478
6,reference,10,event,dcbe85f6ad3172a997c77a58,level_ge_7m,18,18,18,0,14,0.7777777777777778,0.4240941394273433,-0.1296750137873149,1.3470417977155102,1.4117942558700838
6,reference,10,event,unassigned,level_ge_7m,0,0,0,0,0,,,,,
6,reference,10,trend,falling,all,843,835,834,1,397,0.47601918465227816,0.6029857486012121,-0.16509283956457138,1.7993158957522362,5.7443205338491365
6,reference,10,trend,falling,level_ge_7m,83,83,82,1,29,0.35365853658536583,0.9743190677835589,0.5461787025448361,4.644067420752443,5.7443205338491365
6,reference,10,trend,rising,all,456,453,453,0,311,0.6865342163355408,0.5688909422324191,-0.008540383198159642,3.228922433897867,8.405707625670848
6,reference,10,trend,rising,level_ge_7m,117,117,117,0,36,0.3076923076923077,1.3428425972418536,-0.08764754968439334,7.1156298238037605,8.405707625670848
6,reference,10,trend,stable,all,627,622,622,0,403,0.6479099678456591,0.4783301323400682,0.07552822738055835,1.732015951467496,5.0351078741646615
6,reference,10,trend,stable,level_ge_7m,35,35,35,0,13,0.37142857142857144,1.2082172824213806,0.03313223892530401,4.53399438311391,5.0351078741646615
6,reference,10,trend,unknown,all,32,25,9,16,5,0.5555555555555556,0.6549055549399498,-0.2082623065324358,1.3846229029822892,1.397800335505531
6,reference,10,trend,unknown,level_ge_7m,2,2,1,1,0,0.0,1.397800335505531,1.397800335505531,1.397800335505531,1.397800335505531
6,reference,11,event,594b4ac32b57fab12c848086,level_ge_7m,35,35,35,0,21,0.6,0.44687040825761226,-0.4158590794736155,1.5187231460202848,1.5605480950155286
6,reference,11,event,a801ac814e2dfee4fc14bea5,level_ge_7m,135,135,133,2,19,0.14285714285714285,1.8995749969780884,0.13990399789760413,7.087809759279551,9.391440266156348
6,reference,11,event,f803fdacd0779dfe9e87b834,level_ge_7m,49,49,49,0,19,0.3877551020408163,0.680514492941651,0.4649899352714447,1.2694843111656204,1.3266723060158885
6,reference,11,event,dcbe85f6ad3172a997c77a58,level_ge_7m,18,18,18,0,13,0.7222222222222222,0.5211004504672043,-0.1713263155298913,1.6432603598664348,1.664571398566559
6,reference,11,event,unassigned,level_ge_7m,0,0,0,0,0,,,,,
6,reference,11,trend,falling,all,843,834,833,1,361,0.43337334933973587,0.6549249149711018,-0.18511809420731432,1.9184345794339916,6.132562306480447
6,reference,11,trend,falling,level_ge_7m,82,82,81,1,27,0.3333333333333333,1.069860051289657,0.5180949424990218,4.874860491582583,6.132562306480447
6,reference,11,trend,rising,all,456,452,452,0,289,0.6393805309734514,0.6321445061298621,0.023395437481996545,3.433188923671788,9.391440266156348
6,reference,11,trend,rising,level_ge_7m,118,118,118,0,33,0.2796610169491525,1.449669420410715,-0.10110123498377555,7.540654940866026,9.391440266156348
6,reference,11,trend,stable,all,626,622,622,0,372,0.5980707395498392,0.5433178217391774,0.04364588204914601,1.985734801513766,5.6057393802483135
6,reference,11,trend,stable,level_ge_7m,35,35,35,0,12,0.34285714285714286,1.4791136778949823,-0.22295057677627114,5.298569304504536,5.6057393802483135
6,reference,11,trend,unknown,all,32,26,9,17,4,0.4444444444444444,0.6887539304388296,-0.16192308613028658,1.4835790687360049,1.5203226604017708
6,reference,11,trend,unknown,level_ge_7m,2,2,1,1,0,0.0,1.5203226604017708,1.5203226604017708,1.5203226604017708,1.5203226604017708
6,reference,12,event,594b4ac32b57fab12c848086,level_ge_7m,35,35,35,0,19,0.5428571428571428,0.5174796643416804,-0.5060710505075726,1.6243835699637643,1.69216862868951
6,reference,12,event,a801ac814e2dfee4fc14bea5,level_ge_7m,135,135,133,2,15,0.11278195488721804,2.1011988191279687,0.05695922064477697,7.432480566552885,10.418506922843463
