tau_hours,family,horizon_h,group_kind,group,subset,scheduled_rows,observed_n,paired_n,failures,hits,hit_fraction,mae_m,bias_m,p98_abs_m,max_abs_m
6,reference,8,trend,stable,all,627,622,622,0,476,0.7652733118971061,0.37781427069669854,0.08959486215911204,1.5379421340009005,3.481113527001943
6,reference,8,trend,stable,level_ge_7m,34,34,34,0,17,0.5,0.842530864102115,0.340576137184121,3.1888551777032235,3.481113527001943
6,reference,8,trend,unknown,all,32,23,9,14,5,0.5555555555555556,0.5767424872189495,-0.2888392057792847,1.1818829529921049,1.205719204907893
6,reference,8,trend,unknown,level_ge_7m,2,2,1,1,0,0.0,1.0567426304342167,1.0567426304342167,1.0567426304342167,1.0567426304342167
6,reference,9,event,594b4ac32b57fab12c848086,level_ge_7m,35,35,35,0,25,0.7142857142857143,0.3456181177654304,-0.25569523377331305,1.0224266769233472,1.3498076176118659
6,reference,9,event,a801ac814e2dfee4fc14bea5,level_ge_7m,135,135,133,2,25,0.18796992481203006,1.5647345642601613,0.26069175236010683,6.385543655535948,7.366754135676329
6,reference,9,event,f803fdacd0779dfe9e87b834,level_ge_7m,49,49,49,0,20,0.40816326530612246,0.5977363480036091,0.4884026296921694,1.1994614582617742,1.2076031276435373
6,reference,9,event,dcbe85f6ad3172a997c77a58,level_ge_7m,18,18,18,0,14,0.7777777777777778,0.3339760250183274,-0.11198392848389076,1.0693891263781221,1.078891026406982
6,reference,9,event,unassigned,level_ge_7m,0,0,0,0,0,,,,,
6,reference,9,trend,falling,all,844,836,835,1,445,0.5329341317365269,0.5411876358146568,-0.14183991687496875,1.7001179232439758,5.194239871862412
6,reference,9,trend,falling,level_ge_7m,85,85,84,1,32,0.38095238095238093,0.9067060446363419,0.5391645630273963,4.3802628760615505,5.194239871862412
6,reference,9,trend,rising,all,456,454,454,0,321,0.7070484581497798,0.5166527302267266,-0.030163262238563398,3.0552517095295944,7.366754135676329
6,reference,9,trend,rising,level_ge_7m,115,115,115,0,36,0.3130434782608696,1.249459002321538,-0.05695510941995377,6.601307079767492,7.366754135676329
6,reference,9,trend,stable,all,627,622,622,0,436,0.7009646302250804,0.42298846740036167,0.09244596846453758,1.5811010470944606,4.209504100862993
6,reference,9,trend,stable,level_ge_7m,35,35,35,0,16,0.45714285714285713,0.9838024262341124,0.2193114164786611,3.7300995199803255,4.209504100862993
6,reference,9,trend,unknown,all,32,24,9,15,5,0.5555555555555556,0.6183595047251236,-0.2579972264580086,1.28696966481824,1.2991919369217615
