estacao,nome,latitude,longitude,inicio,fim,chuva_periodo_mm,qualidade,fonte
16931,CEMADEN - Veranópolis - G2-432280603A (663 m),-28.93585,-51.56352,2026-09-21T00:10:00-03:00,2026-09-21T12:20:00-03:00,112.4,consistencia interna verificada; nao homologada,https://sigmameteorologia.com/produtos/stations/2026-09-21/16931.txt
16935,CEMADEN - Santa Tereza - G2-431725102A (81 m),-29.16962,-51.73682,2026-09-21T00:20:00-03:00,2026-09-21T12:20:00-03:00,155.2,consistencia interna verificada; nao homologada,https://sigmameteorologia.com/produtos/stations/2026-09-21/16935.txt
16936,CEMADEN - Santa Tereza - G2-431725103A (479 m),-29.14392,-51.70408,2026-09-21T00:10:00-03:00,2026-09-21T12:20:00-03:00,59.4,consistencia interna verificada; nao homologada,https://sigmameteorologia.com/produtos/stations/2026-09-21/16936.txt
16940,CEMADEN - Veranópolis - G2-432280601A (605 m),-28.997,-51.5618,2026-09-21T00:10:00-03:00,2026-09-21T12:20:00-03:00,98.8,consistencia interna verificada; nao homologada,https://sigmameteorologia.com/produtos/stations/2026-09-21/16940.txt
16952,CEMADEN - Guaporé - G2-430940701A (473 m),-28.8406,-51.9024,2026-09-21T00:10:00-03:00,2026-09-21T12:30:00-03:00,120.2,consistencia interna verificada; nao homologada,https://sigmameteorologia.com/produtos/stations/2026-09-21/16952.txt
17558,CEMADEN - Bento Gonçalves - Tuiuty (315 m),-29.049266,-51.562369,2026-09-21T00:10:00-03:00,2026-09-21T12:20:00-03:00,115.0,consistencia interna verificada; nao homologada,https://sigmameteorologia.com/produtos/stations/2026-09-21/17558.txt
17559,CEMADEN - Bento Gonçalves - FUNDAPARQUE (617 m),-29.169989,-51.489363,2026-09-21T00:10:00-03:00,2026-09-21T12:20:00-03:00,135.0,consistencia interna verificada; nao homologada,https://sigmameteorologia.com/produtos/stations/2026-09-21/17559.txt
17560,CEMADEN - Bento Gonçalves - EMBRAPA UVA (626 m),-29.16463,-51.534268,2026-09-21T00:10:00-03:00,2026-09-21T12:20:00-03:00,130.8,consistencia interna verificada; nao homologada,https://sigmameteorologia.com/produtos/stations/2026-09-21/17560.txt
17561,CEMADEN - Bento Gonçalves - Faria Lemos (349 m),-29.103374,-51.607984,2026-09-21T00:10:00-03:00,2026-09-21T12:20:00-03:00,127.2,consistencia interna verificada; nao homologada,https://sigmameteorologia.com/produtos/stations/2026-09-21/17561.txt
17717,CEMADEN - Muçum - G2-431260903A (60 m),-29.16674,-51.87146,2026-09-21T00:10:00-03:00,2026-09-21T12:30:00-03:00,123.4,consistencia interna verificada; nao homologada,https://sigmameteorologia.com/produtos/stations/2026-09-21/17717.txt
17718,CEMADEN - Muçum - G2-431260902A (136 m),-29.15467,-51.86221,2026-09-21T00:10:00-03:00,2026-09-21T12:20:00-03:00,139.0,consistencia interna verificada; nao homologada,https://sigmameteorologia.com/produtos/stations/2026-09-21/17718.txt
17719,CEMADEN - Muçum - G2-431260901A (517 m),-29.12422,-51.76907,2026-09-21T00:10:00-03:00,2026-09-21T12:10:00-03:00,,inconsistente; excluida do resumo,https://sigmameteorologia.com/produtos/stations/2026-09-21/17719.txt
7377,CEMADEN - Vacaria - Centro (941 m),-28.478,-50.965,2026-09-21T00:20:00-03:00,2026-09-21T12:20:00-03:00,9.6,consistencia interna verificada; nao homologada,https://sigmameteorologia.com/produtos/stations/2026-09-21/7377.txt
7379,CEMADEN - Vacaria - Vila São João (975 m),-28.51772,-50.94647,2026-09-21T00:40:00-03:00,2026-09-21T12:30:00-03:00,12.4,consistencia interna verificada; nao homologada,https://sigmameteorologia.com/produtos/stations/2026-09-21/7379.txt
