month,plant,field,records,first_timestamp,last_timestamp,finite,missing,zeros,negative,minimum,maximum,timestamps_2359
2024_05,JIUHQJ,val_vazaooutrasestruturas,552,2024-05-01 01:00:00,2024-05-31 23:59:00,517,35,182,0,0.0,36.0,22
2024_05,JIUHQJ,val_vazaotransferida,552,2024-05-01 01:00:00,2024-05-31 23:59:00,517,35,517,0,0.0,0.0,22
2024_05,JIUHQJ,val_vazaovertidanaoturbinavel,552,2024-05-01 01:00:00,2024-05-31 23:59:00,508,44,1,0,0.0,799.0,22
2024_05,JIUHMC,val_nivelmontante,554,2024-05-01 01:00:00,2024-05-31 23:59:00,554,0,0,0,139.34,155.14,23
2024_05,JIUHMC,val_niveljusante,554,2024-05-01 01:00:00,2024-05-31 23:59:00,517,37,0,0,105.0,115.49,23
2024_05,JIUHMC,val_volumeutil,554,2024-05-01 01:00:00,2024-05-31 23:59:00,541,13,0,8,-531.0,927.28,23
2024_05,JIUHMC,val_vazaoafluente,554,2024-05-01 01:00:00,2024-05-31 23:59:00,525,29,0,0,206.0,9998.0,23
2024_05,JIUHMC,val_vazaodefluente,554,2024-05-01 01:00:00,2024-05-31 23:59:00,553,1,0,0,206.0,9964.0,23
2024_05,JIUHMC,val_vazaoturbinada,554,2024-05-01 01:00:00,2024-05-31 23:59:00,524,30,517,0,0.0,177.0,23
2024_05,JIUHMC,val_vazaovertida,554,2024-05-01 01:00:00,2024-05-31 23:59:00,525,29,0,0,200.0,9964.0,23
2024_05,JIUHMC,val_vazaooutrasestruturas,554,2024-05-01 01:00:00,2024-05-31 23:59:00,517,37,0,0,2.0,18.0,23
2024_05,JIUHMC,val_vazaotransferida,554,2024-05-01 01:00:00,2024-05-31 23:59:00,516,38,516,0,0.0,0.0,23
2024_05,JIUHMC,val_vazaovertidanaoturbinavel,554,2024-05-01 01:00:00,2024-05-31 23:59:00,508,46,0,0,1.0,398.0,23
2024_05,JIUHCA,val_nivelmontante,564,2024-05-01 01:00:00,2024-05-31 23:59:00,563,1,0,0,24.06,246.23,23
2024_05,JIUHCA,val_niveljusante,564,2024-05-01 01:00:00,2024-05-31 23:59:00,555,9,0,0,146.4,160.26,23
2024_05,JIUHCA,val_volumeutil,564,2024-05-01 01:00:00,2024-05-31 23:59:00,563,1,0,0,165.02,841.33,23
2024_05,JIUHCA,val_vazaoafluente,564,2024-05-01 01:00:00,2024-05-31 23:59:00,530,34,0,0,258.0,8372.0,23
2024_05,JIUHCA,val_vazaodefluente,564,2024-05-01 01:00:00,2024-05-31 23:59:00,563,1,0,0,284.0,8272.0,23
2024_05,JIUHCA,val_vazaoturbinada,564,2024-05-01 01:00:00,2024-05-31 23:59:00,547,17,39,0,0.0,166.0,23
2024_05,JIUHCA,val_vazaovertida,564,2024-05-01 01:00:00,2024-05-31 23:59:00,530,34,0,0,212.0,8272.0,23
2024_05,JIUHCA,val_vazaooutrasestruturas,564,2024-05-01 01:00:00,2024-05-31 23:59:00,518,46,0,0,7.0,23.0,23
2024_05,JIUHCA,val_vazaotransferida,564,2024-05-01 01:00:00,2024-05-31 23:59:00,518,46,518,0,0.0,0.0,23
2024_05,JIUHCA,val_vazaovertidanaoturbinavel,564,2024-05-01 01:00:00,2024-05-31 23:59:00,510,54,0,0,1.0,156.0,23
