station,field,records,nominal_15min_slots,numeric,approved,current_parser_compatible,numeric_without_qc,negative,first_approved,last_approved,qc_counts
86504900,ChuvaFinal,0,3264,0,0,0,0,0,,,{}
86504900,ChuvaAcumAdotada,0,3264,0,0,0,0,0,,,{}
86505500,NivelFinal,812,3264,812,812,812,0,0,2024-03-29 00:00:00,2024-05-01 23:00:00,"{""Dado aprovado"": 812}"
86505500,VazaoFinal,812,3264,0,0,0,0,0,,,"{""MISSING_QC"": 812}"
86505500,ChuvaFinal,812,3264,812,812,812,0,0,2024-03-29 00:00:00,2024-05-01 23:00:00,"{""Dado aprovado"": 812}"
86505500,ChuvaAcumAdotada,812,3264,0,0,0,0,0,,,"{""MISSING_QC"": 812}"
86510000,NivelFinal,3264,3264,3264,3264,3264,0,0,2024-03-29 00:00:00,2024-05-01 23:45:00,"{""Dado aprovado"": 3264}"
86510000,VazaoFinal,3264,3264,3264,3264,3264,0,0,2024-03-29 00:00:00,2024-05-01 23:45:00,"{""Dado aprovado"": 3264}"
86510000,ChuvaFinal,3264,3264,3264,3264,3264,0,0,2024-03-29 00:00:00,2024-05-01 23:45:00,"{""Dado aprovado"": 3264}"
86510000,ChuvaAcumAdotada,3264,3264,3264,3264,3264,0,0,2024-03-29 00:00:00,2024-05-01 23:45:00,"{""Dado aprovado"": 3264}"
