phase,horizon_h,subset,population,family,scheduled_rows,observed_targets,n,failures,hits,hit_fraction,observed_target_hit_fraction,mae_m,bias_m,p98_abs_m,max_abs_m
validation,7,level_ge_7m,full_schedule,augmented,6545,28,28,0,22,0.7857142857142857,0.7857142857142857,0.36599592967606104,0.25358335707278684,1.3091012889627618,1.6104075559087958
validation,8,level_ge_7m,full_schedule,observed_control,6544,28,28,0,20,0.7142857142857143,0.7142857142857143,0.4882291267479996,0.34922148163674116,2.4609671216876006,2.5050304061770072
validation,8,level_ge_7m,full_schedule,augmented,6544,28,28,0,21,0.75,0.75,0.37579139202211265,0.19075273989476482,0.75207939358649,0.7601263675107086
validation,9,level_ge_7m,full_schedule,observed_control,6543,28,28,0,17,0.6071428571428571,0.6071428571428571,0.6095633629892163,0.45822141749499146,2.059747594337603,2.1405087524778477
validation,9,level_ge_7m,full_schedule,augmented,6543,28,28,0,15,0.5357142857142857,0.5357142857142857,0.504473866873807,0.41883414957461657,0.9673487347378852,0.9834888366483341
validation,10,level_ge_7m,full_schedule,observed_control,6542,28,28,0,11,0.39285714285714285,0.39285714285714285,0.7637956998438623,0.659964362486402,1.639679570538911,1.6643311821088886
validation,10,level_ge_7m,full_schedule,augmented,6542,28,28,0,10,0.35714285714285715,0.35714285714285715,0.7356940778716989,0.648277275190976,1.5203038235819715,1.6713292291906034
validation,11,level_ge_7m,full_schedule,observed_control,6541,28,28,0,9,0.32142857142857145,0.32142857142857145,0.913230549267538,0.6934932305653457,2.2734377675153006,2.3488613754696814
validation,11,level_ge_7m,full_schedule,augmented,6541,28,28,0,11,0.39285714285714285,0.39285714285714285,0.7703725655892585,0.6608468246215481,1.7637393054753499,1.9131478636324442
validation,12,level_ge_7m,full_schedule,observed_control,6540,28,28,0,7,0.25,0.25,0.9084925009708122,0.637657899731453,2.572327723114171,2.619470094800553
validation,12,level_ge_7m,full_schedule,augmented,6540,28,28,0,7,0.25,0.25,0.8928044255856857,0.6696284873467556,2.5379332789895725,2.6269778946483946
test,1,level_ge_7m,full_schedule,observed_control,1967,237,236,1,230,0.9745762711864406,0.9704641350210971,0.07747194053705365,-0.006832008882132252,0.5787276663094516,1.284834339803509
test,1,level_ge_7m,full_schedule,augmented,1967,237,236,1,231,0.9788135593220338,0.9746835443037974,0.06476384966726866,-0.0033801080469110065,0.3572067586884468,0.9375133944874756
test,2,level_ge_7m,full_schedule,observed_control,1966,237,236,1,225,0.9533898305084746,0.9493670886075949,0.14574519761403643,-0.014030602356920153,0.7202350736513357,2.4854087637465963
test,2,level_ge_7m,full_schedule,augmented,1966,237,236,1,225,0.9533898305084746,0.9493670886075949,0.13340345651541086,-0.0131910927040606,0.7643617226272912,1.739874407090178
test,3,level_ge_7m,full_schedule,observed_control,1965,237,236,1,206,0.8728813559322034,0.869198312236287,0.2397801871519601,-0.04664766333988164,1.5175037737316026,3.5268719363183774
test,3,level_ge_7m,full_schedule,augmented,1965,237,236,1,218,0.923728813559322,0.919831223628692,0.2045290355720415,-0.05610829724312178,1.0269649947971589,3.0549834478696507
test,4,level_ge_7m,full_schedule,observed_control,1964,237,236,1,189,0.8008474576271186,0.7974683544303798,0.3477376475215351,-0.07556707368542755,1.9960798231165728,4.159274231826119
test,4,level_ge_7m,full_schedule,augmented,1964,237,236,1,195,0.826271186440678,0.8227848101265823,0.3120340189086519,-0.08175325499585838,1.9013562095715206,3.789297893218299
test,5,level_ge_7m,full_schedule,observed_control,1963,237,236,1,174,0.7372881355932204,0.7341772151898734,0.44950094391357975,-0.08667631637036102,2.7581849813937223,4.732017992487203
test,5,level_ge_7m,full_schedule,augmented,1963,237,236,1,180,0.7627118644067796,0.759493670886076,0.41425014656526404,-0.14422542824706405,2.9616013832780985,4.197175167878556
test,6,level_ge_7m,full_schedule,observed_control,1962,237,236,1,149,0.6313559322033898,0.6286919831223629,0.5992745509944473,-0.1294956884565486,4.1687591231363985,5.717300772050423
test,6,level_ge_7m,full_schedule,augmented,1962,237,236,1,163,0.690677966101695,0.6877637130801688,0.5361155561391127,-0.09281554562528958,3.3684656186088886,4.704522031131441
test,7,level_ge_7m,full_schedule,observed_control,1961,237,236,1,132,0.559322033898305,0.5569620253164557,0.7350302813017384,-0.10404518285848988,4.360257143310526,5.611443817837554
test,7,level_ge_7m,full_schedule,augmented,1961,237,236,1,164,0.6949152542372882,0.6919831223628692,0.5468895482338202,-0.1094290420749327,3.5381556050491545,4.638033184969102
test,8,level_ge_7m,full_schedule,observed_control,1960,237,236,1,128,0.5423728813559322,0.540084388185654,0.8437648586743666,-0.14118542567397704,5.13793312352746,6.185898482285559
test,8,level_ge_7m,full_schedule,augmented,1960,237,236,1,143,0.6059322033898306,0.6033755274261603,0.6777920248435835,-0.16941932156969178,4.136055383292897,5.446067301688627
test,9,level_ge_7m,full_schedule,observed_control,1959,237,236,1,113,0.4788135593220339,0.4767932489451477,0.9692832556460395,-0.21216111648823835,5.315937681275884,6.0003742492804815
test,9,level_ge_7m,full_schedule,augmented,1959,237,236,1,124,0.5254237288135594,0.5232067510548524,0.8094479487623841,-0.23148685805560984,5.017554118971492,6.169177317055857
test,10,level_ge_7m,full_schedule,observed_control,1958,237,236,1,93,0.3940677966101695,0.3924050632911392,1.0678142840693023,-0.29065485947811165,5.986627894174404,6.464545216847842
test,10,level_ge_7m,full_schedule,augmented,1958,237,236,1,109,0.461864406779661,0.459915611814346,0.9459917650300765,-0.27057125632441914,5.252062157984813,6.448103913221744
test,11,level_ge_7m,full_schedule,observed_control,1957,237,236,1,85,0.3601694915254237,0.35864978902953587,1.1782923476697535,-0.3919115260975247,6.145453272947169,6.566430652044184
test,11,level_ge_7m,full_schedule,augmented,1957,237,236,1,101,0.4279661016949153,0.42616033755274263,1.0918713368645792,-0.3724069578022857,5.971823327490132,7.526430836325472
test,12,level_ge_7m,full_schedule,observed_control,1956,237,236,1,83,0.3516949152542373,0.350210970464135,1.3618131697950429,-0.49404041208717636,7.352671221251543,7.5899965838495795
test,12,level_ge_7m,full_schedule,augmented,1956,237,236,1,87,0.3686440677966102,0.3670886075949367,1.2303379463822062,-0.5466143494221529,6.811449894233653,7.974639368367226
