tau_hours,origin,target_time,recomputed_m,saved_m,abs_difference_m
2,2026-07-01T00:00:00-03:00,2026-07-01T03:00:00-03:00,4.07764693741353,4.07764693741353,0.0
2,2026-07-01T00:00:00-03:00,2026-07-01T04:00:00-03:00,3.992064582327811,3.992064582327811,0.0
2,2026-07-01T00:00:00-03:00,2026-07-01T05:00:00-03:00,3.922417928767188,3.922417928767188,0.0
2,2026-07-01T00:00:00-03:00,2026-07-01T06:00:00-03:00,3.8666851292302296,3.8666851292302296,0.0
2,2026-07-01T00:00:00-03:00,2026-07-01T07:00:00-03:00,3.830169669583168,3.830169669583168,0.0
2,2026-07-01T00:00:00-03:00,2026-07-01T08:00:00-03:00,3.81346404795319,3.81346404795319,0.0
2,2026-07-01T00:00:00-03:00,2026-07-01T09:00:00-03:00,3.830582061599698,3.830582061599698,0.0
2,2026-07-01T00:00:00-03:00,2026-07-01T10:00:00-03:00,3.869853749230631,3.8698537492306304,4.440892098500626e-16
2,2026-07-01T00:00:00-03:00,2026-07-01T11:00:00-03:00,3.924875198995398,3.924875198995398,0.0
2,2026-07-01T00:00:00-03:00,2026-07-01T12:00:00-03:00,3.9906601522382106,3.9906601522382106,0.0
2,2026-07-02T21:00:00-03:00,2026-07-02T22:00:00-03:00,7.075750471066019,7.075750471066019,0.0
2,2026-07-02T21:00:00-03:00,2026-07-02T23:00:00-03:00,7.225491414143212,7.225491414143213,8.881784197001252e-16
2,2026-07-02T21:00:00-03:00,2026-07-03T00:00:00-03:00,7.4100203910898745,7.4100203910898745,0.0
2,2026-07-02T21:00:00-03:00,2026-07-03T01:00:00-03:00,7.567576444886802,7.567576444886802,0.0
2,2026-07-02T21:00:00-03:00,2026-07-03T02:00:00-03:00,7.69827850104443,7.69827850104443,0.0
2,2026-07-02T21:00:00-03:00,2026-07-03T03:00:00-03:00,7.837471273432095,7.837471273432093,1.7763568394002505e-15
2,2026-07-02T21:00:00-03:00,2026-07-03T04:00:00-03:00,7.962422372218636,7.962422372218636,0.0
2,2026-07-02T21:00:00-03:00,2026-07-03T05:00:00-03:00,8.066662682264276,8.066662682264276,0.0
2,2026-07-02T21:00:00-03:00,2026-07-03T06:00:00-03:00,8.14925852216469,8.14925852216469,0.0
2,2026-07-02T21:00:00-03:00,2026-07-03T07:00:00-03:00,8.204813665645176,8.204813665645176,0.0
2,2026-07-02T21:00:00-03:00,2026-07-03T08:00:00-03:00,8.258168944280442,8.258168944280445,3.552713678800501e-15
2,2026-07-02T21:00:00-03:00,2026-07-03T09:00:00-03:00,8.26938640897928,8.26938640897928,0.0
2,2026-07-22T08:00:00-03:00,2026-07-22T09:00:00-03:00,17.45958723147034,17.45958723147034,0.0
2,2026-07-22T08:00:00-03:00,2026-07-22T10:00:00-03:00,17.409039698313588,17.409039698313588,0.0
2,2026-07-22T08:00:00-03:00,2026-07-22T11:00:00-03:00,17.80442196432657,17.80442196432657,0.0
2,2026-07-22T08:00:00-03:00,2026-07-22T12:00:00-03:00,17.04133784846348,17.04133784846348,0.0
2,2026-07-22T08:00:00-03:00,2026-07-22T13:00:00-03:00,16.382095575373842,16.38209557537384,3.552713678800501e-15
2,2026-07-22T08:00:00-03:00,2026-07-22T14:00:00-03:00,15.539875145416541,15.539875145416541,0.0
2,2026-07-22T08:00:00-03:00,2026-07-22T15:00:00-03:00,14.795729712913246,14.795729712913245,1.7763568394002505e-15
2,2026-07-22T08:00:00-03:00,2026-07-22T16:00:00-03:00,13.951845769809578,13.951845769809578,0.0
2,2026-07-22T08:00:00-03:00,2026-07-22T17:00:00-03:00,12.923128899908145,12.923128899908141,3.552713678800501e-15
2,2026-07-22T08:00:00-03:00,2026-07-22T18:00:00-03:00,11.384250382250215,11.384250382250213,1.7763568394002505e-15
2,2026-07-22T08:00:00-03:00,2026-07-22T19:00:00-03:00,10.238357642066603,10.238357642066601,1.7763568394002505e-15
2,2026-07-22T08:00:00-03:00,2026-07-22T20:00:00-03:00,8.986368006324149,8.986368006324147,1.7763568394002505e-15
2,2026-07-22T09:00:00-03:00,2026-07-22T10:00:00-03:00,17.880342658594834,17.880342658594834,0.0
