tau_hours,horizon_h,subset,family,population,n,hits,hit_fraction,mae_m,rmse_m,bias_m,p90_abs_m,p98_abs_m,max_abs_m
12,3,level_ge_7m,julho_levels,common_three,235,176,0.7489361702127659,0.36332055862237145,0.5505369975797492,0.0852342135959395,0.8351716924487517,1.3237317872772134,3.0805352798009373
6,4,all,reference,individual,1930,1609,0.833678756476684,0.2853203518752747,0.42061735219653856,-0.006060377114599486,0.6465195033388381,1.2417054571385628,3.329018638853949
6,4,all,reference,common_three,1930,1609,0.833678756476684,0.2853203518752747,0.42061735219653856,-0.006060377114599486,0.6465195033388381,1.2417054571385628,3.329018638853949
2,4,all,reference,individual,1930,1581,0.8191709844559586,0.3432965751363927,0.49751180558295405,-0.020562491272154263,0.6547077031169969,1.7013689323799452,2.886599746376149
2,4,all,reference,common_three,1930,1581,0.8191709844559586,0.3432965751363927,0.49751180558295405,-0.020562491272154263,0.6547077031169969,1.7013689323799452,2.886599746376149
12,4,all,reference,individual,1930,1603,0.8305699481865285,0.2813081175783471,0.41549786591299437,-0.00039368518507105756,0.658640733842189,1.0540756242212344,3.671050545611749
12,4,all,reference,common_three,1930,1603,0.8305699481865285,0.2813081175783471,0.41549786591299437,-0.00039368518507105756,0.658640733842189,1.0540756242212344,3.671050545611749
6,4,all,julho_levels,individual,1930,1569,0.8129533678756476,0.2995723727564162,0.4264705602085482,0.019625429642427333,0.6660606934286432,1.2339447653547935,3.146640556692857
6,4,all,julho_levels,common_three,1930,1569,0.8129533678756476,0.2995723727564162,0.4264705602085482,0.019625429642427333,0.6660606934286432,1.2339447653547935,3.146640556692857
2,4,all,julho_levels,individual,1930,1571,0.8139896373056995,0.34825782822083473,0.4967874589658108,0.006046443744704905,0.6573353066612901,1.6673752169960265,2.5639702064320034
2,4,all,julho_levels,common_three,1930,1571,0.8139896373056995,0.34825782822083473,0.4967874589658108,0.006046443744704905,0.6573353066612901,1.6673752169960265,2.5639702064320034
12,4,all,julho_levels,individual,1930,1538,0.7968911917098446,0.29374439021464505,0.4244682662406598,0.024885004122963083,0.6911362531952974,1.0724033113214635,3.4841511059585457
12,4,all,julho_levels,common_three,1930,1538,0.7968911917098446,0.29374439021464505,0.4244682662406598,0.024885004122963083,0.6911362531952974,1.0724033113214635,3.4841511059585457
6,4,level_ge_7m,reference,individual,235,134,0.5702127659574469,0.5799805335533165,0.8151917909791027,0.21239769641752104,1.318664578584491,2.3065520961483585,3.329018638853949
