phase,horizon_h,subset,population,scheduled_rows,observed_targets,n,failures,control_hits,candidate_hits,change_hits,control_mae_m,candidate_mae_m,change_mae_m,control_bias_m,candidate_bias_m,change_bias_m,control_p98_abs_m,candidate_p98_abs_m,change_p98_abs_m,control_max_abs_m,candidate_max_abs_m,change_max_abs_m
validation,6,all,full_schedule,6546,6512,6472,40,6322.0,6221.0,-101.0,0.09959606968428815,0.11778328524822877,0.018187215563940623,0.015818056626594208,0.04052409039155204,0.024706033764957832,0.521216742955346,1.0589578039132166,0.5377410609578706,2.0157117770796145,2.6380982400628117,0.6223864629831972
validation,6,all,complete24,5912,5881,5881,0,5788.0,5667.0,-121.0,0.08955848593583714,0.11377649382948668,0.024218007893649543,0.011826010651543673,0.04155329408124975,0.029727283429706076,0.43268006928695163,1.086038624148162,0.6533585548612104,2.0157117770796145,2.6380982400628117,0.6223864629831972
validation,6,all,missing24,634,631,591,40,534.0,554.0,20.0,0.19947936921836668,0.1576545886892141,-0.04182478052915259,0.05554262918035423,0.030282555875287633,-0.025260073305066594,0.9151751725811162,0.8528735955959531,-0.06230157698516314,1.2704077599448484,1.5247306162443726,0.2543228562995241
validation,6,level_ge_7m,full_schedule,6546,28,28,0,24.0,25.0,1.0,0.2587119452642057,0.31899240609293583,0.06028046082873012,-0.04575799295960744,0.16988423529332763,0.21564222825293508,0.894448299163738,1.4709449757108284,0.5764966765470904,1.0962896884715265,1.8876763756515116,0.7913866871799851
validation,6,level_ge_7m,complete24,5912,28,28,0,24.0,25.0,1.0,0.2587119452642057,0.31899240609293583,0.06028046082873012,-0.04575799295960744,0.16988423529332763,0.21564222825293508,0.894448299163738,1.4709449757108284,0.5764966765470904,1.0962896884715265,1.8876763756515116,0.7913866871799851
validation,6,level_ge_7m,missing24,634,0,0,0,0.0,0.0,0.0,,,,,,,,,,,,
validation,7,all,full_schedule,6545,6511,6471,40,6159.0,6097.0,-62.0,0.13672023312714657,0.20898040610807736,0.07226017298093079,0.05841799343365365,0.1263393538840013,0.06792136045034766,0.6608837932413701,3.198623106650054,2.537739313408684,2.794810940153507,4.222292871207433,1.4274819310539257
validation,7,all,complete24,5912,5884,5884,0,5660.0,5579.0,-81.0,0.12632267706871253,0.20554884751885566,0.07922617045014313,0.05400033590109299,0.13130315359723277,0.07730281769613978,0.5943925194522182,3.366136751733546,2.771744232281328,2.794810940153507,4.222292871207433,1.4274819310539257
validation,7,all,missing24,633,627,587,40,499.0,518.0,19.0,0.24094377630913266,0.24337783496494372,0.002434058655811061,0.10269993026770294,0.07658296970571521,-0.02611696056198773,1.0498734597155641,1.2152111972896913,0.16533773757412717,1.61686335511456,3.722874698930699,2.106011343816139
validation,7,level_ge_7m,full_schedule,6545,28,28,0,18.0,14.0,-4.0,0.4275016599210431,0.6287247032197454,0.20122304329870228,0.3297182360213466,0.5984186189779941,0.2687003829566475,1.6964790563889107,2.8704950990190197,1.174016042630109,2.6556568259868305,3.1438582931485106,0.4882014671616801
validation,7,level_ge_7m,complete24,5912,28,28,0,18.0,14.0,-4.0,0.4275016599210431,0.6287247032197454,0.20122304329870228,0.3297182360213466,0.5984186189779941,0.2687003829566475,1.6964790563889107,2.8704950990190197,1.174016042630109,2.6556568259868305,3.1438582931485106,0.4882014671616801
validation,7,level_ge_7m,missing24,633,0,0,0,0.0,0.0,0.0,,,,,,,,,,,,
validation,8,all,full_schedule,6544,6510,6470,40,5980.0,5923.0,-57.0,0.1737857161039854,0.25528570027138114,0.08149998416739573,0.07021685907380332,0.15268018001095757,0.08246332093715425,0.8389279903809922,3.4652744899999806,2.6263464996189883,2.692538070308298,4.696446575043877,2.003908504735579
validation,8,all,complete24,5912,5882,5882,0,5488.0,5455.0,-33.0,0.16373304279968726,0.25012717964324027,0.08639413684355302,0.06906971449483204,0.15696684153738072,0.08789712704254868,0.7926993911674007,3.9397337239511807,3.1470343327837798,2.692538070308298,4.696446575043877,2.003908504735579
validation,8,all,missing24,632,628,588,40,492.0,468.0,-24.0,0.274346641913308,0.3068884525413215,0.032541810628013534,0.08169220671582561,0.10979898426534347,0.02810677754951786,1.1132679089908313,1.2601670232105688,0.14689911421973756,1.6334763345769154,3.8468317780757917,2.2133554434988763
validation,8,level_ge_7m,full_schedule,6544,28,28,0,20.0,13.0,-7.0,0.4882291267479996,0.843007084068548,0.35477795732054834,0.34922148163674116,0.7048883119826345,0.3556668303458933,2.4609671216876006,2.8892859735094114,0.42831885182181084,2.5050304061770072,3.007068766222681,0.5020383600456739
validation,8,level_ge_7m,complete24,5912,28,28,0,20.0,13.0,-7.0,0.4882291267479996,0.843007084068548,0.35477795732054834,0.34922148163674116,0.7048883119826345,0.3556668303458933,2.4609671216876006,2.8892859735094114,0.42831885182181084,2.5050304061770072,3.007068766222681,0.5020383600456739
validation,8,level_ge_7m,missing24,632,0,0,0,0.0,0.0,0.0,,,,,,,,,,,,
validation,9,all,full_schedule,6543,6509,6470,39,5862.0,5770.0,-92.0,0.20975928763948337,0.2981333710708982,0.08837408343141484,0.0968513378323692,0.17072167102799876,0.07387033319562956,0.9493061748169647,4.188385991368047,3.239079816551082,3.5173872091375897,5.030429197319773,1.513041988182183
validation,9,all,complete24,5912,5883,5883,0,5395.0,5318.0,-77.0,0.19830282013669204,0.29206167468798633,0.09375885455129429,0.09168644836336785,0.17254599479687424,0.08085954643350639,0.8676598035546202,4.359063484889328,3.4914036813347074,3.5173872091375897,5.030429197319773,1.513041988182183
validation,9,all,missing24,631,626,587,39,467.0,452.0,-15.0,0.32457768341277304,0.35898480177050696,0.03440711835773391,0.14861461678660254,0.15243803093891103,0.0038234141523084963,1.2432749814772845,1.334839373991404,0.09156439251411941,1.956957320537746,4.418852735151111,2.461895414613365
validation,9,level_ge_7m,full_schedule,6543,28,28,0,17.0,9.0,-8.0,0.6095633629892163,0.936392368734251,0.3268290057450347,0.45822141749499146,0.7999616794588215,0.34174026196383,2.059747594337603,2.6755177490371995,0.6157701546995966,2.1405087524778477,2.7928309988350986,0.6523222463572509
validation,9,level_ge_7m,complete24,5912,28,28,0,17.0,9.0,-8.0,0.6095633629892163,0.936392368734251,0.3268290057450347,0.45822141749499146,0.7999616794588215,0.34174026196383,2.059747594337603,2.6755177490371995,0.6157701546995966,2.1405087524778477,2.7928309988350986,0.6523222463572509
validation,9,level_ge_7m,missing24,631,0,0,0,0.0,0.0,0.0,,,,,,,,,,,,
validation,10,all,full_schedule,6542,6508,6468,40,5604.0,5520.0,-84.0,0.2647682161240813,0.33728957532513154,0.07252135920105024,0.10887774402637874,0.16278614630881028,0.05390840228243153,1.0635666059005755,3.259496707645425,2.1959301017448496,3.441071344514551,4.525846771998609,1.0847754274840575
