window,origin_literal,horizon_h,target_literal,base_m,actual_m,complete_hourly_features,current_contract_base_m
2018-08-30,2018-08-30T05:00:00,3,2018-08-30T08:00:00,2.99,2.96,False,
2018-08-30,2018-08-30T05:00:00,4,2018-08-30T09:00:00,2.99,2.96,False,
2018-08-30,2018-08-30T05:00:00,5,2018-08-30T10:00:00,2.99,2.96,False,
2018-08-30,2018-08-30T05:00:00,6,2018-08-30T11:00:00,2.99,2.97,False,
2018-08-30,2018-08-30T05:00:00,7,2018-08-30T12:00:00,2.99,2.97,False,
2018-08-30,2018-08-30T05:00:00,8,2018-08-30T13:00:00,2.99,2.96,False,
2018-08-30,2018-08-30T05:00:00,9,2018-08-30T14:00:00,2.99,2.9,False,
2018-08-30,2018-08-30T05:00:00,10,2018-08-30T15:00:00,2.99,2.76,False,
2018-08-30,2018-08-30T05:00:00,11,2018-08-30T16:00:00,2.99,2.62,False,
2018-08-30,2018-08-30T05:00:00,12,2018-08-30T17:00:00,2.99,2.5,False,
2018-08-30,2018-08-30T06:00:00,1,2018-08-30T07:00:00,2.97,2.96,False,
2018-08-30,2018-08-30T06:00:00,2,2018-08-30T08:00:00,2.97,2.96,False,
2018-08-30,2018-08-30T06:00:00,3,2018-08-30T09:00:00,2.97,2.96,False,
2018-08-30,2018-08-30T06:00:00,4,2018-08-30T10:00:00,2.97,2.96,False,
2018-08-30,2018-08-30T06:00:00,5,2018-08-30T11:00:00,2.97,2.97,False,
2018-08-30,2018-08-30T06:00:00,6,2018-08-30T12:00:00,2.97,2.97,False,
2018-08-30,2018-08-30T06:00:00,7,2018-08-30T13:00:00,2.97,2.96,False,
2018-08-30,2018-08-30T06:00:00,8,2018-08-30T14:00:00,2.97,2.9,False,
2018-08-30,2018-08-30T06:00:00,9,2018-08-30T15:00:00,2.97,2.76,False,
2018-08-30,2018-08-30T06:00:00,10,2018-08-30T16:00:00,2.97,2.62,False,
2018-08-30,2018-08-30T06:00:00,11,2018-08-30T17:00:00,2.97,2.5,False,
2018-08-30,2018-08-30T06:00:00,12,2018-08-30T18:00:00,2.97,2.44,False,
2018-08-30,2018-08-30T07:00:00,1,2018-08-30T08:00:00,2.97,2.96,False,
2018-08-30,2018-08-30T07:00:00,2,2018-08-30T09:00:00,2.97,2.96,False,
2018-08-30,2018-08-30T07:00:00,3,2018-08-30T10:00:00,2.97,2.96,False,
2018-08-30,2018-08-30T07:00:00,4,2018-08-30T11:00:00,2.97,2.97,False,
2018-08-30,2018-08-30T07:00:00,5,2018-08-30T12:00:00,2.97,2.97,False,
2018-08-30,2018-08-30T07:00:00,6,2018-08-30T13:00:00,2.97,2.96,False,
2018-08-30,2018-08-30T07:00:00,7,2018-08-30T14:00:00,2.97,2.9,False,
2018-08-30,2018-08-30T07:00:00,8,2018-08-30T15:00:00,2.97,2.76,False,
2018-08-30,2018-08-30T07:00:00,9,2018-08-30T16:00:00,2.97,2.62,False,
2018-08-30,2018-08-30T07:00:00,10,2018-08-30T17:00:00,2.97,2.5,False,
2018-08-30,2018-08-30T07:00:00,11,2018-08-30T18:00:00,2.97,2.44,False,
2018-08-30,2018-08-30T07:00:00,12,2018-08-30T19:00:00,2.97,2.52,False,
2018-08-30,2018-08-30T08:00:00,1,2018-08-30T09:00:00,2.96,2.96,False,
2018-08-30,2018-08-30T08:00:00,2,2018-08-30T10:00:00,2.96,2.96,False,
2018-08-30,2018-08-30T08:00:00,3,2018-08-30T11:00:00,2.96,2.97,False,
2018-08-30,2018-08-30T08:00:00,4,2018-08-30T12:00:00,2.96,2.97,False,
2018-08-30,2018-08-30T08:00:00,5,2018-08-30T13:00:00,2.96,2.96,False,
2018-08-30,2018-08-30T08:00:00,6,2018-08-30T14:00:00,2.96,2.9,False,
2018-08-30,2018-08-30T08:00:00,7,2018-08-30T15:00:00,2.96,2.76,False,
2018-08-30,2018-08-30T08:00:00,8,2018-08-30T16:00:00,2.96,2.62,False,
2018-08-30,2018-08-30T08:00:00,9,2018-08-30T17:00:00,2.96,2.5,False,
2018-08-30,2018-08-30T08:00:00,10,2018-08-30T18:00:00,2.96,2.44,False,
2018-08-30,2018-08-30T08:00:00,11,2018-08-30T19:00:00,2.96,2.52,False,
2018-08-30,2018-08-30T08:00:00,12,2018-08-30T20:00:00,2.96,2.71,False,
2018-08-30,2018-08-30T09:00:00,1,2018-08-30T10:00:00,2.96,2.96,True,
2018-08-30,2018-08-30T09:00:00,2,2018-08-30T11:00:00,2.96,2.97,True,
2018-08-30,2018-08-30T09:00:00,3,2018-08-30T12:00:00,2.96,2.97,True,
2018-08-30,2018-08-30T09:00:00,4,2018-08-30T13:00:00,2.96,2.96,True,
2018-08-30,2018-08-30T09:00:00,5,2018-08-30T14:00:00,2.96,2.9,True,
2018-08-30,2018-08-30T09:00:00,6,2018-08-30T15:00:00,2.96,2.76,True,
2018-08-30,2018-08-30T09:00:00,7,2018-08-30T16:00:00,2.96,2.62,True,
2018-08-30,2018-08-30T09:00:00,8,2018-08-30T17:00:00,2.96,2.5,True,
2018-08-30,2018-08-30T09:00:00,9,2018-08-30T18:00:00,2.96,2.44,True,
2018-08-30,2018-08-30T09:00:00,10,2018-08-30T19:00:00,2.96,2.52,True,
2018-08-30,2018-08-30T09:00:00,11,2018-08-30T20:00:00,2.96,2.71,True,
2018-08-30,2018-08-30T09:00:00,12,2018-08-30T21:00:00,2.96,2.87,True,
2018-08-30,2018-08-30T10:00:00,1,2018-08-30T11:00:00,2.96,2.97,True,
2018-08-30,2018-08-30T10:00:00,2,2018-08-30T12:00:00,2.96,2.97,True,
2018-08-30,2018-08-30T10:00:00,3,2018-08-30T13:00:00,2.96,2.96,True,
2018-08-30,2018-08-30T10:00:00,4,2018-08-30T14:00:00,2.96,2.9,True,
2018-08-30,2018-08-30T10:00:00,5,2018-08-30T15:00:00,2.96,2.76,True,
2018-08-30,2018-08-30T10:00:00,6,2018-08-30T16:00:00,2.96,2.62,True,
2018-08-30,2018-08-30T10:00:00,7,2018-08-30T17:00:00,2.96,2.5,True,
2018-08-30,2018-08-30T10:00:00,8,2018-08-30T18:00:00,2.96,2.44,True,
2018-08-30,2018-08-30T10:00:00,9,2018-08-30T19:00:00,2.96,2.52,True,
2018-08-30,2018-08-30T10:00:00,10,2018-08-30T20:00:00,2.96,2.71,True,
2018-08-30,2018-08-30T10:00:00,11,2018-08-30T21:00:00,2.96,2.87,True,
2018-08-30,2018-08-30T10:00:00,12,2018-08-30T22:00:00,2.96,2.96,True,
2018-08-30,2018-08-30T11:00:00,1,2018-08-30T12:00:00,2.96,2.97,True,
2018-08-30,2018-08-30T11:00:00,2,2018-08-30T13:00:00,2.96,2.96,True,
2018-08-30,2018-08-30T11:00:00,3,2018-08-30T14:00:00,2.96,2.9,True,
2018-08-30,2018-08-30T11:00:00,4,2018-08-30T15:00:00,2.96,2.76,True,
2018-08-30,2018-08-30T11:00:00,5,2018-08-30T16:00:00,2.96,2.62,True,
2018-08-30,2018-08-30T11:00:00,6,2018-08-30T17:00:00,2.96,2.5,True,
2018-08-30,2018-08-30T11:00:00,7,2018-08-30T18:00:00,2.96,2.44,True,
2018-08-30,2018-08-30T11:00:00,8,2018-08-30T19:00:00,2.96,2.52,True,
2018-08-30,2018-08-30T11:00:00,9,2018-08-30T20:00:00,2.96,2.71,True,
2018-08-30,2018-08-30T11:00:00,10,2018-08-30T21:00:00,2.96,2.87,True,
2018-08-30,2018-08-30T11:00:00,11,2018-08-30T22:00:00,2.96,2.96,True,
2018-08-30,2018-08-30T11:00:00,12,2018-08-30T23:00:00,2.96,3.0,True,
2018-08-30,2018-08-30T12:00:00,1,2018-08-30T13:00:00,2.97,2.96,True,
2018-08-30,2018-08-30T12:00:00,2,2018-08-30T14:00:00,2.97,2.9,True,
2018-08-30,2018-08-30T12:00:00,3,2018-08-30T15:00:00,2.97,2.76,True,
2018-08-30,2018-08-30T12:00:00,4,2018-08-30T16:00:00,2.97,2.62,True,
2018-08-30,2018-08-30T12:00:00,5,2018-08-30T17:00:00,2.97,2.5,True,
2018-08-30,2018-08-30T12:00:00,6,2018-08-30T18:00:00,2.97,2.44,True,
2018-08-30,2018-08-30T12:00:00,7,2018-08-30T19:00:00,2.97,2.52,True,
2018-08-30,2018-08-30T12:00:00,8,2018-08-30T20:00:00,2.97,2.71,True,
2018-08-30,2018-08-30T12:00:00,9,2018-08-30T21:00:00,2.97,2.87,True,
2018-08-30,2018-08-30T12:00:00,10,2018-08-30T22:00:00,2.97,2.96,True,
2018-08-30,2018-08-30T12:00:00,11,2018-08-30T23:00:00,2.97,3.0,True,
2018-08-30,2018-08-30T12:00:00,12,2018-08-31T00:00:00,2.97,3.01,True,
2018-08-30,2018-08-30T13:00:00,1,2018-08-30T14:00:00,2.97,2.9,True,
2018-08-30,2018-08-30T13:00:00,2,2018-08-30T15:00:00,2.97,2.76,True,
2018-08-30,2018-08-30T13:00:00,3,2018-08-30T16:00:00,2.97,2.62,True,
2018-08-30,2018-08-30T13:00:00,4,2018-08-30T17:00:00,2.97,2.5,True,
2018-08-30,2018-08-30T13:00:00,5,2018-08-30T18:00:00,2.97,2.44,True,
2018-08-30,2018-08-30T13:00:00,6,2018-08-30T19:00:00,2.97,2.52,True,
2018-08-30,2018-08-30T13:00:00,7,2018-08-30T20:00:00,2.97,2.71,True,
2018-08-30,2018-08-30T13:00:00,8,2018-08-30T21:00:00,2.97,2.87,True,
2018-08-30,2018-08-30T13:00:00,9,2018-08-30T22:00:00,2.97,2.96,True,
2018-08-30,2018-08-30T13:00:00,10,2018-08-30T23:00:00,2.97,3.0,True,
2018-08-30,2018-08-30T13:00:00,11,2018-08-31T00:00:00,2.97,3.01,True,
2018-08-30,2018-08-30T13:00:00,12,2018-08-31T01:00:00,2.97,3.01,True,
2018-08-30,2018-08-30T14:00:00,1,2018-08-30T15:00:00,2.96,2.76,True,
2018-08-30,2018-08-30T14:00:00,2,2018-08-30T16:00:00,2.96,2.62,True,
2018-08-30,2018-08-30T14:00:00,3,2018-08-30T17:00:00,2.96,2.5,True,
2018-08-30,2018-08-30T14:00:00,4,2018-08-30T18:00:00,2.96,2.44,True,
2018-08-30,2018-08-30T14:00:00,5,2018-08-30T19:00:00,2.96,2.52,True,
2018-08-30,2018-08-30T14:00:00,6,2018-08-30T20:00:00,2.96,2.71,True,
2018-08-30,2018-08-30T14:00:00,7,2018-08-30T21:00:00,2.96,2.87,True,
2018-08-30,2018-08-30T14:00:00,8,2018-08-30T22:00:00,2.96,2.96,True,
2018-08-30,2018-08-30T14:00:00,9,2018-08-30T23:00:00,2.96,3.0,True,
2018-08-30,2018-08-30T14:00:00,10,2018-08-31T00:00:00,2.96,3.01,True,
2018-08-30,2018-08-30T14:00:00,11,2018-08-31T01:00:00,2.96,3.01,True,
2018-08-30,2018-08-30T14:00:00,12,2018-08-31T02:00:00,2.96,3.0,True,
2018-08-30,2018-08-30T15:00:00,1,2018-08-30T16:00:00,2.9,2.62,True,
2018-08-30,2018-08-30T15:00:00,2,2018-08-30T17:00:00,2.9,2.5,True,
2018-08-30,2018-08-30T15:00:00,3,2018-08-30T18:00:00,2.9,2.44,True,
2018-08-30,2018-08-30T15:00:00,4,2018-08-30T19:00:00,2.9,2.52,True,
2018-08-30,2018-08-30T15:00:00,5,2018-08-30T20:00:00,2.9,2.71,True,
2018-08-30,2018-08-30T15:00:00,6,2018-08-30T21:00:00,2.9,2.87,True,
2018-08-30,2018-08-30T15:00:00,7,2018-08-30T22:00:00,2.9,2.96,True,
2018-08-30,2018-08-30T15:00:00,8,2018-08-30T23:00:00,2.9,3.0,True,
2018-08-30,2018-08-30T15:00:00,9,2018-08-31T00:00:00,2.9,3.01,True,
2018-08-30,2018-08-30T15:00:00,10,2018-08-31T01:00:00,2.9,3.01,True,
2018-08-30,2018-08-30T15:00:00,11,2018-08-31T02:00:00,2.9,3.0,True,
2018-08-30,2018-08-30T15:00:00,12,2018-08-31T03:00:00,2.9,2.98,True,
2018-08-30,2018-08-30T16:00:00,1,2018-08-30T17:00:00,2.76,2.5,True,
2018-08-30,2018-08-30T16:00:00,2,2018-08-30T18:00:00,2.76,2.44,True,
2018-08-30,2018-08-30T16:00:00,3,2018-08-30T19:00:00,2.76,2.52,True,
2018-08-30,2018-08-30T16:00:00,4,2018-08-30T20:00:00,2.76,2.71,True,
2018-08-30,2018-08-30T16:00:00,5,2018-08-30T21:00:00,2.76,2.87,True,
2018-08-30,2018-08-30T16:00:00,6,2018-08-30T22:00:00,2.76,2.96,True,
2018-08-30,2018-08-30T16:00:00,7,2018-08-30T23:00:00,2.76,3.0,True,
2018-08-30,2018-08-30T16:00:00,8,2018-08-31T00:00:00,2.76,3.01,True,
2018-08-30,2018-08-30T16:00:00,9,2018-08-31T01:00:00,2.76,3.01,True,
2018-08-30,2018-08-30T16:00:00,10,2018-08-31T02:00:00,2.76,3.0,True,
2018-08-30,2018-08-30T16:00:00,11,2018-08-31T03:00:00,2.76,2.98,True,
2018-08-30,2018-08-30T16:00:00,12,2018-08-31T04:00:00,2.76,2.94,True,
2018-08-30,2018-08-30T17:00:00,1,2018-08-30T18:00:00,2.62,2.44,True,
2018-08-30,2018-08-30T17:00:00,2,2018-08-30T19:00:00,2.62,2.52,True,
2018-08-30,2018-08-30T17:00:00,3,2018-08-30T20:00:00,2.62,2.71,True,
2018-08-30,2018-08-30T17:00:00,4,2018-08-30T21:00:00,2.62,2.87,True,
2018-08-30,2018-08-30T17:00:00,5,2018-08-30T22:00:00,2.62,2.96,True,
2018-08-30,2018-08-30T17:00:00,6,2018-08-30T23:00:00,2.62,3.0,True,
2018-08-30,2018-08-30T17:00:00,7,2018-08-31T00:00:00,2.62,3.01,True,
2018-08-30,2018-08-30T17:00:00,8,2018-08-31T01:00:00,2.62,3.01,True,
2018-08-30,2018-08-30T17:00:00,9,2018-08-31T02:00:00,2.62,3.0,True,
2018-08-30,2018-08-30T17:00:00,10,2018-08-31T03:00:00,2.62,2.98,True,
2018-08-30,2018-08-30T17:00:00,11,2018-08-31T04:00:00,2.62,2.94,True,
2018-08-30,2018-08-30T17:00:00,12,2018-08-31T05:00:00,2.62,2.89,True,
2018-08-30,2018-08-30T18:00:00,1,2018-08-30T19:00:00,2.5,2.52,True,
2018-08-30,2018-08-30T18:00:00,2,2018-08-30T20:00:00,2.5,2.71,True,
2018-08-30,2018-08-30T18:00:00,3,2018-08-30T21:00:00,2.5,2.87,True,
2018-08-30,2018-08-30T18:00:00,4,2018-08-30T22:00:00,2.5,2.96,True,
2018-08-30,2018-08-30T18:00:00,5,2018-08-30T23:00:00,2.5,3.0,True,
2018-08-30,2018-08-30T18:00:00,6,2018-08-31T00:00:00,2.5,3.01,True,
2018-08-30,2018-08-30T18:00:00,7,2018-08-31T01:00:00,2.5,3.01,True,
2018-08-30,2018-08-30T18:00:00,8,2018-08-31T02:00:00,2.5,3.0,True,
2018-08-30,2018-08-30T18:00:00,9,2018-08-31T03:00:00,2.5,2.98,True,
2018-08-30,2018-08-30T18:00:00,10,2018-08-31T04:00:00,2.5,2.94,True,
2018-08-30,2018-08-30T18:00:00,11,2018-08-31T05:00:00,2.5,2.89,True,
2018-08-30,2018-08-30T18:00:00,12,2018-08-31T06:00:00,2.5,2.77,True,
2018-08-30,2018-08-30T19:00:00,1,2018-08-30T20:00:00,2.44,2.71,True,
2018-08-30,2018-08-30T19:00:00,2,2018-08-30T21:00:00,2.44,2.87,True,
2018-08-30,2018-08-30T19:00:00,3,2018-08-30T22:00:00,2.44,2.96,True,
2018-08-30,2018-08-30T19:00:00,4,2018-08-30T23:00:00,2.44,3.0,True,
2018-08-30,2018-08-30T19:00:00,5,2018-08-31T00:00:00,2.44,3.01,True,
2018-08-30,2018-08-30T19:00:00,6,2018-08-31T01:00:00,2.44,3.01,True,
2018-08-30,2018-08-30T19:00:00,7,2018-08-31T02:00:00,2.44,3.0,True,
2018-08-30,2018-08-30T19:00:00,8,2018-08-31T03:00:00,2.44,2.98,True,
2018-08-30,2018-08-30T19:00:00,9,2018-08-31T04:00:00,2.44,2.94,True,
2018-08-30,2018-08-30T19:00:00,10,2018-08-31T05:00:00,2.44,2.89,True,
2018-08-30,2018-08-30T19:00:00,11,2018-08-31T06:00:00,2.44,2.77,True,
2018-08-30,2018-08-30T19:00:00,12,2018-08-31T07:00:00,2.44,2.61,True,
2018-08-30,2018-08-30T20:00:00,1,2018-08-30T21:00:00,2.52,2.87,True,
2018-08-30,2018-08-30T20:00:00,2,2018-08-30T22:00:00,2.52,2.96,True,
2018-08-30,2018-08-30T20:00:00,3,2018-08-30T23:00:00,2.52,3.0,True,
2018-08-30,2018-08-30T20:00:00,4,2018-08-31T00:00:00,2.52,3.01,True,
2018-08-30,2018-08-30T20:00:00,5,2018-08-31T01:00:00,2.52,3.01,True,
2018-08-30,2018-08-30T20:00:00,6,2018-08-31T02:00:00,2.52,3.0,True,
2018-08-30,2018-08-30T20:00:00,7,2018-08-31T03:00:00,2.52,2.98,True,
2018-08-30,2018-08-30T20:00:00,8,2018-08-31T04:00:00,2.52,2.94,True,
2018-08-30,2018-08-30T20:00:00,9,2018-08-31T05:00:00,2.52,2.89,True,
2018-08-30,2018-08-30T20:00:00,10,2018-08-31T06:00:00,2.52,2.77,True,
2018-08-30,2018-08-30T20:00:00,11,2018-08-31T07:00:00,2.52,2.61,True,
2018-08-30,2018-08-30T20:00:00,12,2018-08-31T08:00:00,2.52,2.45,True,
2018-08-30,2018-08-30T21:00:00,1,2018-08-30T22:00:00,2.71,2.96,True,
2018-08-30,2018-08-30T21:00:00,2,2018-08-30T23:00:00,2.71,3.0,True,
2018-08-30,2018-08-30T21:00:00,3,2018-08-31T00:00:00,2.71,3.01,True,
2018-08-30,2018-08-30T21:00:00,4,2018-08-31T01:00:00,2.71,3.01,True,
2018-08-30,2018-08-30T21:00:00,5,2018-08-31T02:00:00,2.71,3.0,True,
2018-08-30,2018-08-30T21:00:00,6,2018-08-31T03:00:00,2.71,2.98,True,
2018-08-30,2018-08-30T21:00:00,7,2018-08-31T04:00:00,2.71,2.94,True,
2018-08-30,2018-08-30T21:00:00,8,2018-08-31T05:00:00,2.71,2.89,True,
2018-08-30,2018-08-30T21:00:00,9,2018-08-31T06:00:00,2.71,2.77,True,
2018-08-30,2018-08-30T21:00:00,10,2018-08-31T07:00:00,2.71,2.61,True,
2018-08-30,2018-08-30T21:00:00,11,2018-08-31T08:00:00,2.71,2.45,True,
2018-08-30,2018-08-30T21:00:00,12,2018-08-31T09:00:00,2.71,2.34,True,
2018-08-30,2018-08-30T22:00:00,1,2018-08-30T23:00:00,2.87,3.0,True,
2018-08-30,2018-08-30T22:00:00,2,2018-08-31T00:00:00,2.87,3.01,True,
2018-08-30,2018-08-30T22:00:00,3,2018-08-31T01:00:00,2.87,3.01,True,
2018-08-30,2018-08-30T22:00:00,4,2018-08-31T02:00:00,2.87,3.0,True,
2018-08-30,2018-08-30T22:00:00,5,2018-08-31T03:00:00,2.87,2.98,True,
2018-08-30,2018-08-30T22:00:00,6,2018-08-31T04:00:00,2.87,2.94,True,
2018-08-30,2018-08-30T22:00:00,7,2018-08-31T05:00:00,2.87,2.89,True,
2018-08-30,2018-08-30T22:00:00,8,2018-08-31T06:00:00,2.87,2.77,True,
2018-08-30,2018-08-30T22:00:00,9,2018-08-31T07:00:00,2.87,2.61,True,
2018-08-30,2018-08-30T22:00:00,10,2018-08-31T08:00:00,2.87,2.45,True,
2018-08-30,2018-08-30T22:00:00,11,2018-08-31T09:00:00,2.87,2.34,True,
2018-08-30,2018-08-30T22:00:00,12,2018-08-31T10:00:00,2.87,2.27,True,
2018-08-30,2018-08-30T23:00:00,1,2018-08-31T00:00:00,2.96,3.01,True,
2018-08-30,2018-08-30T23:00:00,2,2018-08-31T01:00:00,2.96,3.01,True,
2018-08-30,2018-08-30T23:00:00,3,2018-08-31T02:00:00,2.96,3.0,True,
2018-08-30,2018-08-30T23:00:00,4,2018-08-31T03:00:00,2.96,2.98,True,
2018-08-30,2018-08-30T23:00:00,5,2018-08-31T04:00:00,2.96,2.94,True,
2018-08-30,2018-08-30T23:00:00,6,2018-08-31T05:00:00,2.96,2.89,True,
2018-08-30,2018-08-30T23:00:00,7,2018-08-31T06:00:00,2.96,2.77,True,
2018-08-30,2018-08-30T23:00:00,8,2018-08-31T07:00:00,2.96,2.61,True,
2018-08-30,2018-08-30T23:00:00,9,2018-08-31T08:00:00,2.96,2.45,True,
2018-08-30,2018-08-30T23:00:00,10,2018-08-31T09:00:00,2.96,2.34,True,
2018-08-30,2018-08-30T23:00:00,11,2018-08-31T10:00:00,2.96,2.27,True,
2018-08-30,2018-08-30T23:00:00,12,2018-08-31T11:00:00,2.96,2.23,True,
2018-08-30,2018-08-31T00:00:00,1,2018-08-31T01:00:00,3.0,3.01,True,
2018-08-30,2018-08-31T00:00:00,2,2018-08-31T02:00:00,3.0,3.0,True,
2018-08-30,2018-08-31T00:00:00,3,2018-08-31T03:00:00,3.0,2.98,True,
2018-08-30,2018-08-31T00:00:00,4,2018-08-31T04:00:00,3.0,2.94,True,
2018-08-30,2018-08-31T00:00:00,5,2018-08-31T05:00:00,3.0,2.89,True,
2018-08-30,2018-08-31T00:00:00,6,2018-08-31T06:00:00,3.0,2.77,True,
2018-08-30,2018-08-31T00:00:00,7,2018-08-31T07:00:00,3.0,2.61,True,
2018-08-30,2018-08-31T00:00:00,8,2018-08-31T08:00:00,3.0,2.45,True,
2018-08-30,2018-08-31T00:00:00,9,2018-08-31T09:00:00,3.0,2.34,True,
2018-08-30,2018-08-31T00:00:00,10,2018-08-31T10:00:00,3.0,2.27,True,
2018-08-30,2018-08-31T00:00:00,11,2018-08-31T11:00:00,3.0,2.23,True,
2018-08-30,2018-08-31T00:00:00,12,2018-08-31T12:00:00,3.0,2.22,True,
2018-08-30,2018-08-31T01:00:00,1,2018-08-31T02:00:00,3.01,3.0,True,
2018-08-30,2018-08-31T01:00:00,2,2018-08-31T03:00:00,3.01,2.98,True,
2018-08-30,2018-08-31T01:00:00,3,2018-08-31T04:00:00,3.01,2.94,True,
