window,origin_literal,anchor_literal,lag_h,past_literal,anchor_m,past_m,value_m_per_h
2018-08-30,2018-08-30T21:00:00,2018-08-30T20:00:00,4,2018-08-30T16:00:00,2.71,2.62,0.022499999999999964
2018-08-30,2018-08-30T21:00:00,2018-08-30T20:00:00,8,2018-08-30T12:00:00,2.71,2.97,-0.03250000000000003
2018-08-30,2018-08-30T22:00:00,2018-08-30T21:00:00,0.5,2018-08-30T20:30:00,2.87,,
2018-08-30,2018-08-30T22:00:00,2018-08-30T21:00:00,1,2018-08-30T20:00:00,2.87,2.71,0.16000000000000014
2018-08-30,2018-08-30T22:00:00,2018-08-30T21:00:00,2,2018-08-30T19:00:00,2.87,2.52,0.17500000000000004
2018-08-30,2018-08-30T22:00:00,2018-08-30T21:00:00,4,2018-08-30T17:00:00,2.87,2.5,0.09250000000000003
2018-08-30,2018-08-30T22:00:00,2018-08-30T21:00:00,8,2018-08-30T13:00:00,2.87,2.96,-0.011249999999999982
2018-08-30,2018-08-30T23:00:00,2018-08-30T22:00:00,0.5,2018-08-30T21:30:00,2.96,,
2018-08-30,2018-08-30T23:00:00,2018-08-30T22:00:00,1,2018-08-30T21:00:00,2.96,2.87,0.08999999999999986
2018-08-30,2018-08-30T23:00:00,2018-08-30T22:00:00,2,2018-08-30T20:00:00,2.96,2.71,0.125
2018-08-30,2018-08-30T23:00:00,2018-08-30T22:00:00,4,2018-08-30T18:00:00,2.96,2.44,0.13
2018-08-30,2018-08-30T23:00:00,2018-08-30T22:00:00,8,2018-08-30T14:00:00,2.96,2.9,0.007500000000000007
2018-08-30,2018-08-31T00:00:00,2018-08-30T23:00:00,0.5,2018-08-30T22:30:00,3.0,,
2018-08-30,2018-08-31T00:00:00,2018-08-30T23:00:00,1,2018-08-30T22:00:00,3.0,2.96,0.040000000000000036
2018-08-30,2018-08-31T00:00:00,2018-08-30T23:00:00,2,2018-08-30T21:00:00,3.0,2.87,0.06499999999999995
2018-08-30,2018-08-31T00:00:00,2018-08-30T23:00:00,4,2018-08-30T19:00:00,3.0,2.52,0.12
2018-08-30,2018-08-31T00:00:00,2018-08-30T23:00:00,8,2018-08-30T15:00:00,3.0,2.76,0.030000000000000027
2018-08-30,2018-08-31T01:00:00,2018-08-31T00:00:00,0.5,2018-08-30T23:30:00,3.01,,
2018-08-30,2018-08-31T01:00:00,2018-08-31T00:00:00,1,2018-08-30T23:00:00,3.01,3.0,0.009999999999999787
2018-08-30,2018-08-31T01:00:00,2018-08-31T00:00:00,2,2018-08-30T22:00:00,3.01,2.96,0.02499999999999991
2018-08-30,2018-08-31T01:00:00,2018-08-31T00:00:00,4,2018-08-30T20:00:00,3.01,2.71,0.07499999999999996
2018-08-30,2018-08-31T01:00:00,2018-08-31T00:00:00,8,2018-08-30T16:00:00,3.01,2.62,0.04874999999999996
2018-08-30,2018-08-31T02:00:00,2018-08-31T01:00:00,0.5,2018-08-31T00:30:00,3.01,,
2018-08-30,2018-08-31T02:00:00,2018-08-31T01:00:00,1,2018-08-31T00:00:00,3.01,3.01,0.0
2018-08-30,2018-08-31T02:00:00,2018-08-31T01:00:00,2,2018-08-30T23:00:00,3.01,3.0,0.004999999999999893
2018-08-30,2018-08-31T02:00:00,2018-08-31T01:00:00,4,2018-08-30T21:00:00,3.01,2.87,0.03499999999999992
2018-08-30,2018-08-31T02:00:00,2018-08-31T01:00:00,8,2018-08-30T17:00:00,3.01,2.5,0.06374999999999997
2018-08-30,2018-08-31T03:00:00,2018-08-31T02:00:00,0.5,2018-08-31T01:30:00,3.0,,
2018-08-30,2018-08-31T03:00:00,2018-08-31T02:00:00,1,2018-08-31T01:00:00,3.0,3.01,-0.009999999999999787
2018-08-30,2018-08-31T03:00:00,2018-08-31T02:00:00,2,2018-08-31T00:00:00,3.0,3.01,-0.004999999999999893
2018-08-30,2018-08-31T03:00:00,2018-08-31T02:00:00,4,2018-08-30T22:00:00,3.0,2.96,0.010000000000000009
2018-08-30,2018-08-31T03:00:00,2018-08-31T02:00:00,8,2018-08-30T18:00:00,3.0,2.44,0.07
2018-08-30,2018-08-31T04:00:00,2018-08-31T03:00:00,0.5,2018-08-31T02:30:00,2.98,,
2018-08-30,2018-08-31T04:00:00,2018-08-31T03:00:00,1,2018-08-31T02:00:00,2.98,3.0,-0.020000000000000018
2018-08-30,2018-08-31T04:00:00,2018-08-31T03:00:00,2,2018-08-31T01:00:00,2.98,3.01,-0.014999999999999902
2018-08-30,2018-08-31T04:00:00,2018-08-31T03:00:00,4,2018-08-30T23:00:00,2.98,3.0,-0.0050000000000000044
2018-08-30,2018-08-31T04:00:00,2018-08-31T03:00:00,8,2018-08-30T19:00:00,2.98,2.52,0.057499999999999996
2018-08-30,2018-08-31T05:00:00,2018-08-31T04:00:00,0.5,2018-08-31T03:30:00,2.94,,
2018-08-30,2018-08-31T05:00:00,2018-08-31T04:00:00,1,2018-08-31T03:00:00,2.94,2.98,-0.040000000000000036
2018-08-30,2018-08-31T05:00:00,2018-08-31T04:00:00,2,2018-08-31T02:00:00,2.94,3.0,-0.030000000000000027
2018-08-30,2018-08-31T05:00:00,2018-08-31T04:00:00,4,2018-08-31T00:00:00,2.94,3.01,-0.01749999999999996
2018-08-30,2018-08-31T05:00:00,2018-08-31T04:00:00,8,2018-08-30T20:00:00,2.94,2.71,0.028749999999999998
2018-08-30,2018-08-31T06:00:00,2018-08-31T05:00:00,0.5,2018-08-31T04:30:00,2.89,,
2018-08-30,2018-08-31T06:00:00,2018-08-31T05:00:00,1,2018-08-31T04:00:00,2.89,2.94,-0.04999999999999982
