period,horizon_h,population,subset,family,scheduled_population_rows,missing_truth_in_population,observed_targets,paired_predictions,missing_forecasts,hits,paired_hit_fraction,observed_target_hit_fraction,mae_m,bias_m,p98_abs_m,max_abs_m
2022,1,full_schedule,all,candidate120_plus2020,1463,1,1462,1457,5,1455,0.9986273164035689,0.9952120383036935,0.0423703058582959,-0.02211926142167111,0.17687428807629954,0.9829393638563504
2022,1,full_schedule,level_ge_7m,control120,1463,1,312,311,1,307,0.9871382636655949,0.9839743589743589,0.07390721381285606,-0.02357300519146435,0.30297321859755305,1.1085347330164899
2022,1,full_schedule,level_ge_7m,candidate120_plus2020,1463,1,312,311,1,310,0.9967845659163987,0.9935897435897436,0.06519232319209195,-0.024054487422259938,0.22204319645721735,0.9829393638563504
2022,1,complete24,all,control120,0,0,0,0,0,0,,,,,,
2022,1,complete24,all,candidate120_plus2020,0,0,0,0,0,0,,,,,,
2022,1,complete24,level_ge_7m,control120,0,0,0,0,0,0,,,,,,
2022,1,complete24,level_ge_7m,candidate120_plus2020,0,0,0,0,0,0,,,,,,
2022,1,missing24,all,control120,1463,1,1462,1457,5,1450,0.9951956074124915,0.9917920656634747,0.04040695238373559,-0.01827991071694241,0.18347711053734436,1.1085347330164899
2022,1,missing24,all,candidate120_plus2020,1463,1,1462,1457,5,1455,0.9986273164035689,0.9952120383036935,0.0423703058582959,-0.02211926142167111,0.17687428807629954,0.9829393638563504
2022,1,missing24,level_ge_7m,control120,1463,1,312,311,1,307,0.9871382636655949,0.9839743589743589,0.07390721381285606,-0.02357300519146435,0.30297321859755305,1.1085347330164899
2022,1,missing24,level_ge_7m,candidate120_plus2020,1463,1,312,311,1,310,0.9967845659163987,0.9935897435897436,0.06519232319209195,-0.024054487422259938,0.22204319645721735,0.9829393638563504
2022,2,full_schedule,all,control120,1462,1,1461,1456,5,1431,0.9828296703296703,0.9794661190965093,0.07509746978457625,-0.019165813885349894,0.4676377995357118,1.8686908227421828
2022,2,full_schedule,all,candidate120_plus2020,1462,1,1461,1456,5,1434,0.9848901098901099,0.9815195071868583,0.0906129521088555,-0.05116981826792836,0.45185568541827587,1.713055091769598
2022,2,full_schedule,level_ge_7m,control120,1462,1,312,311,1,294,0.9453376205787781,0.9423076923076923,0.1699285572091213,-0.053817412730196475,1.1296415329546505,1.8686908227421828
2022,2,full_schedule,level_ge_7m,candidate120_plus2020,1462,1,312,311,1,299,0.9614147909967846,0.9583333333333334,0.15988128587278067,-0.07543771512310682,0.729348979692313,1.713055091769598
2022,2,complete24,all,control120,0,0,0,0,0,0,,,,,,
2022,2,complete24,all,candidate120_plus2020,0,0,0,0,0,0,,,,,,
2022,2,complete24,level_ge_7m,control120,0,0,0,0,0,0,,,,,,
2022,2,complete24,level_ge_7m,candidate120_plus2020,0,0,0,0,0,0,,,,,,
2022,2,missing24,all,control120,1462,1,1461,1456,5,1431,0.9828296703296703,0.9794661190965093,0.07509746978457625,-0.019165813885349894,0.4676377995357118,1.8686908227421828
2022,2,missing24,all,candidate120_plus2020,1462,1,1461,1456,5,1434,0.9848901098901099,0.9815195071868583,0.0906129521088555,-0.05116981826792836,0.45185568541827587,1.713055091769598
2022,2,missing24,level_ge_7m,control120,1462,1,312,311,1,294,0.9453376205787781,0.9423076923076923,0.1699285572091213,-0.053817412730196475,1.1296415329546505,1.8686908227421828
2022,2,missing24,level_ge_7m,candidate120_plus2020,1462,1,312,311,1,299,0.9614147909967846,0.9583333333333334,0.15988128587278067,-0.07543771512310682,0.729348979692313,1.713055091769598
2022,3,full_schedule,all,control120,1461,1,1460,1455,5,1410,0.9690721649484536,0.9657534246575342,0.11212745407617408,-0.02250751149147289,0.770029139743159,2.702134633656705
2022,3,full_schedule,all,candidate120_plus2020,1461,1,1460,1455,5,1411,0.9697594501718213,0.9664383561643836,0.10494824269269676,-0.0143367613816236,0.6406557541684411,1.9927776152259398
2022,3,full_schedule,level_ge_7m,control120,1461,1,312,311,1,279,0.8971061093247589,0.8942307692307693,0.26488767288922893,-0.10419542046977451,1.822409642986264,2.702134633656705
2022,3,full_schedule,level_ge_7m,candidate120_plus2020,1461,1,312,311,1,282,0.9067524115755627,0.9038461538461539,0.22059570678301965,0.02105936878533629,1.1037024166539808,1.9927776152259398
2022,3,complete24,all,control120,0,0,0,0,0,0,,,,,,
2022,3,complete24,all,candidate120_plus2020,0,0,0,0,0,0,,,,,,
2022,3,complete24,level_ge_7m,control120,0,0,0,0,0,0,,,,,,
2022,3,complete24,level_ge_7m,candidate120_plus2020,0,0,0,0,0,0,,,,,,
