nominal_lead_h,family,subset,observed_targets,paired_n,forecast_failures_with_truth,coverage,within_0_50_n,within_0_50_fraction,mae_m,bias_m,p90_abs_m,p98_abs_m,max_abs_m
6,julho_levels,level_ge_7m,237,235,2,0.9915611814345991,115,0.48936170212765956,0.7699781078827467,0.3061292477436185,1.7471834263098482,2.9512923408722904,4.2014637996448325
7,reference,all,1938,1925,13,0.9932920536635707,1434,0.7449350649350649,0.39279134223253925,-0.021754811407995463,0.7929369993161804,1.7611909438148992,5.695734968649528
7,julho_levels,all,1938,1925,13,0.9932920536635707,1408,0.7314285714285714,0.39903013543942845,0.04061295157320103,0.7805307999431594,1.6693178100576556,4.917967375782299
7,reference,level_ge_7m,237,235,2,0.9915611814345991,99,0.42127659574468085,0.8890993288874964,0.2767947531447442,1.9279573941693422,3.4256123931793447,5.695734968649528
7,julho_levels,level_ge_7m,237,235,2,0.9915611814345991,101,0.4297872340425532,0.8500986128079958,0.3222375449949347,1.8734999655715785,3.1796870064167653,4.917967375782299
8,reference,all,1937,1923,14,0.9927723283427982,1342,0.6978679147165887,0.44033035433860707,-0.028804679651985354,0.917590720004234,1.9178489183884697,6.1302725927913855
8,julho_levels,all,1937,1923,14,0.9927723283427982,1334,0.6937077483099324,0.43254485724252323,0.04832261309186675,0.8511026208473165,1.8068890870738186,5.339676299039137
8,reference,level_ge_7m,237,235,2,0.9915611814345991,95,0.40425531914893614,0.9770813070266215,0.2685600556318833,2.033812804769742,4.044786790558974,6.1302725927913855
8,julho_levels,level_ge_7m,237,235,2,0.9915611814345991,95,0.40425531914893614,0.9324006657120075,0.3241695244668784,2.0136215038421104,3.926433270225851,5.339676299039137
9,reference,all,1936,1921,15,0.9922520661157025,1210,0.6298802706923478,0.49793678315201406,-0.040962302781868756,1.032492381240314,2.047597104120826,7.376304636233071
9,julho_levels,all,1936,1921,15,0.9922520661157025,1286,0.6694429984383133,0.46908565563152804,0.05163864678399139,0.9168785123155772,1.917567195033204,6.327503143824664
9,reference,level_ge_7m,237,235,2,0.9915611814345991,85,0.3617021276595745,1.0960211067705412,0.21126697668568112,2.177354739018817,5.118683483922683,7.376304636233071
9,julho_levels,level_ge_7m,237,235,2,0.9915611814345991,93,0.39574468085106385,1.0424339185621874,0.28060867973125736,2.1578164411899783,4.7144951090772915,6.327503143824664
10,reference,all,1935,1919,16,0.9917312661498708,1113,0.5799895779051589,0.5554619791804236,-0.05119149447003701,1.1553940747579559,2.16942132666474,8.41497657356611
10,julho_levels,all,1935,1919,16,0.9917312661498708,1248,0.6503387180823346,0.5012212288201254,0.056517726259878644,0.9751942965828214,2.0463501489897866,7.1983478397205936
10,reference,level_ge_7m,237,235,2,0.9915611814345991,78,0.33191489361702126,1.2023524617831456,0.16559385266304194,2.372594448263966,5.500077428027096,8.41497657356611
10,julho_levels,level_ge_7m,237,235,2,0.9915611814345991,89,0.37872340425531914,1.1414717948995032,0.24674505559919313,2.2915771004732055,5.225359307210408,7.1983478397205936
11,reference,all,1934,1917,17,0.9912099276111686,1026,0.5352112676056338,0.6143119105665755,-0.0624216412939488,1.2198428504671115,2.2720448841740715,9.4004897379346
11,julho_levels,all,1934,1917,17,0.9912099276111686,1214,0.6332811684924361,0.5311729171115613,0.060295569488598204,1.0335569429325182,2.1640158484989573,8.09164357149779
11,reference,level_ge_7m,237,235,2,0.9915611814345991,72,0.30638297872340425,1.3306578950356416,0.10831965579985267,2.54737006044891,5.805935304262573,9.4004897379346
11,julho_levels,level_ge_7m,237,235,2,0.9915611814345991,84,0.3574468085106383,1.2527068610400816,0.2003887097998936,2.435807346004353,5.648717590840996,8.09164357149779
12,reference,all,1933,1915,18,0.9906880496637351,952,0.4971279373368146,0.6705495800173046,-0.07441682424199363,1.300062469565613,2.4401704824687127,10.427409262536841
12,julho_levels,all,1933,1915,18,0.9906880496637351,1158,0.6046997389033942,0.5583282222504495,0.06332931201719272,1.1150989199206305,2.4053972378972968,9.046917315715838
12,reference,level_ge_7m,237,235,2,0.9915611814345991,55,0.23404255319148937,1.4755776426336271,0.03708195435984034,2.705270772344518,6.15137762419326,10.427409262536841
12,julho_levels,level_ge_7m,237,235,2,0.9915611814345991,71,0.3021276595744681,1.381646838066467,0.14126576477667932,2.849421097508829,6.0556480985316465,9.046917315715838
