month,id,variable,from_time_original,to_time_original,from_value,to_value,difference,source_file,from_line,to_line
2,JIUHCA,val_vazaoturbinada,2023-02-03 23:59:00,2023-02-04 01:00:00,52.0,4.0,-48.0,raw/DADOS_HIDROLOGICOS_HO_2023_02.csv,37645,37646
2,JIUHCA,val_vazaovertida,2023-02-26 07:00:00,2023-02-26 08:00:00,0.0,83.0,83.0,raw/DADOS_HIDROLOGICOS_HO_2023_02.csv,38176,38177
2,JIUHCA,val_vazaovertida,2023-02-26 10:00:00,2023-02-26 11:00:00,83.0,0.0,-83.0,raw/DADOS_HIDROLOGICOS_HO_2023_02.csv,38179,38180
2,JIUHCA,val_vazaovertida,2023-02-26 12:00:00,2023-02-26 13:00:00,0.0,82.0,82.0,raw/DADOS_HIDROLOGICOS_HO_2023_02.csv,38181,38182
2,JIUHCA,val_vazaovertida,2023-02-26 14:00:00,2023-02-26 15:00:00,82.0,0.0,-82.0,raw/DADOS_HIDROLOGICOS_HO_2023_02.csv,38183,38184
2,JIUHCA,val_vazaovertida,2023-02-25 12:00:00,2023-02-25 13:00:00,0.0,81.0,81.0,raw/DADOS_HIDROLOGICOS_HO_2023_02.csv,38157,38158
2,JIUHCA,val_vazaooutrasestruturas,2023-02-02 13:00:00,2023-02-02 14:00:00,20.0,18.0,-2.0,raw/DADOS_HIDROLOGICOS_HO_2023_02.csv,37610,37611
2,JIUHCA,val_vazaooutrasestruturas,2023-02-04 17:00:00,2023-02-04 18:00:00,18.0,20.0,2.0,raw/DADOS_HIDROLOGICOS_HO_2023_02.csv,37662,37663
2,JIUHCA,val_vazaooutrasestruturas,2023-02-04 18:00:00,2023-02-04 19:00:00,20.0,18.0,-2.0,raw/DADOS_HIDROLOGICOS_HO_2023_02.csv,37663,37664
2,JIUHCA,val_vazaooutrasestruturas,2023-02-04 20:00:00,2023-02-04 21:00:00,18.0,20.0,2.0,raw/DADOS_HIDROLOGICOS_HO_2023_02.csv,37665,37666
2,JIUHCA,val_vazaooutrasestruturas,2023-02-04 21:00:00,2023-02-04 22:00:00,20.0,18.0,-2.0,raw/DADOS_HIDROLOGICOS_HO_2023_02.csv,37666,37667
2,JIUHCA,val_vazaotransferida,2023-02-01 01:00:00,2023-02-01 02:00:00,0.0,0.0,0.0,raw/DADOS_HIDROLOGICOS_HO_2023_02.csv,37574,37575
2,JIUHCA,val_vazaotransferida,2023-02-01 02:00:00,2023-02-01 03:00:00,0.0,0.0,0.0,raw/DADOS_HIDROLOGICOS_HO_2023_02.csv,37575,37576
2,JIUHCA,val_vazaotransferida,2023-02-01 03:00:00,2023-02-01 04:00:00,0.0,0.0,0.0,raw/DADOS_HIDROLOGICOS_HO_2023_02.csv,37576,37577
2,JIUHCA,val_vazaotransferida,2023-02-01 04:00:00,2023-02-01 05:00:00,0.0,0.0,0.0,raw/DADOS_HIDROLOGICOS_HO_2023_02.csv,37577,37578
2,JIUHCA,val_vazaotransferida,2023-02-01 05:00:00,2023-02-01 06:00:00,0.0,0.0,0.0,raw/DADOS_HIDROLOGICOS_HO_2023_02.csv,37578,37579
2,JIUHCA,val_vazaovertidanaoturbinavel,2023-02-26 07:00:00,2023-02-26 08:00:00,0.0,83.0,83.0,raw/DADOS_HIDROLOGICOS_HO_2023_02.csv,38176,38177
2,JIUHCA,val_vazaovertidanaoturbinavel,2023-02-26 10:00:00,2023-02-26 11:00:00,82.0,0.0,-82.0,raw/DADOS_HIDROLOGICOS_HO_2023_02.csv,38179,38180
2,JIUHCA,val_vazaovertidanaoturbinavel,2023-02-26 12:00:00,2023-02-26 13:00:00,0.0,82.0,82.0,raw/DADOS_HIDROLOGICOS_HO_2023_02.csv,38181,38182
2,JIUHCA,val_vazaovertidanaoturbinavel,2023-02-25 12:00:00,2023-02-25 13:00:00,0.0,81.0,81.0,raw/DADOS_HIDROLOGICOS_HO_2023_02.csv,38157,38158
2,JIUHCA,val_vazaovertidanaoturbinavel,2023-02-26 14:00:00,2023-02-26 15:00:00,81.0,0.0,-81.0,raw/DADOS_HIDROLOGICOS_HO_2023_02.csv,38183,38184
2,JIUHMC,val_nivelmontante,2023-02-02 23:59:00,2023-02-03 01:00:00,147.2,147.58,0.3800000000000239,raw/DADOS_HIDROLOGICOS_HO_2023_02.csv,40953,40954
2,JIUHMC,val_nivelmontante,2023-02-19 15:00:00,2023-02-19 16:00:00,147.4,147.67,0.2699999999999818,raw/DADOS_HIDROLOGICOS_HO_2023_02.csv,41348,41349
2,JIUHMC,val_nivelmontante,2023-02-15 01:00:00,2023-02-15 02:00:00,147.41,147.66,0.25,raw/DADOS_HIDROLOGICOS_HO_2023_02.csv,41242,41243
2,JIUHMC,val_nivelmontante,2023-02-15 02:00:00,2023-02-15 03:00:00,147.66,147.9,0.2400000000000091,raw/DADOS_HIDROLOGICOS_HO_2023_02.csv,41243,41244
2,JIUHMC,val_nivelmontante,2023-02-04 16:00:00,2023-02-04 17:00:00,147.37,147.59,0.21999999999999886,raw/DADOS_HIDROLOGICOS_HO_2023_02.csv,40993,40994
2,JIUHMC,val_niveljusante,2023-02-20 18:00:00,2023-02-20 19:00:00,104.82,106.57,1.75,raw/DADOS_HIDROLOGICOS_HO_2023_02.csv,41375,41376
2,JIUHMC,val_niveljusante,2023-02-24 23:59:00,2023-02-25 01:00:00,107.11,105.75,-1.3599999999999994,raw/DADOS_HIDROLOGICOS_HO_2023_02.csv,41477,41478
