month,id,name,code,rows
8,JIUDFR,D. FRANCISCA,114.0,744
8,JIERNE,ERNESTINA,110.0,744
8,JIITAU,ITAUBA,113.0,744
8,JIJACU,JACUI,112.0,744
8,JIUHMC,MONTE CLARO,98.0,744
8,JIPREA,PASSO REAL,111.0,744
8,JEIRAP,IRAPE,148.0,744
8,JEUITP,ITAPEBI,154.0,744
8,MUSCLA,STA.CLARA-MG,283.0,701
8,PGUCV,PEDRA DO CAVALO,189.0,744
8,PYUIQ,ITIQUIRA I,304.0,705
8,PYUIQ2,ITIQUIRA II,305.0,705
8,PYUJAU,JAURU,195.0,701
8,PYUSMS,MANSO,278.0,744
8,PYPP,PONTE DE PEDRA,281.0,744
8,PBANTA,ANTA,128.0,744
8,PBBBRA,BARRA BRAUNA,185.0,744
8,RLFONT,FONTES,132.0,451
8,PBFUNI,FUNIL,123.0,744
8,PBILHP,ILHA POMBOS,130.0,453
8,PBJAGU,JAGUARI,120.0,744
8,RLLAJE,LAJES,124.0,451
8,RLNPEC,NILO PEÇANHA,131.0,453
8,PBPARA,PARAIBUNA,121.0,728
8,RLPPAS,PEREIRA PASSOS,133.0,440
8,PBPCDA,PICADA,126.0,662
8,PBSTAB,SANTA BRANCA,122.0,453
8,PBSTAC,SANTA CECILIA,125.0,453
8,RPSANT,SANTANA,181.0,452
8,PBUSSI,SIMPLICIO,129.0,744
8,PUSOBR,SOBRAGI,127.0,733
8,RPTOCO,TOCOS,180.0,449
8,PBVIG,VIGARIO,182.0,453
8,PNISOL,I. SOLTEIRA,34.0,744
8,PNITAI,ITAIPU,66.0,744
8,PNJUPI,JUPIA,45.0,744
8,PNPPRI,PORTO PRIMAVERA,46.0,741
8,PNUHSD,SAO DOMINGOS,153.0,744
8,PNUHBC,B.COQUEIROS,312.0,743
8,PNUSBL,BATALHA,20.0,744
8,PRCDOU,C. DOURADA,32.0,744
8,PNCPB1,C.BRANCO-1,27.0,744
8,PNCPB2,C.BRANCO-2,28.0,744
8,PNCACU,CACU,311.0,739
8,COCORU,CORUMBA,30.0,744
8,PNUCB3,CORUMBA-3,203.0,741
8,PNUCB4,CORUMBA-4,29.0,744
8,PREMBO,EMBORCAÇÃO,24.0,744
8,PNUHES,ESPORA,290.0,744
8,PNUFRC,FOZ DO RIO CLARO,315.0,744
8,PRITUM,ITUMBIARA,31.0,744
8,ARMIRA,MIRANDA,26.0,744
8,PRNPON,NOVA PONTE,25.0,744
8,PNUHSF,S.DO FACÃO,21.0,743
8,PNSV,S.R.VERDINHO,241.0,744
8,PNST,SALTO,262.0,744
8,PRSSIM,SÃO SIMÃO,33.0,741
8,PPCNO1,CANOAS I,52.0,744
8,PPCNO2,CANOAS II,51.0,744
8,PPCAPI,CAPIVARA,61.0,744
8,PPCHAV,CHAVANTES,49.0,744
8,PPUHMU,GOV JAYME CANET JR,57.0,744
8,PPJURU,JURUMIRIM,47.0,744
8,PPORI,OURINHOS,249.0,718
8,PPPJU,PIRAJU,48.0,722
8,PPROSA,ROSANA,63.0,744
8,PPSGCS,SALTO GRANDE CS,50.0,744
8,PPTAQU,TAQUARUÇU,62.0,744
8,PIBESP,BOA ESPERANÇA,190.0,744
8,ODRBON,RIO BONITO,,744
8,ODUSUI,SUIÇA,,742
