phase,horizon_h,population,region,rows,amount_cells,amount_missing,amount_finite_zero,rows_amount_all_missing,coverage_cells,coverage_missing,coverage_below_half,coverage_min,coverage_median,coverage_max
validation,3,added2023_training,Carreiro,499,4491,3723,193,413,2994,0,2484,0.046801872074883,0.0514820592823713,0.781371879875195
validation,3,added2023_training,Prata-Turvo,499,4491,0,1581,0,2994,0,0,0.7356076759061834,0.7356076759061834,0.8027718550106611
validation,3,added2023_training,Alto Antas,499,4491,2,1286,0,2994,0,2,0.49506101104009304,0.7425915165601394,0.7956402527600233
validation,3,added2023_training,Tainhas,499,4491,1,2153,0,2994,0,1,0.3907103825136612,1.0,1.0
validation,3,combined_training,Baixo Antas,4857,43713,3904,24243,413,29142,0,2652,0.1512373554913295,0.9030437138728323,0.994084176300578
validation,3,combined_training,Carreiro,4857,43713,4111,19803,413,29142,0,2711,0.046801872074883,0.9637285491419656,0.999561232449298
validation,3,combined_training,Prata-Turvo,4857,43713,34,22678,0,29142,0,26,0.13350657427149967,0.9967128642501777,1.0
validation,3,combined_training,Alto Antas,4857,43713,43,21235,0,29142,0,33,0.0992246513654852,0.9493933194525147,0.9991401155658854
validation,3,combined_training,Tainhas,4857,43713,39,26925,0,29142,0,31,0.11402834699453551,1.0,1.0
validation,3,evaluation_high_full_schedule,Baixo Antas,28,252,0,31,0,168,0,0,0.7160404624277458,0.9645050578034682,0.994084176300578
validation,3,evaluation_high_full_schedule,Carreiro,28,252,0,21,0,168,0,0,0.891185647425897,0.9389625585023402,0.9775497269890796
validation,3,evaluation_high_full_schedule,Prata-Turvo,28,252,0,26,0,168,0,0,0.9834273572613126,0.9989042880833927,0.9998630360104241
validation,3,evaluation_high_full_schedule,Alto Antas,28,252,0,7,0,168,0,0,0.8370036800309897,0.9793627735812511,0.9965604622635418
validation,3,evaluation_high_full_schedule,Tainhas,28,252,0,7,0,168,0,0,1.0,1.0,1.0
validation,4,original_training,Baixo Antas,4356,39204,158,24066,0,26136,0,150,0.1512373554913295,0.9053468208092484,0.994084176300578
validation,4,original_training,Carreiro,4356,39204,388,19611,0,26136,0,227,0.07683307332293292,0.9695787831513261,0.999561232449298
validation,4,original_training,Prata-Turvo,4356,39204,34,21096,0,26136,0,26,0.13350657427149967,0.998376791637053,1.0
validation,4,original_training,Alto Antas,4356,39204,41,19951,0,26136,0,31,0.0992246513654852,0.9561198673251985,0.9991401155658854
validation,4,original_training,Tainhas,4356,39204,38,24772,0,26136,0,30,0.11402834699453551,1.0,1.0
validation,4,added2023_training,Baixo Antas,497,4473,3732,177,412,2982,0,2493,0.28901734104046245,0.32947976878612717,0.7802113439306358
validation,4,added2023_training,Carreiro,497,4473,3711,193,412,2982,0,2475,0.046801872074883,0.0514820592823713,0.781371879875195
validation,4,added2023_training,Prata-Turvo,497,4473,0,1580,0,2982,0,0,0.7356076759061834,0.7356076759061834,0.8027718550106611
validation,4,added2023_training,Alto Antas,497,4473,2,1286,0,2982,0,2,0.49506101104009304,0.7425915165601394,0.7956402527600233
validation,4,added2023_training,Tainhas,497,4473,1,2153,0,2982,0,1,0.3907103825136612,1.0,1.0
validation,4,combined_training,Baixo Antas,4853,43677,3890,24243,412,29118,0,2643,0.1512373554913295,0.9030437138728323,0.994084176300578
validation,4,combined_training,Carreiro,4853,43677,4099,19804,412,29118,0,2702,0.046801872074883,0.9637285491419656,0.999561232449298
validation,4,combined_training,Prata-Turvo,4853,43677,34,22676,0,29118,0,26,0.13350657427149967,0.9967128642501777,1.0
validation,4,combined_training,Alto Antas,4853,43677,43,21237,0,29118,0,33,0.0992246513654852,0.9493933194525147,0.9991401155658854
validation,4,combined_training,Tainhas,4853,43677,39,26925,0,29118,0,31,0.11402834699453551,1.0,1.0
validation,4,evaluation_high_full_schedule,Baixo Antas,28,252,0,27,0,168,0,0,0.7160404624277458,0.9645050578034682,0.994084176300578
validation,4,evaluation_high_full_schedule,Carreiro,28,252,0,19,0,168,0,0,0.891185647425897,0.9389625585023402,0.9964898595943839
validation,4,evaluation_high_full_schedule,Prata-Turvo,28,252,0,24,0,168,0,0,0.9834273572613126,0.9989042880833927,0.9998630360104241
