horizon_h,subset,population,family,observed_targets,n,excluded_n,hits,hit_fraction,mae_m,bias_m,p90_abs_m,p98_abs_m,max_abs_m
8,high,common_four,reference,237,116,121,41,0.35344827586206895,1.1181071016471238,0.5245910659909454,2.148626235197444,4.22546808783899,5.290344913970436
8,high,common_four,observed_julho,237,116,121,46,0.39655172413793105,0.7861738737511454,0.5596104455634413,1.7767696485649127,1.8964459805417808,1.9165334957733098
8,high,common_four,observed_carreiro,237,116,121,39,0.33620689655172414,1.1243671159716195,0.5410422426652183,2.2377468578620014,4.089676335898021,5.095500300146302
8,high,common_four,observed_both,237,116,121,46,0.39655172413793105,0.8008662801945111,0.5754745016164216,1.7633918333175247,1.9623490499259695,2.012225360003624
9,all,individual,reference,1936,1920,16,1281,0.6671875,0.4687230438096331,0.052348523595755876,0.9158260273911826,1.9023064949758315,6.286673602768847
9,all,individual,observed_julho,1936,1180,756,831,0.7042372881355933,0.4046444905352424,0.032712327914713235,0.798263604997561,1.5262248705561872,2.0284383037784277
9,all,individual,observed_carreiro,1936,1666,270,1093,0.656062424969988,0.48546834552585844,0.07140135048251164,0.937526096428856,1.9250142319743948,6.244065438000572
9,all,individual,observed_both,1936,1012,924,689,0.6808300395256917,0.41845221027478485,0.04403477543710866,0.838552217570199,1.6202246096075124,2.0828347827103553
9,all,common_four,reference,1936,1012,924,652,0.6442687747035574,0.5101322159579486,0.2073822300208538,1.0011012890670394,2.0310419368515196,6.286673602768847
9,all,common_four,observed_julho,1936,1012,924,699,0.6907114624505929,0.41488951655155193,0.03483911374077462,0.835756417495306,1.635704668032936,2.0284383037784277
9,all,common_four,observed_carreiro,1936,1012,924,645,0.6373517786561265,0.5068244651705652,0.2175544904816975,0.9946705347650917,1.9549599079640658,6.244065438000572
9,all,common_four,observed_both,1936,1012,924,689,0.6808300395256917,0.41845221027478485,0.04403477543710866,0.838552217570199,1.6202246096075124,2.0828347827103553
