regiao,periodo,atraso_h,correlacao,n_horas
Carreiro,abril_set2025,20,0.17944194291649265,3818
Carreiro,abril_set2025,21,0.14134119334285855,3817
Carreiro,abril_set2025,22,0.11965331854181373,3816
Carreiro,abril_set2025,23,0.11232935578056598,3815
Carreiro,abril_set2025,24,0.10896225899753982,3814
Carreiro,abril_set2025,25,0.10057244101680358,3813
Carreiro,abril_set2025,26,0.082657738364519,3812
Carreiro,abril_set2025,27,0.05881119634782067,3811
Carreiro,abril_set2025,28,0.039847152365424465,3810
Carreiro,abril_set2025,29,0.026995719846164314,3809
Carreiro,abril_set2025,30,0.02038485399878399,3807
Carreiro,abril_set2025,31,0.01420915246838237,3806
Carreiro,abril_set2025,32,0.007919498518650146,3806
Carreiro,abril_set2025,33,0.0013589829974341838,3806
Carreiro,abril_set2025,34,-0.002840046465296586,3805
Carreiro,abril_set2025,35,-0.006490596742140296,3804
Carreiro,abril_set2025,36,-0.011781027531839907,3804
Carreiro,abril_set2025,37,-0.02099427624414385,3803
Carreiro,abril_set2025,38,-0.03226349577997122,3801
Carreiro,abril_set2025,39,-0.044114013646215644,3799
Carreiro,abril_set2025,40,-0.05517337915629069,3798
Carreiro,abril_set2025,41,-0.06508853915238826,3797
Carreiro,abril_set2025,42,-0.07369896024113307,3796
Carreiro,abril_set2025,43,-0.08009117008900035,3795
Carreiro,abril_set2025,44,-0.083632415009986,3794
Carreiro,abril_set2025,45,-0.08271319271036605,3793
Carreiro,abril_set2025,46,-0.0776017763091954,3793
Carreiro,abril_set2025,47,-0.07083252425761005,3793
Carreiro,abril_set2025,48,-0.06655539148259595,3791
Carreiro,out2025_set2026,0,0.08961124789781104,7623
Carreiro,out2025_set2026,1,0.11246291937901434,7622
Carreiro,out2025_set2026,2,0.13146773851814977,7620
Carreiro,out2025_set2026,3,0.1488660964560368,7619
Carreiro,out2025_set2026,4,0.17063455873071662,7618
Carreiro,out2025_set2026,5,0.19847323621026447,7618
Carreiro,out2025_set2026,6,0.22913352437211704,7618
Carreiro,out2025_set2026,7,0.25512722791066855,7618
Carreiro,out2025_set2026,8,0.27080302200001416,7618
Carreiro,out2025_set2026,9,0.27768605209067987,7618
Carreiro,out2025_set2026,10,0.277081073795624,7619
Carreiro,out2025_set2026,11,0.27459554613460874,7619
Carreiro,out2025_set2026,12,0.2700396132606483,7620
Carreiro,out2025_set2026,13,0.2624100634968002,7621
Carreiro,out2025_set2026,14,0.2519605418061048,7622
Carreiro,out2025_set2026,15,0.2393935549655551,7621
Carreiro,out2025_set2026,16,0.2274828322374306,7620
Carreiro,out2025_set2026,17,0.21103267642799037,7620
Carreiro,out2025_set2026,18,0.19003845952771048,7619
Carreiro,out2025_set2026,19,0.16419288816118208,7619
Carreiro,out2025_set2026,20,0.14306644202873955,7618
Carreiro,out2025_set2026,21,0.12561765405581368,7618
Carreiro,out2025_set2026,22,0.11380370504862203,7619
Carreiro,out2025_set2026,23,0.10222629913283315,7618
Carreiro,out2025_set2026,24,0.0873620223079349,7618
Carreiro,out2025_set2026,25,0.06494551881233859,7618
Carreiro,out2025_set2026,26,0.044975369169968915,7618
Carreiro,out2025_set2026,27,0.030244590276726498,7618
Carreiro,out2025_set2026,28,0.022405799163749882,7617
Carreiro,out2025_set2026,29,0.017995744316717546,7618
Carreiro,out2025_set2026,30,0.01722620303980524,7617
Carreiro,out2025_set2026,31,0.018084263637393645,7616
Carreiro,out2025_set2026,32,0.017055114729895633,7617
Carreiro,out2025_set2026,33,0.019904531171586172,7616
Carreiro,out2025_set2026,34,0.017489474534378057,7616
Carreiro,out2025_set2026,35,0.01223270573619983,7617
Carreiro,out2025_set2026,36,0.004271005082238318,7616
Carreiro,out2025_set2026,37,-0.007574900333401156,7616
Carreiro,out2025_set2026,38,-0.023027816354827254,7616
Carreiro,out2025_set2026,39,-0.03779872604580375,7615
Carreiro,out2025_set2026,40,-0.051218097013450904,7615
Carreiro,out2025_set2026,41,-0.06406927739090902,7616
Carreiro,out2025_set2026,42,-0.07616901927246947,7616
Carreiro,out2025_set2026,43,-0.08563877335588824,7615
Carreiro,out2025_set2026,44,-0.09017174401835985,7615
Carreiro,out2025_set2026,45,-0.0895243382859314,7615
Carreiro,out2025_set2026,46,-0.08722311934305306,7614
Carreiro,out2025_set2026,47,-0.08639712454517053,7613
Carreiro,out2025_set2026,48,-0.08773614224859227,7613
Prata-Turvo,historico,0,0.060851377481120066,9123
Prata-Turvo,historico,1,0.08185138430962863,9123
Prata-Turvo,historico,2,0.10575802613888452,9123
Prata-Turvo,historico,3,0.1339447811257258,9122
Prata-Turvo,historico,4,0.16420012685023525,9123
Prata-Turvo,historico,5,0.19385884559159933,9123
Prata-Turvo,historico,6,0.21865324551124807,9124
Prata-Turvo,historico,7,0.23739322316222977,9125
Prata-Turvo,historico,8,0.25165624559941596,9124
Prata-Turvo,historico,9,0.2620417329103106,9124
Prata-Turvo,historico,10,0.2678008055259982,9123
Prata-Turvo,historico,11,0.26357493471532073,9122
Prata-Turvo,historico,12,0.24985840267003873,9119
Prata-Turvo,historico,13,0.22955600417665145,9117
Prata-Turvo,historico,14,0.20932033249497467,9115
Prata-Turvo,historico,15,0.19107128398847495,9112
Prata-Turvo,historico,16,0.17336490805157106,9110
Prata-Turvo,historico,17,0.15552735852649133,9108
Prata-Turvo,historico,18,0.136092177838779,9106
Prata-Turvo,historico,19,0.11618909680122076,9104
Prata-Turvo,historico,20,0.09871047790175297,9102
Prata-Turvo,historico,21,0.08607667928966872,9100
Prata-Turvo,historico,22,0.07774121174470319,9098
Prata-Turvo,historico,23,0.07067146019338112,9097
Prata-Turvo,historico,24,0.0631535250669759,9095
Prata-Turvo,historico,25,0.05556988912417206,9094
Prata-Turvo,historico,26,0.05061270227123887,9094
Prata-Turvo,historico,27,0.05059294994121371,9091
Prata-Turvo,historico,28,0.05546463649924602,9091
Prata-Turvo,historico,29,0.06266946572209113,9090
Prata-Turvo,historico,30,0.07110806884759811,9087
Prata-Turvo,historico,31,0.07809513343518967,9087
Prata-Turvo,historico,32,0.08358863103475232,9087
Prata-Turvo,historico,33,0.08436420500256216,9087
Prata-Turvo,historico,34,0.07763923080216138,9086
Prata-Turvo,historico,35,0.061395074181355654,9087
Prata-Turvo,historico,36,0.038855471789736314,9089
Prata-Turvo,historico,37,0.014691882545228775,9088
Prata-Turvo,historico,38,-0.007262311440160432,9087
Prata-Turvo,historico,39,-0.02552806250259102,9088
Prata-Turvo,historico,40,-0.04052462175119091,9087
Prata-Turvo,historico,41,-0.053312020761750505,9086
Prata-Turvo,historico,42,-0.06419824615712116,9086
Prata-Turvo,historico,43,-0.07252299700725731,9086
Prata-Turvo,historico,44,-0.07807056793179111,9085
Prata-Turvo,historico,45,-0.08091250983468266,9085
Prata-Turvo,historico,46,-0.08243426766288588,9085
Prata-Turvo,historico,47,-0.0833361857755507,9084
Prata-Turvo,historico,48,-0.08410441718111912,9084
Prata-Turvo,abril_set2025,0,0.05075086280516708,3917
Prata-Turvo,abril_set2025,1,0.0740138749101842,3917
Prata-Turvo,abril_set2025,2,0.09877655300714688,3917
Prata-Turvo,abril_set2025,3,0.12487299402563436,3917
