mae_m,rmse_m,bias_m,p90_abs_m,max_abs_m,n,h,model,phase,validation_score,param,gain,rise_mae_m,high_mae_m
0.057844713431216534,0.09085856018606128,-0.004692583665068621,0.13131775937976567,0.6030488529044806,1362,2,linear_corrigido,test,0.24820972146182993,"(100.0, True)",0.0,0.21095444362237295,0.1213098012281206
0.5045039326449626,0.8142401116922563,0.21543231706972674,1.511727268993627,2.0348454220295595,12,2,linear_corrigido,today,0.24820972146182993,"(100.0, True)",0.0,0.9249452538462736,
0.09226301122386393,0.13574560137766964,-0.0365363006947319,0.2707858827759751,0.7472395771153462,6052,2,log_chuva,validation,0.2309110903742749,"(10.0, True)",0.0,0.24524170887523078,0.03205444942559114
0.06669184182584695,0.0953234537232072,-0.02148966369536692,0.14169223393308372,0.5806288751924242,1362,2,log_chuva,test,0.2309110903742749,"(10.0, True)",0.0,0.18999935849907565,0.12355595868294171
0.40710926882584486,0.6238792766280735,-0.045437381552693355,1.1779601005799563,1.3675126432319304,12,2,log_chuva,today,0.2309110903742749,"(10.0, True)",0.0,0.7218354161295354,
0.06585080629906845,0.09200633460363296,0.002950514075088976,0.14401091474218777,0.5688491808622018,6052,2,linear_sem_interacao,validation,0.22563307755142198,"(10.0, True)",0.0,0.2596386361478386,0.05992590635686845
0.06707034412020785,0.09775123449372669,-0.012862714136563468,0.1468913080806038,0.5713542228857804,1362,2,linear_sem_interacao,test,0.22563307755142198,"(10.0, True)",0.0,0.20359385949961262,0.1158433583061481
0.4339673490202684,0.6823092852151816,0.02996402823197915,1.0912075947207909,1.6024643169058654,12,2,linear_sem_interacao,today,0.22563307755142198,"(10.0, True)",0.0,0.7157028148169898,
0.024747434214496718,0.04441894573216751,0.0056412748764975915,0.05692939846166334,0.682275183224407,6052,2,arvores_corrigidas,validation,0.15329065312933127,"(15, 'absolute_error', True)",0.0,0.1729856576275783,0.08410078020209077
0.04233959319969908,0.07270003252533068,0.00391874948366402,0.09374157564339378,0.5929916952252796,1362,2,arvores_corrigidas,test,0.15329065312933127,"(15, 'absolute_error', True)",0.0,0.17632122892597948,0.10280742190884701
0.3085406319048789,0.5114719083565956,-0.2301377205723766,0.9189764650192455,1.288490719515269,12,2,arvores_corrigidas,today,0.15329065312933127,"(15, 'absolute_error', True)",0.0,0.5974383990212374,
0.12180393072306903,0.17784596534205677,0.03088899901099939,0.2446713066886607,1.0835879128837862,6050,3,linear_corrigido,validation,0.2511202638919167,"(100.0, True)",0.0,0.17082827682150933,0.08780438951618603
0.07845426111807449,0.12602745735042203,0.011927591464927976,0.1790271445858146,0.9306190278636031,1360,3,linear_corrigido,test,0.2511202638919167,"(100.0, True)",0.0,0.15563148696981866,0.20629439845065278
0.6918055688653436,1.0559465913671053,0.06451877005499274,1.3318042213653376,2.6510765899183797,11,3,linear_corrigido,today,0.2511202638919167,"(100.0, True)",0.0,1.411079294090277,
0.11044342833888106,0.14343868802359525,0.02764191716091684,0.22782941030598702,0.677521163410751,6050,3,log_chuva,validation,0.23516722525698472,"(100.0, True)",0.0,0.1778854353139156,0.07156215852229171
0.0800170326419257,0.12195580657734464,0.005906552789282723,0.1819308876997293,0.8487136472720511,1360,3,log_chuva,test,0.23516722525698472,"(100.0, True)",0.0,0.1644264409617785,0.18372043832379661
0.5700835717980431,0.8740057547683653,-0.28124731094107547,1.6226582051251217,1.6467347322850294,11,3,log_chuva,today,0.23516722525698472,"(100.0, True)",0.0,1.1456127939086822,
0.10369423008452779,0.14279762547837402,0.03970353052736531,0.21554538708216922,1.2450366730894966,6050,3,linear_sem_interacao,validation,0.23423713495614104,"(10.0, True)",0.0,0.17808720921925714,0.08299860052396942
0.089173000582318,0.13267649304167645,-0.0013397685208552564,0.20345574539853453,0.8622361518166475,1360,3,linear_sem_interacao,test,0.23423713495614104,"(10.0, True)",0.0,0.15538465094075093,0.19279188917682777
0.6107901812441153,0.8921799085221098,-0.2047006224635588,1.5449947309619843,1.6687618320487756,11,3,linear_sem_interacao,today,0.23423713495614104,"(10.0, True)",0.0,1.2251448451031333,
0.03831446921018305,0.06373013031897819,0.013309142827499567,0.08689575440428213,1.0246095547075047,6050,3,arvores_corrigidas,validation,0.14813465786521182,"(15, 'squared_error', True)",0.25,0.14249491717094578,0.07714546013911179
0.06823007448649508,0.11810150628325511,0.011479593915211568,0.15918423525804762,0.9138567107450193,1360,3,arvores_corrigidas,test,0.14813465786521182,"(15, 'squared_error', True)",0.25,0.16141773251760716,0.17763982941557716
0.5583893140473236,0.8258520777879473,-0.45885726410418476,1.5309268033978443,1.7291493321250586,11,3,arvores_corrigidas,today,0.14813465786521182,"(15, 'squared_error', True)",0.25,1.1108421115565705,
0.11985922916878612,0.17877142880054897,-0.006521110405164329,0.2686849333705741,1.1064371693113153,6048,4,linear_corrigido,validation,0.2633516432210869,"(100.0, False)",0.0,0.20663170057018296,0.08035312753441855
0.10243048316972166,0.16730971646080325,-0.016418810136959575,0.21553751422426937,1.2914839806557339,1359,4,linear_corrigido,test,0.2633516432210869,"(100.0, False)",0.0,0.24847164612872644,0.2948883089514923
