origin,plant,variable,back_hours,source_time,value,contradictory_components
2020-07-08T15:00:00-03:00,JIUHMC,Q,2,2020-07-08 12:00:00,0,False
2020-07-08T15:00:00-03:00,JIUHMC,Q,4,2020-07-08 10:00:00,0,False
2020-07-08T15:00:00-03:00,JIUHMC,Q,8,2020-07-08 06:00:00,0,False
2020-07-08T15:00:00-03:00,JIUHMC,I,0,2020-07-08 14:00:00,0,False
2020-07-08T16:00:00-03:00,JIUHQJ,Q,0,2020-07-08 15:00:00,0,True
2020-07-08T16:00:00-03:00,JIUHQJ,Q,1,2020-07-08 14:00:00,0,True
2020-07-08T16:00:00-03:00,JIUHQJ,Q,2,2020-07-08 13:00:00,0,True
2020-07-08T16:00:00-03:00,JIUHQJ,Q,4,2020-07-08 11:00:00,0,True
2020-07-08T16:00:00-03:00,JIUHQJ,I,0,2020-07-08 15:00:00,0,False
2020-07-08T16:00:00-03:00,JIUHMC,Q,0,2020-07-08 15:00:00,0,False
2020-07-08T16:00:00-03:00,JIUHMC,Q,1,2020-07-08 14:00:00,0,False
2020-07-08T16:00:00-03:00,JIUHMC,Q,2,2020-07-08 13:00:00,0,False
2020-07-08T16:00:00-03:00,JIUHMC,Q,4,2020-07-08 11:00:00,0,False
2020-07-08T16:00:00-03:00,JIUHMC,Q,8,2020-07-08 07:00:00,0,False
2020-07-08T16:00:00-03:00,JIUHMC,I,0,2020-07-08 15:00:00,0,False
2020-07-08T17:00:00-03:00,JIUHQJ,Q,0,2020-07-08 16:00:00,0,True
2020-07-08T17:00:00-03:00,JIUHQJ,Q,1,2020-07-08 15:00:00,0,True
2020-07-08T17:00:00-03:00,JIUHQJ,Q,2,2020-07-08 14:00:00,0,True
2020-07-08T17:00:00-03:00,JIUHQJ,Q,4,2020-07-08 12:00:00,0,True
2020-07-08T17:00:00-03:00,JIUHMC,Q,0,2020-07-08 16:00:00,0,False
2020-07-08T17:00:00-03:00,JIUHMC,Q,1,2020-07-08 15:00:00,0,False
2020-07-08T17:00:00-03:00,JIUHMC,Q,2,2020-07-08 14:00:00,0,False
2020-07-08T17:00:00-03:00,JIUHMC,Q,4,2020-07-08 12:00:00,0,False
2020-07-08T17:00:00-03:00,JIUHMC,Q,8,2020-07-08 08:00:00,0,False
2020-07-08T17:00:00-03:00,JIUHMC,I,0,2020-07-08 16:00:00,0,False
2020-07-08T18:00:00-03:00,JIUHQJ,Q,0,2020-07-08 17:00:00,0,True
2020-07-08T18:00:00-03:00,JIUHQJ,Q,1,2020-07-08 16:00:00,0,True
2020-07-08T18:00:00-03:00,JIUHQJ,Q,2,2020-07-08 15:00:00,0,True
2020-07-08T18:00:00-03:00,JIUHQJ,Q,4,2020-07-08 13:00:00,0,True
2020-07-08T18:00:00-03:00,JIUHMC,Q,0,2020-07-08 17:00:00,0,False
2020-07-08T18:00:00-03:00,JIUHMC,Q,1,2020-07-08 16:00:00,0,False
2020-07-08T18:00:00-03:00,JIUHMC,Q,2,2020-07-08 15:00:00,0,False
2020-07-08T18:00:00-03:00,JIUHMC,Q,4,2020-07-08 13:00:00,0,False
2020-07-08T18:00:00-03:00,JIUHMC,Q,8,2020-07-08 09:00:00,0,False
2020-07-08T18:00:00-03:00,JIUHMC,I,0,2020-07-08 17:00:00,0,False
2020-07-08T19:00:00-03:00,JIUHQJ,Q,1,2020-07-08 17:00:00,0,True
2020-07-08T19:00:00-03:00,JIUHQJ,Q,2,2020-07-08 16:00:00,0,True
2020-07-08T19:00:00-03:00,JIUHQJ,Q,4,2020-07-08 14:00:00,0,True
2020-07-08T19:00:00-03:00,JIUHQJ,Q,8,2020-07-08 10:00:00,0,True
2020-07-08T19:00:00-03:00,JIUHMC,Q,0,2020-07-08 18:00:00,0,False
2020-07-08T19:00:00-03:00,JIUHMC,Q,1,2020-07-08 17:00:00,0,False
2020-07-08T19:00:00-03:00,JIUHMC,Q,2,2020-07-08 16:00:00,0,False
