phase,horizon_h,input_column,median,mean,scale,standardized_coefficient,original_unit_coefficient
validation,4,5,-0.006249999999999978,0.007186489176412044,0.1222857166311894,-0.050220799208855735,-0.41068409780285614
validation,4,7,0.0,0.009071908434934037,0.18358029947255244,0.026379502164180828,0.14369462431411326
validation,4,8,0.0,0.009360537447126147,0.175409418052701,0.02760041633206333,0.1573485428460341
validation,4,9,0.0,0.011458074147797957,0.16507246607432186,0.04478102365059526,0.2712809998878502
validation,4,10,-0.0024999999999999467,0.017320228912664846,0.15311547622079336,0.05805431899697015,0.3791538284037043
validation,4,11,-0.0012500000000000289,0.017681948245832295,0.12740711958086104,0.051210364611094676,0.4019427232917951
validation,4,13,0.0,0.02286638467280416,0.16151357003034936,0.10480306089751744,0.6488808394107338
validation,4,14,-0.009999999999999787,0.023540681761632244,0.16101701230904633,0.08790579779573747,0.5459410563836348
validation,4,15,-0.0050000000000000044,0.02332794227419756,0.15562475026252365,0.09177902243361706,0.5897456688527685
validation,4,16,-0.0050000000000000044,0.01864891764120428,0.13695673616034515,0.08163616825752112,0.5960726762789073
validation,4,17,-0.0050000000000000044,0.012214481214232397,0.10969072382637444,0.026495476334480364,0.24154710088721007
validation,4,19,0.0,0.0026474247325205293,0.1485896468641883,0.003536546455357761,0.02380075954141127
validation,4,20,0.0,0.0031998009455088336,0.1257873442524458,0.017208618275554033,0.13680723110758758
validation,4,21,0.0,0.0038865389400348344,0.10511571635474637,0.012596809743812066,0.11983754837668738
validation,4,22,0.0,0.004139711370987808,0.08606615048776338,0.02098716381436782,0.243849221737316
validation,4,23,0.0,0.004426785269967655,0.06964342032841281,0.009662126518192284,0.13873710499325337
test,4,1,-0.019999999999999574,0.006633100697906284,0.13094548415883642,0.07036289787663569,0.5373449747322767
test,4,2,-0.010000000000000009,0.005292372881355936,0.12558355266734125,0.03337419506261427,0.265752913926709
test,4,3,-0.010000000000000009,0.0037673230309072797,0.11965786993653652,-0.02007414076678928,-0.16776281223655487
test,4,4,-0.009999999999999981,0.0023702018943170485,0.10963753394446328,-0.032357721495523954,-0.2951336128365921
test,4,5,-0.006249999999999978,0.002048853439680958,0.09389309999559266,-0.043227237479536905,-0.4603877972030532
test,4,7,0.0,0.005016949152542364,0.15888003686279742,0.013954181492368144,0.08782841298317692
test,4,8,0.0,0.005562313060817546,0.15315875763505274,0.016405482873034265,0.10711423314183124
test,4,9,0.0,0.007124127617148555,0.1440138953017785,0.05543605650581692,0.38493547021731256
test,4,10,0.0,0.010690927218344966,0.13110687586370684,0.052853929889225076,0.40313621647250436
test,4,11,-0.0012499999999999734,0.009828639082751747,0.10323037005014701,0.018349408609268154,0.17775203750945018
test,4,13,0.0,0.014295114656031902,0.14092825949075136,0.10215259902028356,0.724855322767876
test,4,14,-0.010000000000000009,0.014704885343968105,0.1399858547406823,0.06436546590409217,0.4597997849377453
test,4,15,-0.010000000000000009,0.014539381854436694,0.1345825575623258,0.07240751467836673,0.5380155942186972
test,4,16,-0.007500000000000007,0.010515702891326023,0.1146542719285464,0.09281148047805805,0.8094899467496425
test,4,17,-0.0050000000000000044,0.006000872382851444,0.08799490309996341,0.06615193401955446,0.751770064959387
test,4,19,0.0,-0.0002991026919242256,0.15975651422611656,-0.0002561950281232491,-0.0016036593522604978
test,4,20,0.0,0.0008005982053838493,0.13901722825027804,0.00793364983151021,0.057069544051237715
test,4,21,0.0,0.0011121635094715856,0.11223054306744464,0.007226063042613396,0.06438588681042837
test,4,22,0.0,0.0011615154536390826,0.08639977327534154,0.006911807844256371,0.07999798590014354
test,4,23,0.0,0.0016942921236291126,0.06325597127833311,0.0006049569601779501,0.009563634040430334
