phase,profile,horizon_h,family,predictions,maximum_difference_m
test,A,7,profile_A_control,1938,0.0
test,A,7,profile_B_control,1938,0.0
test,A,7,mixed_profile_candidate,1938,0.0
test,B,7,profile_A_control,1939,0.0
test,B,7,profile_B_control,1939,0.0
test,B,7,mixed_profile_candidate,1939,0.0
validation,A,8,profile_A_control,6504,0.0
validation,A,8,profile_B_control,6504,0.0
validation,A,8,mixed_profile_candidate,6504,0.0
validation,B,8,profile_A_control,6514,0.0
validation,B,8,profile_B_control,6514,0.0
validation,B,8,mixed_profile_candidate,6514,0.0
test,A,8,profile_A_control,1937,0.0
test,A,8,profile_B_control,1937,0.0
test,A,8,mixed_profile_candidate,1937,0.0
test,B,8,profile_A_control,1938,0.0
test,B,8,profile_B_control,1938,0.0
test,B,8,mixed_profile_candidate,1938,0.0
validation,A,9,profile_A_control,6503,0.0
validation,A,9,profile_B_control,6503,0.0
validation,A,9,mixed_profile_candidate,6503,0.0
validation,B,9,profile_A_control,6513,0.0
validation,B,9,profile_B_control,6513,0.0
validation,B,9,mixed_profile_candidate,6513,0.0
test,A,9,profile_A_control,1936,0.0
test,A,9,profile_B_control,1936,0.0
test,A,9,mixed_profile_candidate,1936,0.0
test,B,9,profile_A_control,1937,0.0
test,B,9,profile_B_control,1937,0.0
test,B,9,mixed_profile_candidate,1937,0.0
validation,A,10,profile_A_control,6502,0.0
validation,A,10,profile_B_control,6502,0.0
validation,A,10,mixed_profile_candidate,6502,0.0
validation,B,10,profile_A_control,6512,0.0
validation,B,10,profile_B_control,6512,0.0
validation,B,10,mixed_profile_candidate,6512,0.0
test,A,10,profile_A_control,1935,0.0
test,A,10,profile_B_control,1935,0.0
test,A,10,mixed_profile_candidate,1935,0.0
test,B,10,profile_A_control,1936,0.0
test,B,10,profile_B_control,1936,0.0
test,B,10,mixed_profile_candidate,1936,0.0
validation,A,11,profile_A_control,6501,0.0
validation,A,11,profile_B_control,6501,0.0
validation,A,11,mixed_profile_candidate,6501,0.0
validation,B,11,profile_A_control,6511,0.0
validation,B,11,profile_B_control,6511,0.0
validation,B,11,mixed_profile_candidate,6511,0.0
test,A,11,profile_A_control,1934,0.0
test,A,11,profile_B_control,1934,0.0
test,A,11,mixed_profile_candidate,1934,0.0
test,B,11,profile_A_control,1935,0.0
test,B,11,profile_B_control,1935,0.0
test,B,11,mixed_profile_candidate,1935,0.0
validation,A,12,profile_A_control,6500,0.0
validation,A,12,profile_B_control,6500,0.0
validation,A,12,mixed_profile_candidate,6500,0.0
validation,B,12,profile_A_control,6510,0.0
validation,B,12,profile_B_control,6510,0.0
validation,B,12,mixed_profile_candidate,6510,0.0
test,A,12,profile_A_control,1933,0.0
test,A,12,profile_B_control,1933,0.0
test,A,12,mixed_profile_candidate,1933,0.0
test,B,12,profile_A_control,1934,0.0
test,B,12,profile_B_control,1934,0.0
test,B,12,mixed_profile_candidate,1934,0.0
