id,network,name,lat,lon,ottobacia,subbacia,observado_em,acumulado_hoje_mm,qualidade,usada_chuva_modelo,proxima_limite_1km,fonte
B859,inmet,INMET - MUCUM (197 m),-29.153611,-51.865278,78651,Baixo Antas,2026-09-21T12:00:00-03:00,118.2,checagens basicas aprovadas; nao homologado,True,True,https://sigmameteorologia.com/produtos/stations/2026-09-21/B859.txt
A840,inmet,INMET - BENTO GONCALVES (639 m),-29.164444,-51.534167,786724,Baixo Antas,2026-09-21T12:00:00-03:00,121.4,checagens basicas aprovadas; nao homologado,True,False,https://sigmameteorologia.com/produtos/stations/2026-09-21/A840.txt
B856,inmet,INMET - BOM JESUS (INMET) (1054 m),-28.669444,-50.441944,786972,Alto Antas,2026-09-21T12:00:00-03:00,6.3,checagens basicas aprovadas; nao homologado,True,False,https://sigmameteorologia.com/produtos/stations/2026-09-21/B856.txt
B858,inmet,INMET - CASCA (602 m),-28.563611,-51.969167,786671,Carreiro,2026-09-21T12:00:00-03:00,52.8,checagens basicas aprovadas; nao homologado,True,False,https://sigmameteorologia.com/produtos/stations/2026-09-21/B858.txt
A829,inmet,INMET - SAO JOSE DOS AUSENTES (1229 m),-28.748611,-50.057778,786986,Alto Antas,2026-09-21T10:00:00-03:00,62.2,leitura atrasada >90 min,True,True,https://sigmameteorologia.com/produtos/stations/2026-09-21/A829.txt
B817,inmet,INMET - CAXIAS DO SUL - CRIUVA (857 m),-28.874167,-50.975556,7869181,Alto Antas,2026-09-21T12:00:00-03:00,114.4,checagens basicas aprovadas; nao homologado,True,False,https://sigmameteorologia.com/produtos/stations/2026-09-21/B817.txt
67ad4ee435fc1a62c31c72d3,ambient_weather,Lavoura ,-28.1903,-51.2554,7868483,Prata-Turvo,2026-09-21T12:55:00-03:00,0.0,checagens basicas aprovadas; nao homologado,False,True,https://sigmameteorologia.com/produtos/stations/2026-09-21/67ad4ee435fc1a62c31c72d3.txt
7329,cemaden,CEMADEN - Caxias do Sul - G2-Santa Fé (810 m),-29.12491,-51.17975,78691263,Alto Antas,2026-09-21T12:40:00-03:00,163.8,checagens basicas aprovadas; nao homologado,True,False,https://sigmameteorologia.com/produtos/stations/2026-09-21/7329.txt
7330,cemaden,CEMADEN - Caxias do Sul - G2-Forqueta (768 m),-29.21434,-51.28252,78691147,Alto Antas,2026-09-21T12:10:00-03:00,0.0,checagens basicas aprovadas; nao homologado,True,True,https://sigmameteorologia.com/produtos/stations/2026-09-21/7330.txt
7331,cemaden,CEMADEN - Caxias do Sul - G2-Parque dos Pinheiros (836 m),-29.1037,-51.0804,7869144,Alto Antas,2026-09-21T12:10:00-03:00,0.2,possivel sensor travado: divergencia dos vizinhos,True,False,https://sigmameteorologia.com/produtos/stations/2026-09-21/7331.txt
7379,cemaden,CEMADEN - Vacaria - Vila São João (975 m),-28.51772,-50.94647,7869229,Alto Antas,2026-09-21T12:40:00-03:00,18.2,checagens basicas aprovadas; nao homologado,True,True,https://sigmameteorologia.com/produtos/stations/2026-09-21/7379.txt
8928,cemaden,CEMADEN - Serafina Corrêa - Centro (527 m),-28.71022,-51.92982,786652,Carreiro,2026-09-21T12:50:00-03:00,100.4,checagens basicas aprovadas; nao homologado,True,False,https://sigmameteorologia.com/produtos/stations/2026-09-21/8928.txt
16911,cemaden,CEMADEN - Pinto Bandeira - G2-431454801A (579 m),-29.05177,-51.47598,786782,Baixo Antas,2026-09-21T12:10:00-03:00,0.0,reinicio ou queda do acumulado diario; possivel sensor travado: divergencia dos vizinhos,True,False,https://sigmameteorologia.com/produtos/stations/2026-09-21/16911.txt
16912,cemaden,CEMADEN - Flores da Cunha - G2-430820102A (744 m),-29.06492,-51.2902,7869122,Alto Antas,2026-09-21T12:50:00-03:00,125.4,checagens basicas aprovadas; nao homologado,True,False,https://sigmameteorologia.com/produtos/stations/2026-09-21/16912.txt
16913,cemaden,CEMADEN - Flores da Cunha - G2-430820103A (717 m),-29.0257,-51.1485,7869141,Alto Antas,2026-09-21T12:40:00-03:00,150.4,checagens basicas aprovadas; nao homologado,True,False,https://sigmameteorologia.com/produtos/stations/2026-09-21/16913.txt
16914,cemaden,CEMADEN - São Francisco de Paula - G2-Escola D. Pedro I (867 m),-29.10275,-50.63405,7869473,Alto Antas,2026-09-21T12:50:00-03:00,58.4,checagens basicas aprovadas; nao homologado,True,False,https://sigmameteorologia.com/produtos/stations/2026-09-21/16914.txt
16917,cemaden,CEMADEN - Bento Gonçalves - G2-Caminhos de Pedra - São pedro (513 m),-29.17598,-51.43224,786787,Baixo Antas,2026-09-21T12:50:00-03:00,139.4,checagens basicas aprovadas; nao homologado,True,False,https://sigmameteorologia.com/produtos/stations/2026-09-21/16917.txt
16918,cemaden,CEMADEN - Pinto Bandeira - G2-431454802A (641 m),-29.09604,-51.45046,786782,Baixo Antas,2026-09-21T12:10:00-03:00,0.0,checagens basicas aprovadas; nao homologado,True,False,https://sigmameteorologia.com/produtos/stations/2026-09-21/16918.txt
