id,rede,nome,lat,lon,subbacia,origem,ultimo_dado,qualidade
A840,inmet,INMET - BENTO GONCALVES (639 m),-29.164444,-51.534167,Baixo Antas,SIGMA,2026-09-21T12:00:00-03:00,checagens basicas aprovadas; nao homologado
B856,inmet,INMET - BOM JESUS (INMET) (1054 m),-28.669444,-50.441944,Alto Antas,SIGMA,2026-09-21T12:00:00-03:00,checagens basicas aprovadas; nao homologado
B858,inmet,INMET - CASCA (602 m),-28.563611,-51.969167,Carreiro,SIGMA,2026-09-21T12:00:00-03:00,checagens basicas aprovadas; nao homologado
A829,inmet,INMET - SAO JOSE DOS AUSENTES (1229 m),-28.748611,-50.057778,Alto Antas,SIGMA,2026-09-21T10:00:00-03:00,leitura atrasada >90 min
B817,inmet,INMET - CAXIAS DO SUL - CRIUVA (857 m),-28.874167,-50.975556,Alto Antas,SIGMA,2026-09-21T12:00:00-03:00,checagens basicas aprovadas; nao homologado
67ad4ee435fc1a62c31c72d3,ambient_weather,Lavoura ,-28.1903,-51.2554,Prata-Turvo,SIGMA,2026-09-21T12:55:00-03:00,checagens basicas aprovadas; nao homologado
7329,cemaden,CEMADEN - Caxias do Sul - G2-Santa Fé (810 m),-29.12491,-51.17975,Alto Antas,SIGMA,2026-09-21T12:40:00-03:00,checagens basicas aprovadas; nao homologado
7330,cemaden,CEMADEN - Caxias do Sul - G2-Forqueta (768 m),-29.21434,-51.28252,Alto Antas,SIGMA,2026-09-21T12:10:00-03:00,checagens basicas aprovadas; nao homologado
7331,cemaden,CEMADEN - Caxias do Sul - G2-Parque dos Pinheiros (836 m),-29.1037,-51.0804,Alto Antas,SIGMA,2026-09-21T12:10:00-03:00,possivel sensor travado: divergencia dos vizinhos
7379,cemaden,CEMADEN - Vacaria - Vila São João (975 m),-28.51772,-50.94647,Alto Antas,SIGMA,2026-09-21T12:40:00-03:00,checagens basicas aprovadas; nao homologado
8928,cemaden,CEMADEN - Serafina Corrêa - Centro (527 m),-28.71022,-51.92982,Carreiro,SIGMA,2026-09-21T12:50:00-03:00,checagens basicas aprovadas; nao homologado
16911,cemaden,CEMADEN - Pinto Bandeira - G2-431454801A (579 m),-29.05177,-51.47598,Baixo Antas,SIGMA,2026-09-21T12:10:00-03:00,reinicio ou queda do acumulado diario; possivel sensor travado: divergencia dos vizinhos
16912,cemaden,CEMADEN - Flores da Cunha - G2-430820102A (744 m),-29.06492,-51.2902,Alto Antas,SIGMA,2026-09-21T12:50:00-03:00,checagens basicas aprovadas; nao homologado
16913,cemaden,CEMADEN - Flores da Cunha - G2-430820103A (717 m),-29.0257,-51.1485,Alto Antas,SIGMA,2026-09-21T12:40:00-03:00,checagens basicas aprovadas; nao homologado
16914,cemaden,CEMADEN - São Francisco de Paula - G2-Escola D. Pedro I (867 m),-29.10275,-50.63405,Alto Antas,SIGMA,2026-09-21T12:50:00-03:00,checagens basicas aprovadas; nao homologado
16917,cemaden,CEMADEN - Bento Gonçalves - G2-Caminhos de Pedra - São pedro (513 m),-29.17598,-51.43224,Baixo Antas,SIGMA,2026-09-21T12:50:00-03:00,checagens basicas aprovadas; nao homologado
16918,cemaden,CEMADEN - Pinto Bandeira - G2-431454802A (641 m),-29.09604,-51.45046,Baixo Antas,SIGMA,2026-09-21T12:10:00-03:00,checagens basicas aprovadas; nao homologado
16920,cemaden,CEMADEN - Flores da Cunha - G2-430820101A (721 m),-28.99748,-51.21766,Alto Antas,SIGMA,2026-09-21T12:50:00-03:00,checagens basicas aprovadas; nao homologado
16921,cemaden,CEMADEN - Antônio Prado - G2-430080202A (683 m),-28.8493,-51.2744,Alto Antas,SIGMA,2026-09-21T12:20:00-03:00,possivel sensor travado: divergencia dos vizinhos
16922,cemaden,CEMADEN - Antônio Prado - G2-430080203A (685 m),-28.86879,-51.24667,Alto Antas,SIGMA,2026-09-21T12:10:00-03:00,possivel sensor travado: divergencia dos vizinhos
16926,cemaden,CEMADEN - Bento Gonçalves - G2-Vale dos Vinhedos (539 m),-29.17524,-51.56168,Baixo Antas,SIGMA,2026-09-21T12:10:00-03:00,reinicio ou queda do acumulado diario; possivel sensor travado: divergencia dos vizinhos
16927,cemaden,CEMADEN - Santa Tereza - G2-431725101A (244 m),-29.16629,-51.68494,Baixo Antas,SIGMA,2026-09-21T12:40:00-03:00,checagens basicas aprovadas; nao homologado
16929,cemaden,CEMADEN - Antônio Prado - G2-430080201A (688 m),-28.88297,-51.41755,Prata-Turvo,SIGMA,2026-09-21T12:10:00-03:00,checagens basicas aprovadas; nao homologado
16930,cemaden,CEMADEN - Veranópolis - G2-432280602A (664 m),-28.9594,-51.48939,Prata-Turvo,SIGMA,2026-09-21T12:40:00-03:00,checagens basicas aprovadas; nao homologado
