column,rows,changed,availability_changes,max_finite_difference
97,12912,11830,0,0.04356720898702293
98,12912,5954,1,20.7498392407515
99,12912,11905,0,0.0254696881657952
100,12912,6504,1,20.89157466589188
101,12912,11988,0,0.012734844082897712
102,12912,4827,3,16.058105752469395
103,12912,4824,3,16.058105752469395
104,12912,4818,3,16.058105752469395
105,12912,3561,157,28.02732240437158
106,12912,253,0,0.8415300546448088
107,12912,3766,11,28.27103825136618
108,12912,412,0,0.28051001821493626
109,12912,4018,3,28.27103825136618
110,12912,524,0,0.14025500910746813
111,12912,4090,3,28.27103825136618
112,12912,661,0,0.10154826958105656
113,12912,4534,1,28.27103825136618
114,12912,727,0,0.05077413479052828
115,12912,4914,1,28.27103825136618
116,12912,785,0,0.025387067395264196
117,12912,3763,11,28.27103825136618
118,12912,3760,11,28.27103825136618
119,12912,3754,11,28.27103825136618
120,12912,0,0,0.0
121,12912,0,0,0.0
122,12912,0,0,0.0
123,12912,0,0,0.0
124,12912,0,0,0.0
125,12912,0,0,0.0
126,12912,0,0,0.0
127,12912,0,0,0.0
128,12912,0,0,0.0
129,12912,0,0,0.0
130,12912,0,0,0.0
131,12912,0,0,0.0
132,12912,0,0,0.0
133,12912,0,0,0.0
134,12912,0,0,0.0
135,12912,0,0,0.0
136,12912,0,0,0.0
137,12912,0,0,0.0
138,12912,0,0,0.0
139,12912,0,0,0.0
140,12912,0,0,0.0
141,12912,0,0,0.0
142,12912,0,0,0.0
143,12912,0,0,0.0
144,12912,0,0,0.0
145,12912,0,0,0.0
146,12912,0,0,0.0
147,12912,0,0,0.0
148,12912,0,0,0.0
149,12912,0,0,0.0
150,12912,0,0,0.0
151,12912,0,0,0.0
152,12912,0,0,0.0
153,12912,0,0,0.0
154,12912,0,0,0.0
155,12912,0,0,0.0
156,12912,0,0,0.0
157,12912,0,0,0.0
158,12912,0,0,0.0
159,12912,0,0,0.0
160,12912,0,0,0.0
161,12912,0,0,0.0
162,12912,0,0,0.0
163,12912,0,0,0.0
164,12912,0,0,0.0
165,12912,0,0,0.0
166,12912,0,0,0.0
167,12912,0,0,0.0
168,12912,0,0,0.0
169,12912,0,0,0.0
170,12912,0,0,0.0
171,12912,0,0,0.0
172,12912,0,0,0.0
173,12912,0,0,0.0
174,12912,0,0,0.0
175,12912,0,0,0.0
176,12912,0,0,0.0
177,12912,0,0,0.0
178,12912,0,0,0.0
179,12912,0,0,0.0
