phase,horizon_h,family,subset,regime,n,hits,mae_m,bias_m,max_error_m
test,2,baseline,level_ge_7m,within_train_range,221,220,0.09220760728293878,0.005319952935402472,0.6831844900256243
test,2,native_only,all,above_train_max,7,2,1.3408533343722655,-1.3408533343722655,2.4621058920769237
test,2,native_only,all,below_train_min,8,5,0.4329054716604279,0.4329054716604279,0.6000947206954166
test,2,native_only,all,within_train_range,1921,1909,0.05409124083145189,0.0068876545487339255,0.6738035206237727
test,2,native_only,level_ge_7m,above_train_max,7,2,1.3408533343722655,-1.3408533343722655,2.4621058920769237
test,2,native_only,level_ge_7m,below_train_min,8,5,0.4329054716604279,0.4329054716604279,0.6000947206954166
test,2,native_only,level_ge_7m,within_train_range,221,218,0.09456235990512166,0.011306195680943801,0.6572465332090118
test,2,reservoir_only,all,above_train_max,7,2,1.2850349398687342,-1.2850349398687342,2.3815057082775617
test,2,reservoir_only,all,below_train_min,8,4,0.46595899388251794,0.46595899388251794,0.603987033395919
test,2,reservoir_only,all,within_train_range,1921,1906,0.05810094285061862,0.007179106955906154,0.7700079212578426
test,2,reservoir_only,level_ge_7m,above_train_max,7,2,1.2850349398687342,-1.2850349398687342,2.3815057082775617
test,2,reservoir_only,level_ge_7m,below_train_min,8,4,0.46595899388251794,0.46595899388251794,0.603987033395919
test,2,reservoir_only,level_ge_7m,within_train_range,221,217,0.0901969376678505,0.0075837547481300074,0.6563104293361519
test,2,combined,all,above_train_max,7,1,1.343714023073007,-1.343714023073007,2.469646052738593
test,2,combined,all,below_train_min,8,5,0.4321453612341024,0.4321453612341024,0.613700207070913
test,2,combined,all,within_train_range,1921,1907,0.05530875851222679,0.006813721560846969,0.8149654355239875
test,2,combined,level_ge_7m,above_train_max,7,1,1.343714023073007,-1.343714023073007,2.469646052738593
test,2,combined,level_ge_7m,below_train_min,8,5,0.4321453612341024,0.4321453612341024,0.613700207070913
test,2,combined,level_ge_7m,within_train_range,221,216,0.09665774866048514,0.013501961475314316,0.8149654355239875
validation,3,baseline,all,above_train_max,0,0,,,
validation,3,baseline,all,below_train_min,2,2,0.3474735539763527,0.3474735539763527,0.3682775755638561
validation,3,baseline,all,within_train_range,6474,6453,0.0394865110854715,-0.00131130770976,1.0262927605263448
validation,3,baseline,level_ge_7m,above_train_max,0,0,,,
validation,3,baseline,level_ge_7m,below_train_min,1,1,0.3682775755638561,0.3682775755638561,0.3682775755638561
validation,3,baseline,level_ge_7m,within_train_range,27,24,0.1780047016933013,-0.0012141325776666876,0.7181187555700568
validation,3,native_only,all,above_train_max,0,0,,,
validation,3,native_only,all,below_train_min,2,2,0.3409883338897344,0.3409883338897344,0.3436815124510124
validation,3,native_only,all,within_train_range,6474,6445,0.04467807863425043,0.004935444652754891,1.5373475545334472
validation,3,native_only,level_ge_7m,above_train_max,0,0,,,
validation,3,native_only,level_ge_7m,below_train_min,1,1,0.33829515532845633,0.33829515532845633,0.33829515532845633
validation,3,native_only,level_ge_7m,within_train_range,27,25,0.1673087858036126,0.0028771000850645427,0.6382705101223252
validation,3,reservoir_only,all,above_train_max,0,0,,,
validation,3,reservoir_only,all,below_train_min,2,2,0.3743163704625383,0.3743163704625383,0.39611584673684064
validation,3,reservoir_only,all,within_train_range,6474,6453,0.04152761888174646,0.0005685320379607529,1.0151466566641871
validation,3,reservoir_only,level_ge_7m,above_train_max,0,0,,,
validation,3,reservoir_only,level_ge_7m,below_train_min,1,1,0.39611584673684064,0.39611584673684064,0.39611584673684064
validation,3,reservoir_only,level_ge_7m,within_train_range,27,24,0.18473615677351407,0.02506348766138757,0.7760672052922732
validation,3,combined,all,above_train_max,0,0,,,
validation,3,combined,all,below_train_min,2,2,0.35119310908731016,0.35119310908731016,0.3640466143164769
validation,3,combined,all,within_train_range,6474,6442,0.044852893593486425,0.006366826579847566,1.629887244241763
validation,3,combined,level_ge_7m,above_train_max,0,0,,,
validation,3,combined,level_ge_7m,below_train_min,1,1,0.3640466143164769,0.3640466143164769,0.3640466143164769
validation,3,combined,level_ge_7m,within_train_range,27,26,0.1688132884689256,0.026904466488437348,0.5901627706519186
test,3,baseline,all,above_train_max,7,0,2.2615881095825308,-2.2615881095825308,3.6279650750962045
test,3,baseline,all,below_train_min,18,11,0.5315413261600347,0.5315413261600347,0.9068483817549655
test,3,baseline,all,within_train_range,1908,1881,0.07640923872050279,-0.0016381304409667208,0.9475699489593747
test,3,baseline,level_ge_7m,above_train_max,7,0,2.2615881095825308,-2.2615881095825308,3.6279650750962045
test,3,baseline,level_ge_7m,below_train_min,18,11,0.5315413261600347,0.5315413261600347,0.9068483817549655
test,3,baseline,level_ge_7m,within_train_range,211,195,0.15689818989530505,-0.024349730977971176,0.9475699489593747
test,3,native_only,all,above_train_max,7,0,2.2276346238392595,-2.2276346238392595,3.53956990275997
test,3,native_only,all,below_train_min,18,11,0.49298139843905475,0.49298139843905475,0.854667238907286
test,3,native_only,all,within_train_range,1908,1880,0.07629993382910802,0.0003217195939817461,1.0146950772429637
test,3,native_only,level_ge_7m,above_train_max,7,0,2.2276346238392595,-2.2276346238392595,3.53956990275997
test,3,native_only,level_ge_7m,below_train_min,18,11,0.49298139843905475,0.49298139843905475,0.854667238907286
test,3,native_only,level_ge_7m,within_train_range,211,195,0.15723034548032852,-0.015059756396914566,1.0146950772429637
test,3,reservoir_only,all,above_train_max,7,0,2.2956701950611698,-2.2956701950611698,3.6504885160225875
test,3,reservoir_only,all,below_train_min,18,11,0.5204796628126002,0.5204796628126002,0.9010612487850569
test,3,reservoir_only,all,within_train_range,1908,1883,0.0784355978165682,-0.002313577597966494,1.0001995271601043
test,3,reservoir_only,level_ge_7m,above_train_max,7,0,2.2956701950611698,-2.2956701950611698,3.6504885160225875
test,3,reservoir_only,level_ge_7m,below_train_min,18,11,0.5204796628126002,0.5204796628126002,0.9010612487850569
test,3,reservoir_only,level_ge_7m,within_train_range,211,197,0.16446768003684256,-0.03778670375828764,1.0001995271601043
