month,id,name,code,rows
6,AMDA,DARDANELOS,310.0,656
6,AMUGUA,GUAPORE,196.0,702
6,AMUHJI,JIRAU,285.0,719
6,AMUSPM,PIMENTAL,314.0,602
6,AMUHRD,RONDON II,276.0,718
6,AMSAPI,SALTO APIACAS,225.0,718
6,AMSU,SAMUEL,279.0,720
6,AMUSSN,SANTO ANTONIO,287.0,720
6,AMUSMA,SAO MANOEL,230.0,719
6,AMSNPE,SINOP,227.0,716
6,AMSAJ,STO ANTONIO DO JARI,286.0,719
6,AMUHTP,TELES PIRES,229.0,657
6,AAUCCA,CACHOEIRA CALDEIRAO,204.0,719
6,AMUHCN,COARACY NUNES,280.0,720
6,AAFGO,FERREIRA GOMES,284.0,720
6,CASPSO,G. P. SOUZA,115.0,718
6,DCAIMO,AIMORES,143.0,720
6,DCUBAG,BAGUARI,141.0,720
6,DCUHEC,CANDONGA,139.0,717
6,PCGAMO,GUILM. AMORIM,192.0,720
6,DCMASC,MASCARENHAS,144.0,719
6,DCPORT,PORTO ESTRELA,135.0,681
6,DCSCAR,SA CARVALHO,193.0,720
6,SASGCM,SALTO GRANDE CM,134.0,720
6,DCSACM,SANTONIO CM,193.0,720
6,GRAGVL,A. VERMELHA,18.0,720
6,PDCACO,CACONDE,14.0,719
6,GRCAMA,CAMARGOS,1.0,720
6,PDECUN,E. DA CUNHA,15.0,720
6,GRFUNI,FUNIL-MG,4.0,720
6,GRFURN,FURNAS,6.0,720
6,GRIGAR,IGARAPAVA,10.0,720
6,GRITUT,ITUTINGA,2.0,720
6,GRJAGU,JAGUARA,9.0,720
6,GRLCBA,L. C. BARRETO,8.0,720
6,PDLIMO,LIMOEIRO,16.0,720
6,GRMMOR,M. MORAES,7.0,720
6,GRMARI,MARIMBONDO,17.0,720
6,GRPCOL,P. COLOMBIA,12.0,720
6,GRVGRA,VOLTA GRANDE,11.0,719
6,IGUHBI,BAIXO IGUACU,83.0,718
6,IGFND,FUNDÃO,72.0,720
6,IGGBMU,G. B. MUNHOZ,74.0,718
6,JDJORD,JORDÃO,73.0,717
6,IGSCAX,SALTO CAXIAS,82.0,718
6,IGSOSO,SALTO OSORIO,78.0,718
6,IGSSAN,SALTO SANTIAGO,77.0,717
6,IGSCL,SANTA CLARA-PR,71.0,720
6,IGSEGR,SEGREDO,76.0,720
6,ITRSL,ROSAL,217.0,720
6,IAUHSP,SALTO PILAO,215.0,718
6,JIUHQJ,14 DE JULHO,99.0,718
6,OSCNST,CANASTRA,,715
6,JIUHCA,CASTRO ALVES,97.0,718
6,JIUDFR,D. FRANCISCA,114.0,718
6,JIERNE,ERNESTINA,110.0,713
6,JIITAU,ITAUBA,113.0,713
6,JIJACU,JACUI,112.0,714
6,JIUHMC,MONTE CLARO,98.0,718
6,JIPREA,PASSO REAL,111.0,714
6,JEIRAP,IRAPE,148.0,720
6,JEUITP,ITAPEBI,154.0,659
6,MUSCLA,STA.CLARA-MG,283.0,720
6,PGUCV,PEDRA DO CAVALO,189.0,227
6,PYUIQ,ITIQUIRA I,304.0,702
6,PYUIQ2,ITIQUIRA II,305.0,702
6,PYUJAU,JAURU,195.0,720
6,PYUSMS,MANSO,278.0,720
6,PYPP,PONTE DE PEDRA,281.0,720
6,PBANTA,ANTA,128.0,720
6,PBBBRA,BARRA BRAUNA,185.0,719
6,RLFONT,FONTES,132.0,718
6,PBFUNI,FUNIL,123.0,720
6,PBILHP,ILHA POMBOS,130.0,718
6,PBJAGU,JAGUARI,120.0,720
6,RLLAJE,LAJES,124.0,718
6,RLNPEC,NILO PEÇANHA,131.0,718
6,PBPARA,PARAIBUNA,121.0,698
6,RLPPAS,PEREIRA PASSOS,133.0,593
6,PBPCDA,PICADA,126.0,633
6,PBSTAB,SANTA BRANCA,122.0,719
6,PBSTAC,SANTA CECILIA,125.0,718
6,RPSANT,SANTANA,181.0,718
6,PBUSSI,SIMPLICIO,129.0,720
6,PUSOBR,SOBRAGI,127.0,720
6,RPTOCO,TOCOS,180.0,719
6,PBVIG,VIGARIO,182.0,718
6,PNISOL,I. SOLTEIRA,34.0,720
6,PNITAI,ITAIPU,66.0,719
6,PNJUPI,JUPIA,45.0,720
6,PNPPRI,PORTO PRIMAVERA,46.0,698
6,PNUHSD,SAO DOMINGOS,153.0,712
6,PNUHBC,B.COQUEIROS,312.0,720
6,PNUSBL,BATALHA,20.0,720
6,PRCDOU,C. DOURADA,32.0,720
6,PNCPB1,C.BRANCO-1,27.0,720
6,PNCPB2,C.BRANCO-2,28.0,720
6,PNCACU,CACU,311.0,684
6,COCORU,CORUMBA,30.0,720
6,PNUCB3,CORUMBA-3,203.0,654
6,PNUCB4,CORUMBA-4,29.0,720
6,PREMBO,EMBORCAÇÃO,24.0,720
6,PNUHES,ESPORA,290.0,719
6,PNUFRC,FOZ DO RIO CLARO,315.0,720
6,PRITUM,ITUMBIARA,31.0,720
6,ARMIRA,MIRANDA,26.0,720
6,PRNPON,NOVA PONTE,25.0,720
6,PNUHSF,S.DO FACÃO,21.0,719
6,PNSV,S.R.VERDINHO,241.0,720
6,PNST,SALTO,262.0,720
6,PRSSIM,SÃO SIMÃO,33.0,716
6,PPCNO1,CANOAS I,52.0,720
6,PPCNO2,CANOAS II,51.0,720
6,PPCAPI,CAPIVARA,61.0,720
6,PPCHAV,CHAVANTES,49.0,720
6,PPUHMU,GOV JAYME CANET JR,57.0,719
6,PPJURU,JURUMIRIM,47.0,720
6,PPORI,OURINHOS,249.0,696
6,PPPJU,PIRAJU,48.0,718
6,PPROSA,ROSANA,63.0,720
6,PPSGCS,SALTO GRANDE CS,50.0,720
6,PPTAQU,TAQUARUÇU,62.0,720
6,PIBESP,BOA ESPERANÇA,190.0,719
6,ODRBON,RIO BONITO,,707
6,ODUSUI,SUIÇA,,717
6,SFMOXO,APOLONIO SALES,173.0,720
6,SFLGON,LUIZ GONZAGA,172.0,719
6,SFP123,"P. AFONSO 1,2,3",174.0,720
6,SFPAF4,P. AFONSO 4,175.0,719
6,SFQMDO,QUEIMADO,162.0,720
6,SFUHRB,RETIRO BAIXO,155.0,694
6,SFSOBR,SOBRADINHO,169.0,719
6,SFTMAR,TRÊS MARIAS,156.0,720
6,SFXING,XINGO,178.0,720
6,TIBONI,B. BONITA,37.0,720
6,TIBARI,BARIRI,38.0,720
6,TIIBIT,IBITINGA,39.0,720
6,TINAVA,N. AVANHANDAVA,42.0,720
6,TIPROM,PROMISSÃO,40.0,720
