origin,plant,variable,back_hours,query_naive,source_time_naive,age_seconds,value_m3s,usable,zero,Q_zero_positive_components,balance_residual_gt1,source_file,source_record_index
2020-07-01T02:00:00-03:00,JIUHQJ,Q,8,2020-06-30T17:00:00,2020-06-30 17:00:00,0.0,1223.0,True,False,False,False,outputs/auditoria-qi-radar-2020-20260921/raw/ons-2020-06.csv,39580
2020-07-01T02:00:00-03:00,JIUHQJ,I,0,2020-07-01T01:00:00,2020-07-01 01:00:00,0.0,2507.0,True,False,False,False,outputs/historico-vazoes-ceran/ceran-2020-07-source-values.csv,1488
2020-07-01T02:00:00-03:00,JIUHMC,Q,0,2020-07-01T01:00:00,2020-07-01 01:00:00,0.0,2077.0,True,False,False,False,outputs/historico-vazoes-ceran/ceran-2020-07-source-values.csv,744
2020-07-01T02:00:00-03:00,JIUHMC,Q,1,2020-07-01T00:00:00,2020-06-30 23:59:00,60.0,1874.0,True,False,False,False,outputs/auditoria-qi-radar-2020-20260921/raw/ons-2020-06.csv,43907
2020-07-01T02:00:00-03:00,JIUHMC,Q,2,2020-06-30T23:00:00,2020-06-30 23:00:00,0.0,2407.0,True,False,False,False,outputs/auditoria-qi-radar-2020-20260921/raw/ons-2020-06.csv,43906
2020-07-01T02:00:00-03:00,JIUHMC,Q,4,2020-06-30T21:00:00,2020-06-30 21:00:00,0.0,2263.0,True,False,False,False,outputs/auditoria-qi-radar-2020-20260921/raw/ons-2020-06.csv,43904
2020-07-01T02:00:00-03:00,JIUHMC,Q,8,2020-06-30T17:00:00,2020-06-30 17:00:00,0.0,1768.0,True,False,False,False,outputs/auditoria-qi-radar-2020-20260921/raw/ons-2020-06.csv,43900
2020-07-01T02:00:00-03:00,JIUHMC,I,0,2020-07-01T01:00:00,2020-07-01 01:00:00,0.0,2223.0,True,False,False,False,outputs/historico-vazoes-ceran/ceran-2020-07-source-values.csv,744
2020-07-01T02:00:00-03:00,JIUHCA,Q,0,2020-07-01T01:00:00,2020-07-01 01:00:00,0.0,1142.0,True,False,False,False,outputs/historico-vazoes-ceran/ceran-2020-07-source-values.csv,0
2020-07-01T02:00:00-03:00,JIUHCA,Q,1,2020-07-01T00:00:00,2020-06-30 23:59:00,60.0,1160.0,True,False,False,False,outputs/auditoria-qi-radar-2020-20260921/raw/ons-2020-06.csv,40307
2020-07-01T02:00:00-03:00,JIUHCA,Q,2,2020-06-30T23:00:00,2020-06-30 23:00:00,0.0,1218.0,True,False,False,False,outputs/auditoria-qi-radar-2020-20260921/raw/ons-2020-06.csv,40306
2020-07-01T02:00:00-03:00,JIUHCA,Q,4,2020-06-30T21:00:00,2020-06-30 21:00:00,0.0,1256.0,True,False,False,False,outputs/auditoria-qi-radar-2020-20260921/raw/ons-2020-06.csv,40304
2020-07-01T02:00:00-03:00,JIUHCA,Q,8,2020-06-30T17:00:00,2020-06-30 17:00:00,0.0,990.0,True,False,False,False,outputs/auditoria-qi-radar-2020-20260921/raw/ons-2020-06.csv,40300
2020-07-01T02:00:00-03:00,JIUHCA,I,0,2020-07-01T01:00:00,2020-07-01 01:00:00,0.0,1112.0,True,False,False,False,outputs/historico-vazoes-ceran/ceran-2020-07-source-values.csv,0
2020-07-01T03:00:00-03:00,JIUHQJ,Q,0,2020-07-01T02:00:00,2020-07-01 02:00:00,0.0,2372.0,True,False,False,False,outputs/historico-vazoes-ceran/ceran-2020-07-source-values.csv,1489
2020-07-01T03:00:00-03:00,JIUHQJ,Q,1,2020-07-01T01:00:00,2020-07-01 01:00:00,0.0,2362.0,True,False,False,False,outputs/historico-vazoes-ceran/ceran-2020-07-source-values.csv,1488
2020-07-01T03:00:00-03:00,JIUHQJ,Q,2,2020-07-01T00:00:00,2020-06-30 23:59:00,60.0,2275.0,True,False,False,False,outputs/auditoria-qi-radar-2020-20260921/raw/ons-2020-06.csv,39587
2020-07-01T03:00:00-03:00,JIUHQJ,Q,4,2020-06-30T22:00:00,2020-06-30 22:00:00,0.0,2490.0,True,False,False,False,outputs/auditoria-qi-radar-2020-20260921/raw/ons-2020-06.csv,39585
2020-07-01T03:00:00-03:00,JIUHQJ,Q,8,2020-06-30T18:00:00,2020-06-30 18:00:00,0.0,1359.0,True,False,False,False,outputs/auditoria-qi-radar-2020-20260921/raw/ons-2020-06.csv,39581
2020-07-01T03:00:00-03:00,JIUHQJ,I,0,2020-07-01T02:00:00,2020-07-01 02:00:00,0.0,2388.0,True,False,False,False,outputs/historico-vazoes-ceran/ceran-2020-07-source-values.csv,1489
2020-07-01T03:00:00-03:00,JIUHMC,Q,0,2020-07-01T02:00:00,2020-07-01 02:00:00,0.0,2015.0,True,False,False,False,outputs/historico-vazoes-ceran/ceran-2020-07-source-values.csv,745
2020-07-01T03:00:00-03:00,JIUHMC,Q,1,2020-07-01T01:00:00,2020-07-01 01:00:00,0.0,2077.0,True,False,False,False,outputs/historico-vazoes-ceran/ceran-2020-07-source-values.csv,744
2020-07-01T03:00:00-03:00,JIUHMC,Q,2,2020-07-01T00:00:00,2020-06-30 23:59:00,60.0,1874.0,True,False,False,False,outputs/auditoria-qi-radar-2020-20260921/raw/ons-2020-06.csv,43907
2020-07-01T03:00:00-03:00,JIUHMC,Q,4,2020-06-30T22:00:00,2020-06-30 22:00:00,0.0,2217.0,True,False,False,False,outputs/auditoria-qi-radar-2020-20260921/raw/ons-2020-06.csv,43905
2020-07-01T03:00:00-03:00,JIUHMC,Q,8,2020-06-30T18:00:00,2020-06-30 18:00:00,0.0,1903.0,True,False,False,False,outputs/auditoria-qi-radar-2020-20260921/raw/ons-2020-06.csv,43901
2020-07-01T03:00:00-03:00,JIUHMC,I,0,2020-07-01T02:00:00,2020-07-01 02:00:00,0.0,2023.0,True,False,False,False,outputs/historico-vazoes-ceran/ceran-2020-07-source-values.csv,745
2020-07-01T03:00:00-03:00,JIUHCA,Q,0,2020-07-01T02:00:00,2020-07-01 02:00:00,0.0,1142.0,True,False,False,False,outputs/historico-vazoes-ceran/ceran-2020-07-source-values.csv,1
2020-07-01T03:00:00-03:00,JIUHCA,Q,1,2020-07-01T01:00:00,2020-07-01 01:00:00,0.0,1142.0,True,False,False,False,outputs/historico-vazoes-ceran/ceran-2020-07-source-values.csv,0
2020-07-01T03:00:00-03:00,JIUHCA,Q,2,2020-07-01T00:00:00,2020-06-30 23:59:00,60.0,1160.0,True,False,False,False,outputs/auditoria-qi-radar-2020-20260921/raw/ons-2020-06.csv,40307
2020-07-01T03:00:00-03:00,JIUHCA,Q,4,2020-06-30T22:00:00,2020-06-30 22:00:00,0.0,1247.0,True,False,False,False,outputs/auditoria-qi-radar-2020-20260921/raw/ons-2020-06.csv,40305
2020-07-01T03:00:00-03:00,JIUHCA,Q,8,2020-06-30T18:00:00,2020-06-30 18:00:00,0.0,1114.0,True,False,False,False,outputs/auditoria-qi-radar-2020-20260921/raw/ons-2020-06.csv,40301
2020-07-01T03:00:00-03:00,JIUHCA,I,0,2020-07-01T02:00:00,2020-07-01 02:00:00,0.0,1142.0,True,False,False,False,outputs/historico-vazoes-ceran/ceran-2020-07-source-values.csv,1
2020-07-01T04:00:00-03:00,JIUHQJ,Q,0,2020-07-01T03:00:00,2020-07-01 03:00:00,0.0,2245.0,True,False,False,False,outputs/historico-vazoes-ceran/ceran-2020-07-source-values.csv,1490
2020-07-01T04:00:00-03:00,JIUHQJ,Q,1,2020-07-01T02:00:00,2020-07-01 02:00:00,0.0,2372.0,True,False,False,False,outputs/historico-vazoes-ceran/ceran-2020-07-source-values.csv,1489
2020-07-01T04:00:00-03:00,JIUHQJ,Q,2,2020-07-01T01:00:00,2020-07-01 01:00:00,0.0,2362.0,True,False,False,False,outputs/historico-vazoes-ceran/ceran-2020-07-source-values.csv,1488
2020-07-01T04:00:00-03:00,JIUHQJ,Q,4,2020-06-30T23:00:00,2020-06-30 23:00:00,0.0,2376.0,True,False,False,False,outputs/auditoria-qi-radar-2020-20260921/raw/ons-2020-06.csv,39586
2020-07-01T04:00:00-03:00,JIUHQJ,Q,8,2020-06-30T19:00:00,2020-06-30 19:00:00,0.0,1515.0,True,False,False,False,outputs/auditoria-qi-radar-2020-20260921/raw/ons-2020-06.csv,39582
2020-07-01T04:00:00-03:00,JIUHQJ,I,0,2020-07-01T03:00:00,2020-07-01 03:00:00,0.0,2035.0,True,False,False,False,outputs/historico-vazoes-ceran/ceran-2020-07-source-values.csv,1490
2020-07-01T04:00:00-03:00,JIUHMC,Q,0,2020-07-01T03:00:00,2020-07-01 03:00:00,0.0,1977.0,True,False,False,False,outputs/historico-vazoes-ceran/ceran-2020-07-source-values.csv,746
2020-07-01T04:00:00-03:00,JIUHMC,Q,1,2020-07-01T02:00:00,2020-07-01 02:00:00,0.0,2015.0,True,False,False,False,outputs/historico-vazoes-ceran/ceran-2020-07-source-values.csv,745
2020-07-01T04:00:00-03:00,JIUHMC,Q,2,2020-07-01T01:00:00,2020-07-01 01:00:00,0.0,2077.0,True,False,False,False,outputs/historico-vazoes-ceran/ceran-2020-07-source-values.csv,744
2020-07-01T04:00:00-03:00,JIUHMC,Q,4,2020-06-30T23:00:00,2020-06-30 23:00:00,0.0,2407.0,True,False,False,False,outputs/auditoria-qi-radar-2020-20260921/raw/ons-2020-06.csv,43906
