phase,subset,family,lead_h,n,mae_m3_s,bias_m3_s,rmse_m3_s,p90_absolute_m3_s,p98_absolute_m3_s,max_absolute_m3_s
validation,all,without_monte,9,6543,99.30514146035944,-21.010004091256086,151.95861818903862,201.6069335631213,408.1431562949685,1597.188219881739
validation,all,without_monte,10,6542,104.11398548370941,-19.94738571133914,163.91672681463356,208.17705591346018,444.3117063595231,1834.5877557285323
validation,all,without_monte,11,6541,108.16880966268221,-17.740017931807543,175.00391259515425,215.90724612763458,482.5806433033727,2080.0617008602085
validation,high_flow,level_and_slopes,0,28,94.72511224305585,-21.183298635212036,156.701865470656,261.75225234714344,453.9622346292472,547.5235878886201
validation,high_flow,level_and_slopes,1,28,131.0673320435591,-28.243090359585853,178.5588102583858,312.3488830109918,434.59259379215564,516.4502981817825
validation,high_flow,level_and_slopes,2,28,153.2352142050733,-38.72808980865301,186.34060331322672,278.4383630291724,429.9524678259105,519.7831529429113
validation,high_flow,level_and_slopes,3,28,141.46751944114308,-43.57380762952854,178.33692017087682,305.13003322188473,395.461856583188,441.9853688472058
validation,high_flow,level_and_slopes,4,28,142.41853061664793,-34.665695638357995,185.6885580337703,342.8900578725404,422.55292532625543,442.2281262937486
validation,high_flow,level_and_slopes,5,28,176.75614951789285,-17.159960680431166,208.2996692811365,300.7125937602196,408.628100943494,459.5677192513049
validation,high_flow,level_and_slopes,6,28,243.20899970874365,-9.950033304002138,283.56468683782066,477.9772108437395,502.48065221332183,509.4907692196184
validation,high_flow,level_and_slopes,7,28,286.28266700247883,22.05393589993312,331.1241846083713,494.3693306932899,633.8990059543193,689.7628093266999
validation,high_flow,level_and_slopes,8,28,335.86833333285034,44.80954914537186,393.479170621215,565.0503062082297,749.0691377757457,757.9439289355157
validation,high_flow,level_and_slopes,9,28,399.6940346581115,105.45039687545913,476.14133841763623,735.4086261506633,844.7204034000185,924.3052052452222
validation,high_flow,level_and_slopes,10,28,492.46269813670705,161.9421010993392,572.8801109670212,838.9417808682325,993.450541459623,996.705565773487
validation,high_flow,level_and_slopes,11,28,601.7718723271954,228.28355614517986,681.2079265164236,1057.8548346283965,1083.9547461505003,1100.0738539926647
validation,high_flow,without_monte,0,28,102.62535789302355,-18.405942773156646,162.1506719996092,279.6512192288905,452.41924149605956,545.5504431182251
validation,high_flow,without_monte,1,28,152.1659683262847,-21.717103638688886,190.02979856318666,303.67840747965533,419.241465115965,472.0261295097225
validation,high_flow,without_monte,2,28,182.58491227524232,-32.781979936791224,218.71633581119852,320.9229483057507,454.054776479633,566.2304934105557
validation,high_flow,without_monte,3,28,192.51566642698816,-44.398046116410896,232.65502081835464,338.77282314048773,491.1899693228926,603.8852272614743
validation,high_flow,without_monte,4,28,198.0676320118568,-49.07567363247881,237.68850942980706,411.3856370142796,474.13767377269784,482.5456979733581
