id_subsistema,nom_subsistema,tip_reservatorio,nom_bacia,id_reservatorio,nom_reservatorio,cod_usina,din_instante,val_nivelmontante,val_niveljusante,val_volumeutil,val_vazaoafluente,val_vazaodefluente,val_vazaoturbinada,val_vazaovertida,val_vazaooutrasestruturas,val_vazaotransferida,val_vazaovertidanaoturbinavel,hour_end_local_interpreted,hour_start_local_interpreted,timestamp_interpretation,hour_end_utc_assuming_brasilia,timezone_status,quality_status,source_month,balance_residual_m3s
S,Sul,Fio dagua,JACUI,JIUHQJ,14 DE JULHO,99.0,2024-05-15 11:00:00,93.76,75.6,,0.0,33.0,0.0,33.0,18.0,0.0,1.0,2024-05-15 11:00:00,2024-05-15 10:00:00,SOURCE_WHOLE_HOUR,2024-05-15 14:00:00+00:00,ONS_NORM_BRASILIA_EXPORT_AND_PERIOD_LINK_UNVERIFIED,AGENT_REPORTED_NOT_VALIDATED_BY_ONS,2024-05,-18.0
S,Sul,Fio dagua,JACUI,JIUHQJ,14 DE JULHO,99.0,2024-05-15 12:00:00,93.63,74.45,,0.0,33.0,0.0,33.0,18.0,0.0,1.0,2024-05-15 12:00:00,2024-05-15 11:00:00,SOURCE_WHOLE_HOUR,2024-05-15 15:00:00+00:00,ONS_NORM_BRASILIA_EXPORT_AND_PERIOD_LINK_UNVERIFIED,AGENT_REPORTED_NOT_VALIDATED_BY_ONS,2024-05,-18.0
S,Sul,Fio dagua,JACUI,JIUHQJ,14 DE JULHO,99.0,2024-05-15 13:00:00,93.53,74.22,,0.0,33.0,0.0,33.0,18.0,0.0,1.0,2024-05-15 13:00:00,2024-05-15 12:00:00,SOURCE_WHOLE_HOUR,2024-05-15 16:00:00+00:00,ONS_NORM_BRASILIA_EXPORT_AND_PERIOD_LINK_UNVERIFIED,AGENT_REPORTED_NOT_VALIDATED_BY_ONS,2024-05,-18.0
S,Sul,Fio dagua,JACUI,JIUHQJ,14 DE JULHO,99.0,2024-05-15 14:00:00,93.36,74.05,,0.0,33.0,0.0,33.0,18.0,0.0,1.0,2024-05-15 14:00:00,2024-05-15 13:00:00,SOURCE_WHOLE_HOUR,2024-05-15 17:00:00+00:00,ONS_NORM_BRASILIA_EXPORT_AND_PERIOD_LINK_UNVERIFIED,AGENT_REPORTED_NOT_VALIDATED_BY_ONS,2024-05,-18.0
S,Sul,Fio dagua,JACUI,JIUHQJ,14 DE JULHO,99.0,2024-05-15 15:00:00,93.1,74.1,,0.0,33.0,0.0,33.0,18.0,0.0,1.0,2024-05-15 15:00:00,2024-05-15 14:00:00,SOURCE_WHOLE_HOUR,2024-05-15 18:00:00+00:00,ONS_NORM_BRASILIA_EXPORT_AND_PERIOD_LINK_UNVERIFIED,AGENT_REPORTED_NOT_VALIDATED_BY_ONS,2024-05,-18.0
S,Sul,Fio dagua,JACUI,JIUHQJ,14 DE JULHO,99.0,2024-05-15 16:00:00,92.86,74.96,,0.0,33.0,0.0,33.0,18.0,0.0,1.0,2024-05-15 16:00:00,2024-05-15 15:00:00,SOURCE_WHOLE_HOUR,2024-05-15 19:00:00+00:00,ONS_NORM_BRASILIA_EXPORT_AND_PERIOD_LINK_UNVERIFIED,AGENT_REPORTED_NOT_VALIDATED_BY_ONS,2024-05,-18.0
S,Sul,Fio dagua,JACUI,JIUHQJ,14 DE JULHO,99.0,2024-05-15 17:00:00,92.83,75.08,,0.0,33.0,0.0,33.0,18.0,0.0,1.0,2024-05-15 17:00:00,2024-05-15 16:00:00,SOURCE_WHOLE_HOUR,2024-05-15 20:00:00+00:00,ONS_NORM_BRASILIA_EXPORT_AND_PERIOD_LINK_UNVERIFIED,AGENT_REPORTED_NOT_VALIDATED_BY_ONS,2024-05,-18.0
S,Sul,Fio dagua,JACUI,JIUHQJ,14 DE JULHO,99.0,2024-05-15 18:00:00,92.76,75.23,,0.0,33.0,0.0,33.0,18.0,0.0,1.0,2024-05-15 18:00:00,2024-05-15 17:00:00,SOURCE_WHOLE_HOUR,2024-05-15 21:00:00+00:00,ONS_NORM_BRASILIA_EXPORT_AND_PERIOD_LINK_UNVERIFIED,AGENT_REPORTED_NOT_VALIDATED_BY_ONS,2024-05,-18.0
S,Sul,Fio dagua,JACUI,JIUHQJ,14 DE JULHO,99.0,2024-05-15 19:00:00,92.7,75.61,,0.0,33.0,0.0,33.0,18.0,0.0,1.0,2024-05-15 19:00:00,2024-05-15 18:00:00,SOURCE_WHOLE_HOUR,2024-05-15 22:00:00+00:00,ONS_NORM_BRASILIA_EXPORT_AND_PERIOD_LINK_UNVERIFIED,AGENT_REPORTED_NOT_VALIDATED_BY_ONS,2024-05,-18.0
S,Sul,Fio dagua,JACUI,JIUHQJ,14 DE JULHO,99.0,2024-05-15 20:00:00,92.66,75.78,,0.0,33.0,0.0,33.0,18.0,0.0,1.0,2024-05-15 20:00:00,2024-05-15 19:00:00,SOURCE_WHOLE_HOUR,2024-05-15 23:00:00+00:00,ONS_NORM_BRASILIA_EXPORT_AND_PERIOD_LINK_UNVERIFIED,AGENT_REPORTED_NOT_VALIDATED_BY_ONS,2024-05,-18.0
