phase,horizon_h,subset,population,family,scheduled_rows,observed_targets,n,failures,hits,hit_fraction,mae_m,bias_m,p98_abs_m,max_abs_m
validation,7,all,missing24,baseline,633,627,587,40,525,0.8943781942078365,0.20407636593290637,0.03434970638926427,0.9139797898241585,1.4580953700153123
validation,7,all,missing24,candidate,633,627,587,40,533,0.9080068143100511,0.19740977034639817,0.03598798452078906,1.0060299434189401,1.422718128304295
validation,7,level_ge_7m,full_schedule,baseline,6545,28,28,0,20,0.7142857142857143,0.3953972559100615,0.09983945604270354,1.373211198900095,1.6960711631279022
validation,7,level_ge_7m,full_schedule,candidate,6545,28,28,0,20,0.7142857142857143,0.40463077511875406,0.13417173672350155,1.3686009023562462,1.4842740610862384
validation,7,level_ge_7m,complete24,baseline,5912,28,28,0,20,0.7142857142857143,0.3953972559100615,0.09983945604270354,1.373211198900095,1.6960711631279022
validation,7,level_ge_7m,complete24,candidate,5912,28,28,0,20,0.7142857142857143,0.40463077511875406,0.13417173672350155,1.3686009023562462,1.4842740610862384
validation,7,level_ge_7m,missing24,baseline,633,0,0,0,0,,,,,
validation,7,level_ge_7m,missing24,candidate,633,0,0,0,0,,,,,
validation,8,all,full_schedule,baseline,6544,6510,6470,40,6062,0.9369397217928903,0.16998695040538014,0.05006277886999202,0.7535804815350942,1.7889547313198573
validation,8,all,full_schedule,candidate,6544,6510,6470,40,6154,0.9511591962905719,0.15686866730934565,0.02660160648142088,0.7069481585093427,1.7499382728736288
validation,8,all,complete24,baseline,5912,5882,5882,0,5568,0.9466167970078204,0.16192299969508647,0.04988259185564108,0.7143010151267588,1.488258973003862
validation,8,all,complete24,candidate,5912,5882,5882,0,5655,0.9614076844610676,0.14794875744304747,0.025551557863882315,0.6314369147979433,1.5767771926737888
validation,8,all,missing24,baseline,632,628,588,40,494,0.8401360544217688,0.25065388591209375,0.05186526189450253,1.0011184582139203,1.7889547313198573
validation,8,all,missing24,candidate,632,628,588,40,499,0.8486394557823129,0.2460981058018046,0.037105664250743735,1.075229757217233,1.7499382728736288
validation,8,level_ge_7m,full_schedule,baseline,6544,28,28,0,18,0.6428571428571429,0.43892853283349076,0.17183293289792342,1.1554975599060797,1.4489054695110797
validation,8,level_ge_7m,full_schedule,candidate,6544,28,28,0,18,0.6428571428571429,0.45448521100375594,0.1739346737925191,1.3325782132433988,1.5205709276207173
validation,8,level_ge_7m,complete24,baseline,5912,28,28,0,18,0.6428571428571429,0.43892853283349076,0.17183293289792342,1.1554975599060797,1.4489054695110797
validation,8,level_ge_7m,complete24,candidate,5912,28,28,0,18,0.6428571428571429,0.45448521100375594,0.1739346737925191,1.3325782132433988,1.5205709276207173
validation,8,level_ge_7m,missing24,baseline,632,0,0,0,0,,,,,
validation,8,level_ge_7m,missing24,candidate,632,0,0,0,0,,,,,
validation,9,all,full_schedule,baseline,6543,6509,6470,39,5889,0.9102009273570325,0.21135382553485227,0.058742619372750104,0.8660301163419324,2.1724913938387345
validation,9,all,full_schedule,candidate,6543,6509,6470,39,5998,0.9270479134466769,0.19017663894487774,0.030240811791758575,0.8055747519570986,2.34656618343825
validation,9,all,complete24,baseline,5912,5883,5883,0,5411,0.9197688254292028,0.20290730086284994,0.05978100467842777,0.8342134753957096,2.1724913938387345
validation,9,all,complete24,candidate,5912,5883,5883,0,5508,0.9362570117287098,0.18169539050487452,0.02955419320242076,0.7442123934916828,2.34656618343825
validation,9,all,missing24,baseline,631,626,587,39,478,0.8143100511073254,0.29600613327827613,0.04833576970784099,1.027654971924942,1.6500694127205995
validation,9,all,missing24,candidate,631,626,587,39,490,0.8347529812606473,0.27517695337850495,0.03712220388898916,1.0711115682236105,1.7212544504019889
validation,9,level_ge_7m,full_schedule,baseline,6543,28,28,0,19,0.6785714285714286,0.40711968333320037,0.13400046590068074,0.9737523953604401,1.0328425307899227
validation,9,level_ge_7m,full_schedule,candidate,6543,28,28,0,21,0.75,0.4041341990348514,0.2302822372921682,0.9611121664624241,1.0088673467355296
validation,9,level_ge_7m,complete24,baseline,5912,28,28,0,19,0.6785714285714286,0.40711968333320037,0.13400046590068074,0.9737523953604401,1.0328425307899227
validation,9,level_ge_7m,complete24,candidate,5912,28,28,0,21,0.75,0.4041341990348514,0.2302822372921682,0.9611121664624241,1.0088673467355296
validation,9,level_ge_7m,missing24,baseline,631,0,0,0,0,,,,,
validation,9,level_ge_7m,missing24,candidate,631,0,0,0,0,,,,,
validation,10,all,full_schedule,baseline,6542,6508,6468,40,5600,0.8658008658008658,0.2616219074599482,0.0685214595245035,0.9947151804582922,2.5114634712742756
