forecast_record,valid_at,feature,value,train_min,train_max,kind
a902a27977447df91473e8635f7fbd08691551605395f344255d363ee2bff369,2026-09-21T21:00:00-03:00,Prata-Turvo:P6,54.2565031982942,0.0,51.3207000710732,observed
a902a27977447df91473e8635f7fbd08691551605395f344255d363ee2bff369,2026-09-21T21:00:00-03:00,Prata-Turvo:P3lag3,35.08443496801711,0.0,33.68379530916843,observed
a902a27977447df91473e8635f7fbd08691551605395f344255d363ee2bff369,2026-09-21T21:00:00-03:00,Tainhas:P3,42.67540983606524,0.0,34.632240437158686,observed
a902a27977447df91473e8635f7fbd08691551605395f344255d363ee2bff369,2026-09-21T21:00:00-03:00,Tainhas:P6,80.21475409836002,0.0,39.71147540983633,observed
a902a27977447df91473e8635f7fbd08691551605395f344255d363ee2bff369,2026-09-21T21:00:00-03:00,Tainhas:P12,149.0792349726768,0.0,59.29125683060113,observed
a902a27977447df91473e8635f7fbd08691551605395f344255d363ee2bff369,2026-09-21T21:00:00-03:00,Tainhas:P24,149.0792349726768,0.0,79.82950819672158,observed
a902a27977447df91473e8635f7fbd08691551605395f344255d363ee2bff369,2026-09-21T21:00:00-03:00,Tainhas:P48,173.75027322404173,0.0,94.77868852458809,observed
a902a27977447df91473e8635f7fbd08691551605395f344255d363ee2bff369,2026-09-21T21:00:00-03:00,Tainhas:P3lag3,37.539344262294776,0.0,34.632240437158686,observed
a902a27977447df91473e8635f7fbd08691551605395f344255d363ee2bff369,2026-09-21T21:00:00-03:00,Tainhas:P3lag6,68.64153005464465,0.0,34.632240437158686,observed
a902a27977447df91473e8635f7fbd08691551605395f344255d363ee2bff369,2026-09-21T22:00:00-03:00,86510000:dH0.5,1.9000000000000021,-0.41999999999999993,1.1000000000000014,observed
a902a27977447df91473e8635f7fbd08691551605395f344255d363ee2bff369,2026-09-21T22:00:00-03:00,86510000:dH1,1.950000000000001,-0.39000000000000057,1.0300000000000002,observed
a902a27977447df91473e8635f7fbd08691551605395f344255d363ee2bff369,2026-09-21T22:00:00-03:00,86510000:dH2,1.7650000000000006,-0.38000000000000034,1.0150000000000001,observed
a902a27977447df91473e8635f7fbd08691551605395f344255d363ee2bff369,2026-09-21T22:00:00-03:00,86510000:dH4,1.1400000000000001,-0.3250000000000002,0.9099999999999999,observed
