phase,profile,horizon_h,population,subset,compared_family,matching_control,observed_targets,pairs,failures,baseline_hits,compared_hits,hits_delta,baseline_mae_m,compared_mae_m,mae_m_delta,baseline_bias_m,compared_bias_m,bias_m_delta,baseline_p98_abs_m,compared_p98_abs_m,p98_abs_m_delta,baseline_max_abs_m,compared_max_abs_m,max_abs_m_delta
test,A,2,complete24,level_ge_7m,mixed_profile_candidate,profile_A_control,143,143,0,142,142,0,0.09258772384609314,0.08185628634492033,-0.010731437501172808,0.00046605102477010745,-0.0026010805416226013,-0.0030671315663927086,0.40353061655940614,0.3904999810928229,-0.013030635466583229,0.5105362240356985,0.5127623059546487,0.002226081918950129
test,A,2,complete24,level_ge_7m,profile_B_control,profile_A_control,143,143,0,142,142,0,0.09258772384609314,0.09340529719708594,0.0008175733509928063,0.00046605102477010745,0.0018082555762108032,0.0013422045514406957,0.40353061655940614,0.4370129997258335,0.033482383166427376,0.5105362240356985,0.5901278640543755,0.07959164001867691
test,A,2,missing24,all,mixed_profile_candidate,profile_A_control,595,588,7,571,569,-2,0.09175555328130948,0.10094189433144085,0.009186341050131372,0.0009685546115011541,0.008331822640901286,0.007363268029400132,0.5988592895886679,0.5849392272179951,-0.013920062370672781,2.430986906354253,2.35798379080882,-0.0730031155454327
test,A,2,missing24,all,profile_B_control,profile_A_control,595,588,7,571,551,-20,0.09175555328130948,0.1333967037510656,0.041641150469756125,0.0009685546115011541,0.010054634163160905,0.009086079551659751,0.5988592895886679,0.9528656726090782,0.3540063830204103,2.430986906354253,2.3364175247165386,-0.09456938163771422
test,A,2,missing24,level_ge_7m,mixed_profile_candidate,profile_A_control,94,93,1,83,83,0,0.2180535194506631,0.21336984235694337,-0.004683677093719724,-0.039319656213811505,-0.037857975798076655,0.0014616804157348492,1.8158908988349143,1.6788703707329549,-0.13702052810195942,2.430986906354253,2.35798379080882,-0.0730031155454327
test,A,2,missing24,level_ge_7m,profile_B_control,profile_A_control,94,93,1,83,84,1,0.2180535194506631,0.20108135711260836,-0.016972162338054736,-0.039319656213811505,-0.055474453537675494,-0.01615479732386399,1.8158908988349143,1.669041187228837,-0.14684971160607718,2.430986906354253,2.3364175247165386,-0.09456938163771422
test,A,3,full_schedule,all,mixed_profile_candidate,profile_A_control,1942,1933,9,1896,1869,-27,0.08858410963828463,0.11088536147545171,0.02230125183716708,-0.006493224276664247,0.004151087743485489,0.010644312020149736,0.4833709219661626,0.6587297068125985,0.17535878484643586,3.8502978392165037,3.5417724438313964,-0.30852539538510726
test,A,3,full_schedule,all,profile_B_control,profile_A_control,1942,1933,9,1896,1851,-45,0.08858410963828463,0.1347115076083067,0.04612739797002206,-0.006493224276664247,0.0013764610817187943,0.007869685358383042,0.4833709219661626,0.7157064412809331,0.23233551931477048,3.8502978392165037,3.591469992707828,-0.25882784650867574
test,A,3,full_schedule,level_ge_7m,mixed_profile_candidate,profile_A_control,237,236,1,210,211,1,0.2532196871530062,0.23103349561199366,-0.022186191541012534,-0.059558642560117205,-0.04770049302095064,0.011858149539166564,1.6407855388564219,1.4343554446068412,-0.2064300942495807,3.8502978392165037,3.5417724438313964,-0.30852539538510726
test,A,3,full_schedule,level_ge_7m,profile_B_control,profile_A_control,237,236,1,210,211,1,0.2532196871530062,0.22939160313662513,-0.023828084016381063,-0.059558642560117205,-0.049539724936621565,0.01001891762349564,1.6407855388564219,1.4559494306676029,-0.18483610818881901,3.8502978392165037,3.591469992707828,-0.25882784650867574
