phase,family,horizon_h,original_n,added_n,n,weight_sum,weight1,weight3,weight5,features_sha256,deltas_sha256,weights_sha256,ordered_origins_sha256,initial_prediction,latest_training_target,cutoff_exclusive
validation,original,6,4354,0,4354,5334,3947,324,83,2c42af1a5ac9a3b6d9de9458927096c12b1d668bc965998665b880d9167346e7,2de7542bee404ac48b174fbabf23e108f0d30a9856bd79aac3f54317bc324af9,d777a676f8e0f1bbfb9e41233aeca2e0e8fcdde2dd9bca7b541144b2e32fcd96,a6809e7dd7400bad9fe1d36ac320b90e8cd989da2f959b15a508361122a83f16,-0.03000000000000025,2025-09-30T23:00:00-03:00,2025-10-01T00:00:00-03:00
validation,plus2020,6,4354,437,4791,6149,4263,377,151,79f87529473ddf98000779383fa33cc74f1b5229254d7226c27744debf77c5ff,4b68e2219a3b9cf74dd5bbb235d94b36270151d2449e0668e80ae6f584db3ce5,aa94e74b472757c5826813d0d0e513b20cd0f8ad393902dada1deb793f8b4d1c,29fdd0a20ff3a1489ad39da14ddeac0f5f83f5721ce1ced69a9811c6671351c8,-0.050000000000000266,2025-09-30T23:00:00-03:00,2025-10-01T00:00:00-03:00
test,original,6,10826,0,10826,12558,10043,700,83,c4696c2722d790314835a853abda2c2d59a362efb6d40409d7606ce14f195022,f36133eea2cd0909b73e10ba941fb31e6715bbab8fd66886d00ed63f6eddd86c,716565973ce6a1eecff139bfac59caab286610a48c6e3f236730cf6a0ae5de67,cd5aabd087fc2baa4dce52504ab548a64335d04df70bcbf2c105d804bccfebe0,-0.040000000000000036,2026-06-30T23:00:00-03:00,2026-07-01T00:00:00-03:00
test,plus2020,6,10826,437,11263,13373,10359,753,151,af87baa31a5568b02ef8676ff3fe8b436c299889da20abd87f53819ebbdffd83,ae71b4887f2fb7e37aae5136c61a917a5dcd19b2ec7d13dad156739c4ff05e0d,4626bc551fce592535cabe93f2ddd21a40dd3254354d76078028ec3ecd0af035,708ff4ad21a86bff4086bfd944d5d21c30090ac2711550b50fad6f959067d0e4,-0.040000000000000036,2026-06-30T23:00:00-03:00,2026-07-01T00:00:00-03:00
validation,original,7,4353,0,4353,5481,3876,390,87,8604f0eaeb44a765cf661b34ca0cde5e94d4099028285870b9621af08095913b,4be7792f42d587f2feae98bc7edf8dc58fb0f9776e3baf898b26a8c47e11df05,876abb4e29d57249abf67766031958c8d77d9d39329f8d403e87b37262d439a5,b82faa11cb9acb81c12159cb76c7348f3f55a77b7b94b694ca8b801961ed8a67,0.12814814814814812,2025-09-30T23:00:00-03:00,2025-10-01T00:00:00-03:00
validation,plus2020,7,4353,435,4788,6332,4172,460,156,7a9f01a800e6c86e1c416c77f8af72a3ecf7cbfdc372568ca3b412fd672d4f40,0cd96e7795091ea9005987e6d9dfadecd53bbe7bdc63ba9cffa9b4b17a6375fa,bafa77717556325322129a7cfa43dd64fc697268af8e4f6ffd7f8ed26b2d6d01,1e07751a958ddd52418993023c631373b25f7f0ce3763ea56025e3f6b28cfb7b,0.1304200884396715,2025-09-30T23:00:00-03:00,2025-10-01T00:00:00-03:00
test,original,7,10824,0,10824,12870,9888,849,87,2ce8b82e1ccfe3ddaa734c2c7d00fe351ddebe19935e736ecb75f52c63fc616e,04850e465e8c84dc44ba1be79d70da1613f3c10c32b643523ff3796f74f7d0ee,ef266fe370fa0d0129dcc2f41621dc1b0efe0c30646055c7544c733f1c7668d6,2746428b998a52f712997c3ab87a997303c5a1343bf85f6900dbd1c027b9511c,0.0901474358974359,2026-06-30T23:00:00-03:00,2026-07-01T00:00:00-03:00
test,plus2020,7,10824,435,11259,13721,10184,919,156,c37e8165e1053a9f4da6f673fff47ff8963749e9653e8a2155a5e891bc7e5a50,1d0be8bae00fea90c68a3b929c44bec5824f799156248771febfbf9dff06ad2e,09a11b27209b8801c3f84d7f49bd220d7492db40fe1a9f39f1f1a139a3c5ded3,9c08ff6b61809a7f95a22309370d65d6e09938873ef3091b45d226e94350420b,0.09355276583339406,2026-06-30T23:00:00-03:00,2026-07-01T00:00:00-03:00
validation,original,8,4352,0,4352,5612,3814,446,92,8776fc7b42befad91e96a7200b42729c1d9c60b4d79b7ea900da3900fdedcb99,fec451ffd7edbbd8e80f207fc3cb766bfea0aa3ecad0dc6c27b3012ecc662c4c,3041cf84277e7d7277826883acbf8be68d41fbd4403f6638c5f2ba4163b0426c,da69371cebd45815c65b8a245ab810635692bdc054122dec10656c3458c73849,0.1272024233784747,2025-09-30T23:00:00-03:00,2025-10-01T00:00:00-03:00
validation,plus2020,8,4352,433,4785,6489,4094,530,161,0b95b1e1f535acf1b973d3a2617589f8ec193988c2f55983f85856f96da5a1fa,98aa17c82b82732fba3d397c28cdfdf3fca48da807cb7e1ff8decf36765fdd92,ffcc459563b38aca7bbaa880eb9bcdf2f5373b9999b38e5245e7e2ffacb19299,57c61cd51bf5de59fd5312c80900bbe0fb60a5ee4add3831063149e092bc6d20,0.1282740021574973,2025-09-30T23:00:00-03:00,2025-10-01T00:00:00-03:00
test,original,8,10822,0,10822,13128,9761,969,92,3d5ceb419cc04d3ea6f1a9c7fd0e32b498b6a5b728927bcf104925597e07b59a,45662985e16eb469b8cc868ac5d1daabceaf8270aa219e22352ef1f234070008,817b28fdfd2ef8aefd479464e129938ee8c527ae34af437ae518debdd8944361,7d1dbed7af3a3522c12f1237c51249bc8086a9ac5c7d32f62907a29c379844a0,0.08800559872029251,2026-06-30T23:00:00-03:00,2026-07-01T00:00:00-03:00
test,plus2020,8,10822,433,11255,14005,10041,1053,161,980948ae170311dd0ae3eda776649d276ea937ce2563bfc97f78f0aa71e58085,b9d58efd94e15a2dba11cfd709a9ce92b6f37f520c4916e126a5ac74898357b5,4a39acd6e40b3ac8bc1f56d9b7afafc492ba878be49ef2f599dd3639e0ff70e8,0ec95faf92fb632adba8bdfe8326c61f581aa950a04d29f30eabdf955c663ef0,0.09095662263477329,2026-06-30T23:00:00-03:00,2026-07-01T00:00:00-03:00
validation,original,9,4351,0,4351,5731,3757,498,96,54646d3a6b037158e9f7dc1d7970a86a99b505e8101221ca3601a9865a5a0e2f,38f1bd8423b28e63d6f081675b090406d0f2a67afcbd2a3f7c269f3fcf95587c,ffce40b0eeea75720e78ed3334ebc7bb451a074475d941d74a9ac707f894d37c,66810a40301cac2825203fc5b8aa2ea7e874a44705e6e95c1afc5f92f0dd39d4,0.12853777700226834,2025-09-30T23:00:00-03:00,2025-10-01T00:00:00-03:00
validation,plus2020,9,4351,431,4782,6640,4018,599,165,dbaead91f03ce8957e670592bc9e36f7ff8bd60eaf313317ebf65c9c6a90e2d4,b7ee591c9afebb495a7dc7024a14c41fc854bb12fa98e12ee95fd926b5488299,f6d1e7d61e9e867d37e44325119308f1ed1b8dae9bdf4e408ca6ae7b4f456420,06fdcc2844c319a93ddfe039d9af323444736d93bfa4e029134fcbe6a639414e,0.1250843373493976,2025-09-30T23:00:00-03:00,2025-10-01T00:00:00-03:00
test,original,9,10821,0,10821,13363,9646,1079,96,ebd51d0b5ed505c970e67666a33ab817a9108ab13591aef74dbb41f96233526c,07b0f48fa451841fc0f0145ca7701352a8d5e3b24cea380431a9f92e8a8edbde,0e4c058cefc8d06b5dc51d3443c48ae7f835dbd9f18721a9e14200ade41ace77,b1b21533957a08ad1517521f0aed4adbb43f979b12554d5fee3f5dbd1f6dfb42,0.08425783880865073,2026-06-30T23:00:00-03:00,2026-07-01T00:00:00-03:00
test,plus2020,9,10821,431,11252,14272,9907,1180,165,4fd1f17a9cf8e5eda9b5e21179465951c8835193c2e013683bd2f7d3e672f65f,c026cbbea615bb45a3c2c1bbbbc899ae48a3c54fd6d40219023b2f3a3e5a69bb,ac4d5534315bcb09ee804fda84cc1f03cbee4f1dd7e724dfb3135973d0784d2a,37f9e1d2d8c8b1569d1ea1aa886b269150a243df0142406925f1bfcce756d7fc,0.08547137752242151,2026-06-30T23:00:00-03:00,2026-07-01T00:00:00-03:00
validation,original,10,4350,0,4350,5836,3707,543,100,a2de8f00292cae71c2e250d4d0c0e5fba21596d43fd81a515995312cf282fb25,f709f8cc6e2119c3900ce11e02a43510e5d751f8e3c1e841358a3a7e49eb65b0,b993f294e51b03a23c25c3237e66476e67f34db5bc83e09162be7d66e0484abc,79a70b44df998385e09573da5d25a7284761dab8c87fa253ffa2cd06b22bff95,0.12624914324880054,2025-09-30T23:00:00-03:00,2025-10-01T00:00:00-03:00
validation,plus2020,10,4350,429,4779,6765,3954,657,168,a632489b2fd0746c94c739d05b2852f84b7e37a12edd725202c7c063c1d789dd,52ca03878dcd7b7b937b0e4edee3d9c99183716ec052b329300e2af642965cb9,461a3ffbcbb60d091a1ccce0de0a7c1e45de7790b48c11495eda85845b9c0bd8,1e411724167ce6af91a5756f750645445dc65f76ab7f5cc0974578bd1646b909,0.11845232815964522,2025-09-30T23:00:00-03:00,2025-10-01T00:00:00-03:00
