dataset,period,horizon_h,population,subset,family,scheduled_rows,missing_truth,observed_targets,pairs,failures,hits,paired_hit_fraction,observed_target_hit_fraction,mae_m,bias_m,p98_abs_m,max_abs_m
original,validation,4,complete24,all,normalized_plus2020,5912,32,5880,5880,0,5850,0.9948979591836735,0.9948979591836735,0.06012916987896258,0.00484072012105308,0.2842156098351102,1.5809491707457948
original,validation,4,complete24,level_ge_7m,raw_original,5912,32,28,28,0,26,0.9285714285714286,0.9285714285714286,0.16646123882897323,0.001845246880732779,0.532564298850716,0.560207741268413
original,validation,4,complete24,level_ge_7m,raw_plus2020,5912,32,28,28,0,23,0.8214285714285714,0.8214285714285714,0.2921228861579999,0.1828676187884579,0.6708210096405526,0.7093898649565311
original,validation,4,complete24,level_ge_7m,normalized_original,5912,32,28,28,0,26,0.9285714285714286,0.9285714285714286,0.16618220345897536,0.01827153500635673,0.5354375461168059,0.5385516740909324
original,validation,4,complete24,level_ge_7m,normalized_plus2020,5912,32,28,28,0,25,0.8928571428571429,0.8928571428571429,0.25929759495195964,0.14359885934496192,0.6240748519122304,0.6594312584086452
original,validation,4,missing24,all,raw_original,636,2,634,594,40,572,0.9629629629629629,0.9022082018927445,0.15070716580384713,0.08740806206906392,0.5385478587692857,0.7748820108780885
original,validation,4,missing24,all,raw_plus2020,636,2,634,594,40,552,0.9292929292929293,0.8706624605678234,0.1567135990590616,-0.056236496994871384,1.0036638627144159,1.7827902731617415
original,validation,4,missing24,all,normalized_original,636,2,634,594,40,573,0.9646464646464646,0.9037854889589906,0.15146769033081098,0.08807326146338959,0.544796721496038,0.7324959047751571
original,validation,4,missing24,all,normalized_plus2020,636,2,634,594,40,555,0.9343434343434344,0.8753943217665615,0.15406223896937496,-0.04987136712876163,1.0055051553164855,1.700231612007255
original,validation,4,missing24,level_ge_7m,raw_original,636,2,0,0,0,0,,,,,,
original,validation,4,missing24,level_ge_7m,raw_plus2020,636,2,0,0,0,0,,,,,,
original,validation,4,missing24,level_ge_7m,normalized_original,636,2,0,0,0,0,,,,,,
original,validation,4,missing24,level_ge_7m,normalized_plus2020,636,2,0,0,0,0,,,,,,
original,validation,5,full_schedule,all,raw_original,6547,34,6513,6473,40,6382,0.9859416035841186,0.9798863810839858,0.07820434668385372,0.014678548804149129,0.4203568296547843,1.9219038154095536
original,validation,5,full_schedule,all,raw_plus2020,6547,34,6513,6473,40,6356,0.9819249188938668,0.975894365115922,0.08870217529689338,-0.0019505467255046917,0.4694981454824089,2.135641354700273
original,validation,5,full_schedule,all,normalized_original,6547,34,6513,6473,40,6382,0.9859416035841186,0.9798863810839858,0.07752281677272503,0.013184238123249325,0.4185237410829687,1.959106180173876
original,validation,5,full_schedule,all,normalized_plus2020,6547,34,6513,6473,40,6349,0.9808435037849529,0.9748195915860587,0.08884842593746428,0.0016736753179163741,0.4950835041220115,2.1155263286953767
original,validation,5,full_schedule,level_ge_7m,raw_original,6547,34,28,28,0,25,0.8928571428571429,0.8928571428571429,0.2291228510791504,0.009423592718073819,0.7287224414582616,0.7553061347974745
original,validation,5,full_schedule,level_ge_7m,raw_plus2020,6547,34,28,28,0,25,0.8928571428571429,0.8928571428571429,0.2355024601811717,0.11675886546164316,0.7730412775641098,0.8954256355647745
original,validation,5,full_schedule,level_ge_7m,normalized_original,6547,34,28,28,0,25,0.8928571428571429,0.8928571428571429,0.22278906449722471,0.02131096291073664,0.6937225000239702,0.7475557409284077
original,validation,5,full_schedule,level_ge_7m,normalized_plus2020,6547,34,28,28,0,24,0.8571428571428571,0.8571428571428571,0.29526451403200404,0.15335227536572008,0.6814175045179602,0.7302356207783385
