phase,profile,horizon_h,population,subset,reference,relation,observed_targets,pairs,failures,reference_hits,weighted_hits,hits_delta,reference_mae_m,weighted_mae_m,mae_m_delta,reference_bias_m,weighted_bias_m,bias_m_delta,reference_p98_abs_m,weighted_p98_abs_m,p98_abs_m_delta,reference_max_abs_m,weighted_max_abs_m,max_abs_m_delta
validation,B,4,full_schedule,level_ge_7m,profile_A_control,cross_profile,28,28,0,22,23,1,0.3344261739277032,0.2673879015781298,-0.06703827234957338,0.030872241622005907,-0.043656464081330296,-0.0745287057033362,1.1641493993439225,1.0392374466030174,-0.12491195274090505,1.1860421389960791,1.1217074269289995,-0.06433471206707964
validation,B,4,full_schedule,level_ge_7m,profile_B_control,matching_profile,28,28,0,24,23,-1,0.2108473378682307,0.2673879015781298,0.0565405637098991,0.007205640478103602,-0.043656464081330296,-0.0508621045594339,0.8182306320823901,1.0392374466030174,0.22100681452062731,0.9459258404198012,1.1217074269289995,0.17578158650919828
validation,B,4,complete24,all,mixed_profile_candidate,primary_weight_9m,5907,5907,0,5874,5884,10,0.06510009618024741,0.0614375811072761,-0.0036625150729713077,-0.008393221667648752,-0.006655471403261833,0.0017377502643869183,0.32626354119685025,0.2987116544222641,-0.027551886774586143,1.4569632485693784,1.3784343723366295,-0.07852887623274896
validation,B,4,complete24,all,profile_A_control,cross_profile,5907,5907,0,5831,5884,53,0.07675596720274945,0.0614375811072761,-0.015318386095473348,-0.00631007462150385,-0.006655471403261833,-0.0003453967817579834,0.4274589339057991,0.2987116544222641,-0.12874727948353498,1.5574574463242872,1.3784343723366295,-0.1790230739876577
validation,B,4,complete24,all,profile_B_control,matching_profile,5907,5907,0,5886,5884,-2,0.061921528256770386,0.0614375811072761,-0.00048394714949428347,-0.004915241477722001,-0.006655471403261833,-0.0017402299255398325,0.30150045615475424,0.2987116544222641,-0.0027888017324901315,1.3381390558773205,1.3784343723366295,0.04029531645930895
validation,B,4,complete24,level_ge_7m,mixed_profile_candidate,primary_weight_9m,28,28,0,23,23,0,0.2855828888341062,0.2673879015781298,-0.018194987255976403,-0.10408582531324782,-0.043656464081330296,0.06042936123191753,1.0242413075700136,1.0392374466030174,0.014996139033003786,1.0752953783696508,1.1217074269289995,0.04641204855934866
validation,B,4,complete24,level_ge_7m,profile_A_control,cross_profile,28,28,0,22,23,1,0.3344261739277032,0.2673879015781298,-0.06703827234957338,0.030872241622005907,-0.043656464081330296,-0.0745287057033362,1.1641493993439225,1.0392374466030174,-0.12491195274090505,1.1860421389960791,1.1217074269289995,-0.06433471206707964
validation,B,4,complete24,level_ge_7m,profile_B_control,matching_profile,28,28,0,24,23,-1,0.2108473378682307,0.2673879015781298,0.0565405637098991,0.007205640478103602,-0.043656464081330296,-0.0508621045594339,0.8182306320823901,1.0392374466030174,0.22100681452062731,0.9459258404198012,1.1217074269289995,0.17578158650919828
validation,B,4,missing24,all,mixed_profile_candidate,primary_weight_9m,607,577,30,550,552,2,0.1267354781091012,0.11944866059330458,-0.007286817515796629,0.003353298842119939,0.004978546684933718,0.0016252478428137786,0.6259610620693511,0.6020441287441906,-0.02391693332516054,1.254090617011539,1.2603498481596702,0.006259231148131317
validation,B,4,missing24,all,profile_A_control,cross_profile,607,577,30,534,552,18,0.1545867912493352,0.11944866059330458,-0.03513813065603061,-0.008060135070522039,0.004978546684933718,0.013038681755455757,0.761698504970196,0.6020441287441906,-0.15965437622600542,1.4632005069685976,1.2603498481596702,-0.2028506588089274
validation,B,4,missing24,all,profile_B_control,matching_profile,607,577,30,554,552,-2,0.11786289067491669,0.11944866059330458,0.0015857699183878943,0.010710112016553962,0.004978546684933718,-0.005731565331620244,0.6789164807113123,0.6020441287441906,-0.07687235196712172,1.2437836581608406,1.2603498481596702,0.01656618999882964
validation,B,4,missing24,level_ge_7m,mixed_profile_candidate,primary_weight_9m,0,0,0,0,0,0,,,,,,,,,,,,
validation,B,4,missing24,level_ge_7m,profile_A_control,cross_profile,0,0,0,0,0,0,,,,,,,,,,,,
validation,B,4,missing24,level_ge_7m,profile_B_control,matching_profile,0,0,0,0,0,0,,,,,,,,,,,,
validation,B,5,full_schedule,all,mixed_profile_candidate,primary_weight_9m,6513,6483,30,6400,6388,-12,0.0825442124085056,0.0825509340492571,6.721640751508606e-06,-0.0030221529934439505,-0.0019146071732859353,0.0011075458201580152,0.40666195379519454,0.4332681686684405,0.026606214873245937,1.3662891017699481,1.3907844796354123,0.024495377865464185
