phase,profile,horizon_h,family,observed_level_band,scheduled_rows,unknown_truth,observed_targets,pairs,failures,hits,sum_abs_error_m,mae_m,bias_m,max_abs_m
test,A,8,profile_A_control,ge_9m,117,0,117,116,1,48,132.0248638971665,1.1381453784238493,-0.09074262713923756,5.604734107449106
test,A,8,profile_A_control,unknown,23,23,0,0,0,0,0.0,,,
test,A,8,profile_B_control,below_7m,1700,0,1700,1687,13,1489,438.69869485850955,0.26004664781180176,-0.03512262743118816,1.7897305830653734
test,A,8,profile_B_control,7_to_9m,120,0,120,120,0,76,51.86674958129585,0.4322229131774654,-0.19586749028351608,3.040919148164817
test,A,8,profile_B_control,ge_9m,117,0,117,116,1,47,133.7822133386818,1.153294942574843,-0.06333705699403464,5.57685876723016
test,A,8,profile_B_control,unknown,23,23,0,0,0,0,0.0,,,
test,A,8,mixed_profile_candidate,below_7m,1700,0,1700,1687,13,1485,427.32464994690713,0.2533044753686468,-0.026595100049641926,1.8458714129846245
test,A,8,mixed_profile_candidate,7_to_9m,120,0,120,120,0,77,50.63428174046226,0.4219523478371855,-0.16747382280898052,3.0679064044661386
test,A,8,mixed_profile_candidate,ge_9m,117,0,117,116,1,44,132.3077387624319,1.140583954848551,-0.062383303712552796,5.45787612304345
test,A,8,mixed_profile_candidate,unknown,23,23,0,0,0,0,0.0,,,
test,A,8,flood_weight_7m,below_7m,1700,0,1700,1687,13,1476,433.88194442580993,0.25719143119490806,-0.03508956997428224,1.5947495471778392
test,A,8,flood_weight_7m,7_to_9m,120,0,120,120,0,77,49.979055623014126,0.4164921301917844,-0.17988142842841465,3.054363841307053
test,A,8,flood_weight_7m,ge_9m,117,0,117,116,1,46,133.65737517244636,1.1522187514866067,-0.07038844323060832,5.531769274559029
test,A,8,flood_weight_7m,unknown,23,23,0,0,0,0,0.0,,,
test,A,9,profile_A_control,below_7m,1699,0,1699,1685,14,1398,508.11608306250565,0.30155257155044846,-0.01144070845106368,1.8608979489809503
test,A,9,profile_A_control,7_to_9m,120,0,120,120,0,71,60.51011857391584,0.5042509881159654,-0.23118386764543192,3.3590678660938256
test,A,9,profile_A_control,ge_9m,117,0,117,116,1,39,157.06727444042448,1.3540282279346938,-0.09517911478770516,6.290140102551524
test,A,9,profile_A_control,unknown,23,23,0,0,0,0,0.0,,,
test,A,9,profile_B_control,below_7m,1699,0,1699,1685,14,1368,533.491681666198,0.3166122739858742,-0.03024861101425605,2.15971342461277
test,A,9,profile_B_control,7_to_9m,120,0,120,120,0,77,62.31498037219934,0.5192915031016612,-0.22769254350041515,3.695411716260443
test,A,9,profile_B_control,ge_9m,117,0,117,116,1,41,157.86914078000618,1.3609408687931568,-0.09711623994384516,6.015938421308954
test,A,9,profile_B_control,unknown,23,23,0,0,0,0,0.0,,,
test,A,9,mixed_profile_candidate,below_7m,1699,0,1699,1685,14,1392,519.8396599264413,0.3085101839326061,-0.01489557629092221,1.8374603132646303
test,A,9,mixed_profile_candidate,7_to_9m,120,0,120,120,0,71,60.44573023926479,0.5037144186605399,-0.2286416860174426,3.5137646152419157
test,A,9,mixed_profile_candidate,ge_9m,117,0,117,116,1,42,160.37929226239677,1.382580105710317,-0.08183685115143902,6.118445629477499
test,A,9,mixed_profile_candidate,unknown,23,23,0,0,0,0,0.0,,,
test,A,9,flood_weight_7m,below_7m,1699,0,1699,1685,14,1384,522.485481200005,0.310080404273,-0.01685929019324179,1.9531613955400084
test,A,9,flood_weight_7m,7_to_9m,120,0,120,120,0,68,63.27796612099587,0.5273163843416323,-0.24406546343611563,3.341276083264133
test,A,9,flood_weight_7m,ge_9m,117,0,117,116,1,45,154.13121848824616,1.3287174007607427,-0.10763689135352895,5.90361908959524
test,A,9,flood_weight_7m,unknown,23,23,0,0,0,0,0.0,,,
test,A,10,profile_A_control,below_7m,1698,0,1698,1683,15,1340,565.3941056154882,0.33594421011021286,-0.020898741608653938,1.7906075427779884
test,A,10,profile_A_control,7_to_9m,120,0,120,120,0,59,67.67032782445165,0.563919398537097,-0.34303903060833574,3.159535682596772
test,A,10,profile_A_control,ge_9m,117,0,117,116,1,29,174.73514102960385,1.5063374226689987,-0.07767561497881766,6.511789742894907
test,A,10,profile_A_control,unknown,23,23,0,0,0,0,0.0,,,
test,A,10,profile_B_control,below_7m,1698,0,1698,1683,15,1312,590.353394229054,0.3507744469572513,-0.04879546205278384,2.0649041726300412
test,A,10,profile_B_control,7_to_9m,120,0,120,120,0,59,77.15142127522542,0.6429285106268785,-0.39783399587807194,3.051282777718561
test,A,10,profile_B_control,ge_9m,117,0,117,116,1,35,180.50070385845663,1.5560405505039365,-0.07982324370596387,6.1922946079013705
test,A,10,profile_B_control,unknown,23,23,0,0,0,0,0.0,,,
test,A,10,mixed_profile_candidate,below_7m,1698,0,1698,1683,15,1328,566.1038256767329,0.33636590949300826,-0.033562047204040664,1.8643515862776745
test,A,10,mixed_profile_candidate,7_to_9m,120,0,120,120,0,60,72.78445268951508,0.606537105745959,-0.3575921320730489,3.1022831637720643
test,A,10,mixed_profile_candidate,ge_9m,117,0,117,116,1,30,176.73934440504746,1.523615037974547,-0.06379935416937671,6.339306509605971
test,A,10,mixed_profile_candidate,unknown,23,23,0,0,0,0,0.0,,,
test,A,10,flood_weight_7m,below_7m,1698,0,1698,1683,15,1325,567.6068469452727,0.337258970258629,-0.03982582651101914,1.9333088769011768
test,A,10,flood_weight_7m,7_to_9m,120,0,120,120,0,59,72.9725544865804,0.6081046207215034,-0.3710435417634565,3.1952198667813896
test,A,10,flood_weight_7m,ge_9m,117,0,117,116,1,36,170.63726865604613,1.4710109366900528,-0.1218541383908308,6.311063796635404
test,A,10,flood_weight_7m,unknown,23,23,0,0,0,0,0.0,,,
test,A,11,profile_A_control,below_7m,1697,0,1697,1681,16,1248,615.5787821846545,0.36619796679634414,-0.040957506012022096,2.3689585444195975
test,A,11,profile_A_control,7_to_9m,120,0,120,120,0,61,76.54561291993667,0.6378801076661389,-0.3886611535468025,3.2439143077263113
test,A,11,profile_A_control,ge_9m,117,0,117,116,1,27,198.97315358375135,1.7152858067564771,-0.18999039813646348,7.1933341782238
test,A,11,profile_A_control,unknown,23,23,0,0,0,0,0.0,,,
test,A,11,profile_B_control,below_7m,1697,0,1697,1681,16,1242,624.6672455525716,0.3716045482168778,-0.05745062305722941,2.3415087435055155
test,A,11,profile_B_control,7_to_9m,120,0,120,120,0,54,83.40281896326542,0.6950234913605452,-0.41250623403683306,3.3794625467470016
test,A,11,profile_B_control,ge_9m,117,0,117,116,1,32,203.34126478382905,1.7529419377916298,-0.22934541247826634,6.669592937105812
test,A,11,profile_B_control,unknown,23,23,0,0,0,0,0.0,,,
test,A,11,mixed_profile_candidate,below_7m,1697,0,1697,1681,16,1266,612.879698037426,0.36459232482892684,-0.04904936616221217,2.3113230508315263
test,A,11,mixed_profile_candidate,7_to_9m,120,0,120,120,0,55,81.97760265856851,0.6831466888214043,-0.4098519230300447,3.262594849861096
test,A,11,mixed_profile_candidate,ge_9m,117,0,117,116,1,27,203.9934311849613,1.7585640619393217,-0.24361495025402777,7.15943769248484
test,A,11,mixed_profile_candidate,unknown,23,23,0,0,0,0,0.0,,,
test,A,11,flood_weight_7m,below_7m,1697,0,1697,1681,16,1250,619.6862694152637,0.368641445220264,-0.04386810714474388,2.3405386420370813
