phase,horizon_h,subset,population,family,scheduled_rows,observed_targets,n,failures,hits,hit_fraction,observed_target_hit_fraction,mae_m,bias_m,p98_abs_m,max_abs_m
validation,6,level_ge_7m,complete24,observed_control,5912,28,28,0,24,0.8571428571428571,0.8571428571428571,0.2587119452642057,-0.04575799295960744,0.894448299163738,1.0962896884715265
validation,6,level_ge_7m,complete24,augmented,5912,28,28,0,18,0.6428571428571429,0.6428571428571429,0.5312876350232505,0.48120607609669325,1.6375307625223328,2.106793462509512
validation,6,level_ge_7m,missing24,observed_control,634,0,0,0,0,,,,,,
validation,6,level_ge_7m,missing24,augmented,634,0,0,0,0,,,,,,
validation,7,all,full_schedule,observed_control,6545,6511,6471,40,6159,0.951784886416319,0.9459376439870988,0.13672023312714657,0.05841799343365365,0.6608837932413701,2.794810940153507
validation,7,all,full_schedule,augmented,6545,6511,6471,40,6107,0.9437490341523721,0.937951159576102,0.15574123352412514,0.06787071831808514,1.27396953646962,3.5232943603510334
validation,7,all,complete24,observed_control,5912,5884,5884,0,5660,0.9619306594153637,0.9619306594153637,0.12632267706871253,0.05400033590109299,0.5943925194522182,2.794810940153507
validation,7,all,complete24,augmented,5912,5884,5884,0,5596,0.9510537049626104,0.9510537049626104,0.14789465743872998,0.06964288265678567,1.293225754238331,3.5232943603510334
validation,7,all,missing24,observed_control,633,627,587,40,499,0.8500851788756388,0.79585326953748,0.24094377630913266,0.10269993026770294,1.0498734597155641,1.61686335511456
validation,7,all,missing24,augmented,633,627,587,40,511,0.8705281090289608,0.8149920255183413,0.2343941358860758,0.05010680866065099,1.131060925056304,1.9536333886730655
validation,7,level_ge_7m,full_schedule,observed_control,6545,28,28,0,18,0.6428571428571429,0.6428571428571429,0.4275016599210431,0.3297182360213466,1.6964790563889107,2.6556568259868305
validation,7,level_ge_7m,full_schedule,augmented,6545,28,28,0,13,0.4642857142857143,0.4642857142857143,0.6025350880058274,0.5028729582963215,2.3073552280408416,3.5232943603510334
validation,7,level_ge_7m,complete24,observed_control,5912,28,28,0,18,0.6428571428571429,0.6428571428571429,0.4275016599210431,0.3297182360213466,1.6964790563889107,2.6556568259868305
validation,7,level_ge_7m,complete24,augmented,5912,28,28,0,13,0.4642857142857143,0.4642857142857143,0.6025350880058274,0.5028729582963215,2.3073552280408416,3.5232943603510334
validation,7,level_ge_7m,missing24,observed_control,633,0,0,0,0,,,,,,
validation,7,level_ge_7m,missing24,augmented,633,0,0,0,0,,,,,,
validation,8,all,full_schedule,observed_control,6544,6510,6470,40,5980,0.9242658423493045,0.9185867895545314,0.1737857161039854,0.07021685907380332,0.8389279903809922,2.692538070308298
validation,8,all,full_schedule,augmented,6544,6510,6470,40,5955,0.9204018547140649,0.9147465437788018,0.19345983979646347,0.08911628072291528,1.3537032213074913,3.854638321845154
validation,8,all,complete24,observed_control,5912,5882,5882,0,5488,0.9330159809588575,0.9330159809588575,0.16373304279968726,0.06906971449483204,0.7926993911674007,2.692538070308298
validation,8,all,complete24,augmented,5912,5882,5882,0,5467,0.9294457667460048,0.9294457667460048,0.18471386939583495,0.0910289860113509,1.3546576357084623,3.854638321845154
