phase,horizon_h,original_n,added_n,n,features,original_targets_ge_7m,added_targets_ge_7m,original_response_min_m,original_response_max_m,added_response_min_m,added_response_max_m,combined_response_min_m,combined_response_max_m,earliest_added_origin,latest_added_target,latest_training_target,cutoff_exclusive,leaf_nodes,loss
validation,6,4354,493,4847,120,227,51,-1.7400000000000002,5.41,-0.8899999999999997,9.900000000000002,-1.7400000000000002,9.900000000000002,2023-09-01T00:00:00-03:00,2023-09-25T22:00:00-03:00,2025-09-30T23:00:00-03:00,2025-10-01T00:00:00-03:00,15,absolute_error
test,6,10826,493,11319,120,255,51,-1.7400000000000002,5.41,-0.8899999999999997,9.900000000000002,-1.7400000000000002,9.900000000000002,2023-09-01T00:00:00-03:00,2023-09-25T22:00:00-03:00,2026-06-30T23:00:00-03:00,2026-07-01T00:00:00-03:00,15,absolute_error
validation,7,4353,491,4844,120,227,50,-2.0,6.09,-0.9299999999999997,10.47,-2.0,10.47,2023-09-01T00:00:00-03:00,2023-09-25T22:00:00-03:00,2025-09-30T23:00:00-03:00,2025-10-01T00:00:00-03:00,15,squared_error
test,7,10824,491,11315,120,255,50,-2.0,6.09,-0.9299999999999997,10.47,-2.0,10.47,2023-09-01T00:00:00-03:00,2023-09-25T22:00:00-03:00,2026-06-30T23:00:00-03:00,2026-07-01T00:00:00-03:00,15,squared_error
validation,8,4352,489,4841,120,227,49,-2.26,6.73,-0.96,11.040000000000001,-2.26,11.040000000000001,2023-09-01T00:00:00-03:00,2023-09-25T22:00:00-03:00,2025-09-30T23:00:00-03:00,2025-10-01T00:00:00-03:00,15,squared_error
test,8,10822,489,11311,120,255,49,-2.26,6.73,-0.96,11.040000000000001,-2.26,11.040000000000001,2023-09-01T00:00:00-03:00,2023-09-25T22:00:00-03:00,2026-06-30T23:00:00-03:00,2026-07-01T00:00:00-03:00,15,squared_error
validation,9,4351,487,4838,120,227,48,-2.5299999999999994,7.119999999999999,-1.0,11.57,-2.5299999999999994,11.57,2023-09-01T00:00:00-03:00,2023-09-25T22:00:00-03:00,2025-09-30T23:00:00-03:00,2025-10-01T00:00:00-03:00,15,squared_error
test,9,10821,487,11308,120,255,48,-2.5299999999999994,7.119999999999999,-1.0,11.57,-2.5299999999999994,11.57,2023-09-01T00:00:00-03:00,2023-09-25T22:00:00-03:00,2026-06-30T23:00:00-03:00,2026-07-01T00:00:00-03:00,15,squared_error
validation,10,4350,485,4835,120,227,47,-2.789999999999999,7.469999999999999,-1.0499999999999998,12.030000000000001,-2.789999999999999,12.030000000000001,2023-09-01T00:00:00-03:00,2023-09-25T22:00:00-03:00,2025-09-30T23:00:00-03:00,2025-10-01T00:00:00-03:00,7,squared_error
test,10,10818,485,11303,120,255,47,-2.789999999999999,7.469999999999999,-1.0499999999999998,12.030000000000001,-2.789999999999999,12.030000000000001,2023-09-01T00:00:00-03:00,2023-09-25T22:00:00-03:00,2026-06-30T23:00:00-03:00,2026-07-01T00:00:00-03:00,7,squared_error
validation,11,4349,483,4832,120,227,46,-3.0199999999999996,7.789999999999999,-1.0699999999999994,12.350000000000001,-3.0199999999999996,12.350000000000001,2023-09-01T00:00:00-03:00,2023-09-25T22:00:00-03:00,2025-09-30T23:00:00-03:00,2025-10-01T00:00:00-03:00,7,squared_error
test,11,10817,483,11300,120,255,46,-3.0199999999999996,7.789999999999999,-1.0699999999999994,12.350000000000001,-3.0199999999999996,12.350000000000001,2023-09-01T00:00:00-03:00,2023-09-25T22:00:00-03:00,2026-06-30T23:00:00-03:00,2026-07-01T00:00:00-03:00,7,squared_error
validation,12,4348,481,4829,120,227,45,-3.26,8.09,-1.12,12.59,-3.26,12.59,2023-09-01T00:00:00-03:00,2023-09-25T22:00:00-03:00,2025-09-30T23:00:00-03:00,2025-10-01T00:00:00-03:00,7,squared_error
test,12,10814,481,11295,120,255,45,-3.26,8.09,-1.12,12.59,-3.26,12.59,2023-09-01T00:00:00-03:00,2023-09-25T22:00:00-03:00,2026-06-30T23:00:00-03:00,2026-07-01T00:00:00-03:00,7,squared_error
