source,lead_h,family,phase,subset,n,mae_m3_s,bias_m3_s,p90_absolute_m3_s
carreiro,9,tree_level,test,high_flow,233,183.8315003662784,-180.69520537371673,562.1071003322668
carreiro,10,ridge_reference,validation,all,6232,20.024160870183863,4.069864661772929,42.95027883869576
carreiro,10,ridge_reference,validation,high_flow,27,101.00810609002956,62.3979594492705,242.00634515304918
carreiro,10,ridge_reference,test,all,1671,44.48309935504033,-13.026489782968289,73.2068054805487
carreiro,10,ridge_reference,test,high_flow,233,122.57160375866985,-99.2756486850579,354.35588940632175
carreiro,10,tree_delta,validation,all,6232,14.398997122162285,-0.44794445917151904,29.850641448866934
carreiro,10,tree_delta,validation,high_flow,27,181.74879979641335,12.63206598029344,247.37664862565543
carreiro,10,tree_delta,test,all,1671,36.88810481347168,-20.619755676746784,63.50973951257296
carreiro,10,tree_delta,test,high_flow,233,139.3930949208455,-116.26790926669115,443.0795841742795
carreiro,10,tree_level,validation,all,6232,15.580306793915456,2.0642837710647512,29.133341099898043
carreiro,10,tree_level,validation,high_flow,27,224.36100528204705,147.8736419792091,367.29140745413525
carreiro,10,tree_level,test,all,1671,49.82850457425535,-28.52796843620298,94.4965842554154
carreiro,10,tree_level,test,high_flow,233,197.01024450264237,-195.46032950149106,550.472781931471
carreiro,11,ridge_reference,validation,all,6231,20.625921201285852,4.678484066721047,43.70191448178757
carreiro,11,ridge_reference,validation,high_flow,27,96.54465148060093,50.938068408638166,189.41488075150446
carreiro,11,ridge_reference,test,all,1669,46.33849641138404,-14.96018396360806,77.93599849920696
carreiro,11,ridge_reference,test,high_flow,233,132.58400425312436,-106.91491877199218,414.7489875729718
carreiro,11,tree_delta,validation,all,6231,14.07479092234904,-1.2251521028215517,28.928349394363575
carreiro,11,tree_delta,validation,high_flow,27,217.08593529911963,-21.497343969210128,305.7492185213389
carreiro,11,tree_delta,test,all,1669,39.58538577237456,-23.168639607195843,63.30011413369994
carreiro,11,tree_delta,test,high_flow,233,158.1140841625738,-128.16079995677393,490.1707121949681
carreiro,11,tree_level,validation,all,6231,16.361950651162598,2.862370878276601,30.43796964553264
carreiro,11,tree_level,validation,high_flow,27,230.09265747124772,86.4307088126503,355.23558678683463
carreiro,11,tree_level,test,all,1669,52.80075989530298,-31.055478952639444,104.7291077151276
carreiro,11,tree_level,test,high_flow,233,212.59884262405456,-211.1411612088414,570.4894784619486
