id_reservatorio,nom_reservatorio,cod_usina,rows
PNCPB2,C.BRANCO-2,28.0,720
PNISOL,I. SOLTEIRA,34.0,720
PNITAI,ITAIPU,66.0,720
PNJUPI,JUPIA,45.0,720
PNPPRI,PORTO PRIMAVERA,46.0,671
PNST,SALTO,262.0,720
PNSV,S.R.VERDINHO,241.0,607
PNUCB3,CORUMBA-3,203.0,718
PNUCB4,CORUMBA-4,29.0,720
PNUFRC,FOZ DO RIO CLARO,315.0,720
PNUHBC,B.COQUEIROS,312.0,720
PNUHES,ESPORA,290.0,720
PNUHSD,SAO DOMINGOS,153.0,720
PNUHSF,S.DO FACÃO,21.0,720
PNUSBL,BATALHA,20.0,720
PPCAPI,CAPIVARA,61.0,720
PPCHAV,CHAVANTES,49.0,720
PPCNO1,CANOAS I,52.0,720
PPCNO2,CANOAS II,51.0,720
PPJURU,JURUMIRIM,47.0,720
PPORI,OURINHOS,249.0,645
PPPJU,PIRAJU,48.0,643
PPROSA,ROSANA,63.0,720
PPSGCS,SALTO GRANDE CS,50.0,720
PPTAQU,TAQUARUÇU,62.0,720
PPUHMU,GOV JAYME CANET JR,57.0,720
PRCDOU,C. DOURADA,32.0,720
PREMBO,EMBORCAÇÃO,24.0,720
PRITUM,ITUMBIARA,31.0,720
PRNPON,NOVA PONTE,25.0,720
PRSSIM,SÃO SIMÃO,33.0,710
PUSOBR,SOBRAGI,127.0,660
PYPP,PONTE DE PEDRA,281.0,720
PYUIQ,ITIQUIRA I,304.0,687
PYUIQ2,ITIQUIRA II,305.0,687
PYUJAU,JAURU,195.0,466
PYUSMS,MANSO,278.0,720
RIGAR,GARIBALDI,89.0,719
RIITÁ,ITÁ,92.0,720
RIUHBG,BARRA GRANDE,86.0,720
RIUHCN,CAMPOS NOVOS,90.0,719
RIUHFC,FOZ CHAPECO,103.0,720
RIUHMA,MACHADINHO,91.0,720
RIUHMO,MONJOLINHO,94.0,720
RIUHPJ,PASSO SAO JOAO,102.0,719
RIUHSR,SAO ROQUE,88.0,720
RIUQQX,QUEBRA QUEIXO,95.0,718
RIUSJO,SAO JOSE,101.0,720
RLFONT,FONTES,132.0,689
RLLAJE,LAJES,124.0,688
RLNPEC,NILO PEÇANHA,131.0,693
RLPPAS,PEREIRA PASSOS,133.0,567
RPSANT,SANTANA,181.0,693
RPTOCO,TOCOS,180.0,692
SASGCM,SALTO GRANDE CM,134.0,720
SFLGON,LUIZ GONZAGA,172.0,720
SFMOXO,APOLONIO SALES,173.0,720
SFP123,"P. AFONSO 1,2,3",174.0,720
SFPAF4,P. AFONSO 4,175.0,720
SFQMDO,QUEIMADO,162.0,720
SFSOBR,SOBRADINHO,169.0,720
SFTMAR,TRÊS MARIAS,156.0,720
SFUHRB,RETIRO BAIXO,155.0,697
SFXING,XINGO,178.0,720
TIBARI,BARIRI,38.0,704
TIBONI,B. BONITA,37.0,720
TIIBIT,IBITINGA,39.0,720
TINAVA,N. AVANHANDAVA,42.0,720
TIPROM,PROMISSÃO,40.0,720
TITIRM,TRÊS IRMÃOS,43.0,720
TOLAJ,LAJEADO,261.0,720
TOSMES,SERRA DA MESA,251.0,720
TOTUCU,TUCURUI,275.0,720
TOUHCB,CANA BRAVA,252.0,720
TOUHET,ESTREITO,267.0,720
TOUHPA,PEIXE ANGICAL,257.0,720
TOUHSA,SAO SALVADOR,253.0,720
