year,horizon_h,subset,axis,category,pairs,control_hits,candidate_hits,gained_hits,lost_hits,control_bias,candidate_bias,control_mae,candidate_mae
2021,12,level_ge_7m,recent_motion,rise,8,3,7,5,1,0.5441829262902798,-0.21903531593034964,0.5441829262902798,0.27957054338595866
2021,12,level_ge_7m,recent_motion,stable,2,2,2,0,0,0.3530082184896859,0.05197790005780245,0.3530082184896859,0.2049787869810622
2021,12,level_ge_7m,recent_motion,fall,1,1,1,0,0,0.021997784145588284,-0.26693668872602316,0.021997784145588284,0.26693668872602316
2021,12,level_ge_7m,recent_motion,unknown,0,0,0,0,0,,,,
2022,6,all,future_motion,rise,154,51,70,30,11,-0.8906258260828908,-0.3909936866102075,1.1086811177174083,0.7572241372264349
2022,6,all,future_motion,stable,1117,1099,1106,9,2,-0.01536725533157423,0.07066232685175673,0.10390514400389407,0.11430497130139618
2022,6,all,future_motion,fall,181,145,154,15,6,0.15975456527339055,0.161487727736465,0.3146936342365413,0.2675464100153333
2022,6,all,future_motion,unknown,0,0,0,0,0,,,,
2022,6,all,recent_motion,rise,193,94,112,28,10,-0.6258079057383668,-0.20140826290269692,0.8789167051976027,0.6625626989877825
2022,6,all,recent_motion,stable,930,914,919,9,4,-0.030968414582279922,0.06459998415808708,0.09447987397514236,0.10279561247313243
2022,6,all,recent_motion,fall,324,282,294,17,5,0.0741007913025211,0.08071317488047457,0.26385343918939774,0.21181872305764
2022,6,all,recent_motion,unknown,5,5,5,0,0,0.03337397587167805,0.11776217753324669,0.15455291605198312,0.12265670279505496
2022,6,level_ge_7m,future_motion,rise,94,26,33,15,8,-1.049907792766215,-0.5007880253694719,1.322173438697043,0.9378558324379612
2022,6,level_ge_7m,future_motion,stable,84,70,77,9,2,-0.20963049100299042,0.0010646600621051707,0.3340074394056904,0.226028073375547
2022,6,level_ge_7m,future_motion,fall,133,98,108,15,5,0.15134898270328243,0.16400405774704763,0.35244273486612754,0.29662916183490695
2022,6,level_ge_7m,future_motion,unknown,0,0,0,0,0,,,,
2022,6,level_ge_7m,recent_motion,rise,112,42,51,17,8,-0.8714879196646562,-0.40277632222763654,1.1558189531986722,0.845576250230641
2022,6,level_ge_7m,recent_motion,stable,61,53,56,5,2,-0.21485981982551847,0.04989600078154202,0.2976482497982204,0.17528264008512365
2022,6,level_ge_7m,recent_motion,fall,137,98,110,17,5,0.10284510213880295,0.12149727782883435,0.3733949484292627,0.29890249741326896
2022,6,level_ge_7m,recent_motion,unknown,1,1,1,0,0,0.45243795404327614,0.25006172011474703,0.45243795404327614,0.25006172011474703
2022,12,all,future_motion,rise,195,64,56,17,25,-1.2961058779642476,-0.8532956530825708,1.4706595492790555,1.3101005953092455
2022,12,all,future_motion,stable,902,763,703,38,98,-0.2864366134147519,-0.2627086952821874,0.33452980799525434,0.3505254813373691
2022,12,all,future_motion,fall,349,272,255,19,36,-0.0949078286102639,-0.17464649692236156,0.32702905179279423,0.4067674228077008
2022,12,all,future_motion,unknown,0,0,0,0,0,,,,
2022,12,all,recent_motion,rise,193,80,68,13,25,-1.1613331701988474,-0.8436077351478053,1.354031027881872,1.2714645759450134
2022,12,all,recent_motion,stable,924,775,702,37,110,-0.2959946408468884,-0.26992372404221665,0.35204060612334614,0.36201270509104927
2022,12,all,recent_motion,fall,324,240,241,24,23,-0.14301757308609805,-0.16238878269812507,0.35335313189761813,0.40652959443019787
2022,12,all,recent_motion,unknown,5,4,3,0,1,-0.05105200346368681,0.10645131423771917,0.31154296456380604,0.39948791091922553
2022,12,level_ge_7m,future_motion,rise,124,31,17,4,18,-1.776745668221966,-1.2154789908025725,1.8927221317903542,1.7232756709510104
2022,12,level_ge_7m,future_motion,stable,51,26,29,10,7,-0.290770458762916,-0.08883569714765464,0.48155891130511896,0.5347027777765859
2022,12,level_ge_7m,future_motion,fall,136,90,74,15,31,-0.16368100203987418,-0.28862593405856235,0.44258429970456364,0.6590955223822736
2022,12,level_ge_7m,future_motion,unknown,0,0,0,0,0,,,,
2022,12,level_ge_7m,recent_motion,rise,139,42,22,5,25,-1.5011829392762466,-1.1187134381200852,1.7082557260504723,1.6267645285780807
2022,12,level_ge_7m,recent_motion,stable,61,34,33,8,9,-0.4102732222837421,-0.3395407608590641,0.5542781019948648,0.5620089046957603
2022,12,level_ge_7m,recent_motion,fall,110,70,64,16,22,-0.21512467168501334,-0.16709537709369846,0.4376221809625989,0.6372699991303457
2022,12,level_ge_7m,recent_motion,unknown,1,1,1,0,0,-0.05156352979737644,0.0905033453877655,0.05156352979737644,0.0905033453877655
