origin,station,query_time,source_time,age_after_delay_seconds,value_m,usable
2024-04-04T21:00:00-03:00,86472000,2024-04-04T20:30:00-03:00,2024-04-04T20:30:00-03:00,0.0,2.98,True
2024-04-04T22:00:00-03:00,86472000,2024-04-04T21:30:00-03:00,2024-04-04T21:30:00-03:00,0.0,3.04,True
2024-04-04T23:00:00-03:00,86472000,2024-04-04T22:30:00-03:00,2024-04-04T22:30:00-03:00,0.0,3.08,True
2024-04-05T00:00:00-03:00,86472000,2024-04-04T23:30:00-03:00,2024-04-04T23:30:00-03:00,0.0,3.12,True
2024-04-05T01:00:00-03:00,86472000,2024-04-05T00:30:00-03:00,2024-04-05T00:30:00-03:00,0.0,3.13,True
2024-04-05T02:00:00-03:00,86472000,2024-04-05T01:30:00-03:00,2024-04-05T01:30:00-03:00,0.0,3.02,True
2024-04-05T03:00:00-03:00,86472000,2024-04-05T02:30:00-03:00,2024-04-05T02:30:00-03:00,0.0,2.76,True
2024-04-05T04:00:00-03:00,86472000,2024-04-05T03:30:00-03:00,2024-04-05T03:30:00-03:00,0.0,2.59,True
2024-04-05T05:00:00-03:00,86472000,2024-04-05T04:30:00-03:00,2024-04-05T04:30:00-03:00,0.0,2.49,True
2024-04-05T06:00:00-03:00,86472000,2024-04-05T05:30:00-03:00,2024-04-05T05:30:00-03:00,0.0,2.43,True
2024-04-05T07:00:00-03:00,86472000,2024-04-05T06:30:00-03:00,2024-04-05T06:30:00-03:00,0.0,2.39,True
2024-04-05T08:00:00-03:00,86472000,2024-04-05T07:30:00-03:00,2024-04-05T07:30:00-03:00,0.0,2.37,True
2024-04-05T09:00:00-03:00,86472000,2024-04-05T08:30:00-03:00,2024-04-05T08:30:00-03:00,0.0,2.36,True
2024-04-05T10:00:00-03:00,86472000,2024-04-05T09:30:00-03:00,2024-04-05T09:30:00-03:00,0.0,2.36,True
2024-04-05T11:00:00-03:00,86472000,2024-04-05T10:30:00-03:00,2024-04-05T10:30:00-03:00,0.0,2.35,True
2024-04-05T12:00:00-03:00,86472000,2024-04-05T11:30:00-03:00,2024-04-05T11:30:00-03:00,0.0,2.35,True
2024-04-05T13:00:00-03:00,86472000,2024-04-05T12:30:00-03:00,2024-04-05T12:30:00-03:00,0.0,2.35,True
2024-04-05T14:00:00-03:00,86472000,2024-04-05T13:30:00-03:00,2024-04-05T13:30:00-03:00,0.0,2.35,True
2024-04-05T15:00:00-03:00,86472000,2024-04-05T14:30:00-03:00,2024-04-05T14:30:00-03:00,0.0,2.36,True
2024-04-05T16:00:00-03:00,86472000,2024-04-05T15:30:00-03:00,2024-04-05T15:30:00-03:00,0.0,2.36,True
2024-04-05T17:00:00-03:00,86472000,2024-04-05T16:30:00-03:00,2024-04-05T16:30:00-03:00,0.0,2.36,True
2024-04-05T18:00:00-03:00,86472000,2024-04-05T17:30:00-03:00,2024-04-05T17:30:00-03:00,0.0,2.36,True
2024-04-05T19:00:00-03:00,86472000,2024-04-05T18:30:00-03:00,2024-04-05T18:30:00-03:00,0.0,2.45,True
2024-04-05T20:00:00-03:00,86472000,2024-04-05T19:30:00-03:00,2024-04-05T19:30:00-03:00,0.0,2.74,True
2024-04-05T21:00:00-03:00,86472000,2024-04-05T20:30:00-03:00,2024-04-05T20:30:00-03:00,0.0,2.96,True
2024-04-05T22:00:00-03:00,86472000,2024-04-05T21:30:00-03:00,2024-04-05T21:30:00-03:00,0.0,3.05,True
2024-04-05T23:00:00-03:00,86472000,2024-04-05T22:30:00-03:00,2024-04-05T22:30:00-03:00,0.0,3.08,True
2024-04-06T00:00:00-03:00,86472000,2024-04-05T23:30:00-03:00,2024-04-05T23:30:00-03:00,0.0,3.09,True
2024-04-06T01:00:00-03:00,86472000,2024-04-06T00:30:00-03:00,2024-04-06T00:30:00-03:00,0.0,3.1,True
2024-04-06T02:00:00-03:00,86472000,2024-04-06T01:30:00-03:00,2024-04-06T01:30:00-03:00,0.0,2.94,True
2024-04-06T03:00:00-03:00,86472000,2024-04-06T02:30:00-03:00,2024-04-06T02:30:00-03:00,0.0,2.71,True
2024-04-06T04:00:00-03:00,86472000,2024-04-06T03:30:00-03:00,2024-04-06T03:30:00-03:00,0.0,2.56,True
2024-04-06T05:00:00-03:00,86472000,2024-04-06T04:30:00-03:00,2024-04-06T04:30:00-03:00,0.0,2.47,True
2024-04-06T06:00:00-03:00,86472000,2024-04-06T05:30:00-03:00,2024-04-06T05:30:00-03:00,0.0,2.42,True
2024-04-06T07:00:00-03:00,86472000,2024-04-06T06:30:00-03:00,2024-04-06T06:30:00-03:00,0.0,2.39,True
2024-04-06T08:00:00-03:00,86472000,2024-04-06T07:30:00-03:00,2024-04-06T07:30:00-03:00,0.0,2.37,True
2024-04-06T09:00:00-03:00,86472000,2024-04-06T08:30:00-03:00,2024-04-06T08:30:00-03:00,0.0,2.36,True
2024-04-06T10:00:00-03:00,86472000,2024-04-06T09:30:00-03:00,2024-04-06T09:30:00-03:00,0.0,2.35,True
2024-04-06T11:00:00-03:00,86472000,2024-04-06T10:30:00-03:00,2024-04-06T10:30:00-03:00,0.0,2.35,True
2024-04-06T12:00:00-03:00,86472000,2024-04-06T11:30:00-03:00,2024-04-06T11:30:00-03:00,0.0,2.35,True
2024-04-06T13:00:00-03:00,86472000,2024-04-06T12:30:00-03:00,2024-04-06T12:30:00-03:00,0.0,2.36,True
2024-04-06T14:00:00-03:00,86472000,2024-04-06T13:30:00-03:00,2024-04-06T13:30:00-03:00,0.0,2.36,True
2024-04-06T15:00:00-03:00,86472000,2024-04-06T14:30:00-03:00,2024-04-06T14:30:00-03:00,0.0,2.36,True
2024-04-06T16:00:00-03:00,86472000,2024-04-06T15:30:00-03:00,2024-04-06T15:30:00-03:00,0.0,2.35,True
2024-04-06T17:00:00-03:00,86472000,2024-04-06T16:30:00-03:00,2024-04-06T16:30:00-03:00,0.0,2.35,True
2024-04-06T18:00:00-03:00,86472000,2024-04-06T17:30:00-03:00,2024-04-06T17:30:00-03:00,0.0,2.35,True
2024-04-06T19:00:00-03:00,86472000,2024-04-06T18:30:00-03:00,2024-04-06T18:30:00-03:00,0.0,2.35,True
2024-04-06T20:00:00-03:00,86472000,2024-04-06T19:30:00-03:00,2024-04-06T19:30:00-03:00,0.0,2.35,True
2024-04-06T21:00:00-03:00,86472000,2024-04-06T20:30:00-03:00,2024-04-06T20:30:00-03:00,0.0,2.35,True
2024-04-06T22:00:00-03:00,86472000,2024-04-06T21:30:00-03:00,2024-04-06T21:30:00-03:00,0.0,2.35,True
2024-04-06T23:00:00-03:00,86472000,2024-04-06T22:30:00-03:00,2024-04-06T22:30:00-03:00,0.0,2.35,True
2024-04-07T00:00:00-03:00,86472000,2024-04-06T23:30:00-03:00,2024-04-06T23:30:00-03:00,0.0,2.35,True
2024-04-07T01:00:00-03:00,86472000,2024-04-07T00:30:00-03:00,2024-04-07T00:30:00-03:00,0.0,2.35,True
2024-04-07T02:00:00-03:00,86472000,2024-04-07T01:30:00-03:00,2024-04-07T01:30:00-03:00,0.0,2.35,True
2024-04-07T03:00:00-03:00,86472000,2024-04-07T02:30:00-03:00,2024-04-07T02:30:00-03:00,0.0,2.35,True
