population,nominal_lead_h,subset,family,n,mae_m,within_0_50_n,within_0_50_fraction,bias_m
newly_recovered,7,all,julho_levels,344,0.29310810597642123,286,0.8313953488372093,0.0006588441612698329
newly_recovered,7,observed_ge_7m,reference,62,0.2915100641932988,50,0.8064516129032258,0.03818750094349835
newly_recovered,7,observed_ge_7m,julho_levels,62,0.26131818211400354,58,0.9354838709677419,0.09449334647364326
newly_recovered,8,all,reference,344,0.33995197616724315,250,0.7267441860465116,-0.09418807557254719
newly_recovered,8,all,julho_levels,344,0.32644335474819053,268,0.7790697674418605,0.005315934969730836
newly_recovered,8,observed_ge_7m,reference,60,0.3255049377680616,44,0.7333333333333333,0.01748949750300025
newly_recovered,8,observed_ge_7m,julho_levels,60,0.28574979578015736,48,0.8,0.08791059625501972
newly_recovered,9,all,reference,344,0.39263039990828125,223,0.6482558139534884,-0.10954689074161254
newly_recovered,9,all,julho_levels,344,0.3566677883767013,252,0.7325581395348837,0.008544053085264926
newly_recovered,9,observed_ge_7m,reference,58,0.35918804030045953,38,0.6551724137931034,-0.007812406084044926
newly_recovered,9,observed_ge_7m,julho_levels,58,0.3098817881925379,45,0.7758620689655172,0.08144662037520538
newly_recovered,10,all,reference,344,0.4426180700586473,207,0.6017441860465116,-0.12574474292024213
newly_recovered,10,all,julho_levels,344,0.38177264413961987,244,0.7093023255813954,0.010749075440328658
newly_recovered,10,observed_ge_7m,reference,56,0.40138594015941687,34,0.6071428571428571,-0.05585375828416829
newly_recovered,10,observed_ge_7m,julho_levels,56,0.3345596381615282,43,0.7678571428571429,0.060787008585956724
newly_recovered,11,all,reference,344,0.4858410978971893,190,0.5523255813953488,-0.14266250308562492
newly_recovered,11,all,julho_levels,344,0.3992335551173861,236,0.686046511627907,0.01154828836052473
newly_recovered,11,observed_ge_7m,reference,54,0.4413900351564634,33,0.6111111111111112,-0.12192130365115944
newly_recovered,11,observed_ge_7m,julho_levels,54,0.34917133138917905,41,0.7592592592592593,0.028511342024337874
newly_recovered,12,all,reference,344,0.5310568279708737,183,0.5319767441860465,-0.16038544402636684
newly_recovered,12,all,julho_levels,344,0.4116138965538508,230,0.6686046511627907,0.011053834291280722
newly_recovered,12,observed_ge_7m,reference,52,0.49469186286693206,30,0.5769230769230769,-0.20600687978286303
newly_recovered,12,observed_ge_7m,julho_levels,52,0.36169939526697886,38,0.7307692307692307,-0.015643807151420885
