nominal_lead_h,origin_trend,family,subset,observed_targets,paired_n,forecast_failures_with_truth,coverage,within_0_50_n,within_0_50_fraction,mae_m,bias_m,p90_abs_m,p98_abs_m,max_abs_m
2,falling,reference,all,844,843,1,0.9988151658767772,756,0.896797153024911,0.2109955692600478,0.11372796421850655,0.5054938739132274,0.7284613855578898,1.019932518362527
2,falling,julho_levels,all,844,843,1,0.9988151658767772,741,0.8790035587188612,0.22364468013612693,0.13214923948345106,0.5329931777928223,0.7340817622764297,1.0522958392511654
2,falling,reference,level_ge_7m,110,109,1,0.990909090909091,85,0.7798165137614679,0.29331035275036516,0.25822042924185235,0.7146777149734529,0.8130149077421638,0.9829043686341254
2,falling,julho_levels,level_ge_7m,110,109,1,0.990909090909091,83,0.7614678899082569,0.2971144481545545,0.26426733586206425,0.6992245357799408,0.8250399634896769,0.9915040332100844
2,stable,reference,all,627,627,0,1.0,590,0.9409888357256778,0.15556927956846317,-0.050405221608345645,0.36181109439309356,0.7609016714893976,1.0150174275443038
2,stable,julho_levels,all,627,627,0,1.0,589,0.9393939393939394,0.15594284619570312,-0.044251554543767585,0.3655044767621884,0.7747106391308252,1.0346967140177243
2,stable,reference,level_ge_7m,33,33,0,1.0,28,0.8484848484848485,0.22793766158885248,0.19578407486362037,0.783583367581041,0.8259178334244786,0.8296148626493931
2,stable,julho_levels,level_ge_7m,33,33,0,1.0,28,0.8484848484848485,0.2280632904330778,0.19795791812721042,0.7698083229456906,0.8158349409550331,0.8189906084581846
2,unknown,reference,all,16,9,7,0.5625,7,0.7777777777777778,0.3854432812421997,0.15902300158979396,0.6109490093924048,0.7250809733441353,0.7536139643320681
2,unknown,julho_levels,all,16,9,7,0.5625,6,0.6666666666666666,0.40072828148036366,0.18340856444929954,0.6516901642275841,0.7539810969558678,0.7795538301379388
2,unknown,reference,level_ge_7m,2,1,1,0.5,0,0.0,0.7536139643320681,0.7536139643320681,0.7536139643320681,0.7536139643320681,0.7536139643320681
2,unknown,julho_levels,level_ge_7m,2,1,1,0.5,0,0.0,0.7795538301379388,0.7795538301379388,0.7795538301379388,0.7795538301379388,0.7795538301379388
3,rising,reference,all,455,455,0,1.0,365,0.8021978021978022,0.3094446192986671,-0.13864015487777662,0.6678194282802106,1.2988916613970425,2.8988829116145745
3,rising,julho_levels,all,455,455,0,1.0,369,0.810989010989011,0.30947318974429505,-0.14945969177572732,0.6678789808300757,1.23670543088252,2.769956886268055
3,rising,reference,level_ge_7m,96,96,0,1.0,54,0.5625,0.605960816277392,-0.025610406175102563,1.288010152740032,2.268954876097779,2.8988829116145745
3,rising,julho_levels,level_ge_7m,96,96,0,1.0,57,0.59375,0.5712835514014724,-0.004753967728538995,1.2306320830130737,2.159968978118686,2.769956886268055
3,falling,reference,all,843,842,1,0.9988137603795967,709,0.8420427553444181,0.2623419296684908,0.10613003759876,0.6218240207348107,0.9647872693766909,1.149596227496386
3,falling,julho_levels,all,843,842,1,0.9988137603795967,690,0.8194774346793349,0.2811485465578328,0.13966078924686115,0.6506719851435642,0.953508646167266,1.219249604539435
3,falling,reference,level_ge_7m,106,105,1,0.9905660377358491,72,0.6857142857142857,0.38695748405499253,0.3472568810020966,0.9598141067403995,1.0128630650699244,1.1070954869333303
3,falling,julho_levels,level_ge_7m,106,105,1,0.9905660377358491,70,0.6666666666666666,0.3928434030446272,0.3568674321416293,0.9345587854170067,0.9986268527808089,1.1349892961388157
3,stable,reference,all,626,626,0,1.0,569,0.9089456869009584,0.19665798857077582,-0.04909215827844427,0.4667918034277996,0.9466704977912626,1.1630808127593109
3,stable,julho_levels,all,626,626,0,1.0,571,0.9121405750798722,0.20084216124760024,-0.03598110365236728,0.46971953763104235,0.946643956890076,1.3012497749131193
3,stable,reference,level_ge_7m,33,33,0,1.0,25,0.7575757575757576,0.325142693561376,0.25231564439530685,1.0349217435099476,1.1076021743942577,1.112408027232071
3,stable,julho_levels,level_ge_7m,33,33,0,1.0,28,0.8484848484848485,0.32168986831645463,0.25858639405992084,1.0088918431802776,1.0883748610931305,1.0924822476350684
3,unknown,reference,all,18,9,9,0.5,6,0.6666666666666666,0.4117653979705654,0.15128435921674155,0.6653890635681351,0.747847940943244,0.7684626602870213
3,unknown,julho_levels,all,18,9,9,0.5,6,0.6666666666666666,0.4332930658211136,0.19651165439883214,0.7147727479310548,0.8060872257001065,0.8289158451423695
3,unknown,reference,level_ge_7m,2,1,1,0.5,0,0.0,0.6396206643884135,0.6396206643884135,0.6396206643884135,0.6396206643884135,0.6396206643884135
3,unknown,julho_levels,level_ge_7m,2,1,1,0.5,0,0.0,0.6862369736282261,0.6862369736282261,0.6862369736282261,0.6862369736282261,0.6862369736282261
4,rising,reference,all,455,455,0,1.0,356,0.7824175824175824,0.3419676058599509,-0.1253619435903522,0.7147842928158235,1.6494715927648715,3.329018638853949
4,rising,julho_levels,all,455,455,0,1.0,360,0.7912087912087912,0.3392851499771833,-0.14116113595937005,0.7032832329648738,1.5460143655638874,3.146640556692857
4,rising,reference,level_ge_7m,99,99,0,1.0,45,0.45454545454545453,0.7426098147086038,-0.02786551297059131,1.613398247965143,2.8098657543345134,3.329018638853949
4,rising,julho_levels,level_ge_7m,99,99,0,1.0,49,0.494949494949495,0.6992050697822098,-7.752602189009696e-05,1.5161530424424592,2.6373010096971665,3.146640556692857
4,falling,reference,all,840,839,1,0.9988095238095238,688,0.8200238379022646,0.29466335897771334,0.07538331606066949,0.6537315349014586,1.1460374552227561,1.4113742639177325
4,falling,julho_levels,all,840,839,1,0.9988095238095238,653,0.7783075089392133,0.3180881108651819,0.12607560443215257,0.7027545528509472,1.10812059296958,1.4096883827579556
4,falling,reference,level_ge_7m,103,102,1,0.9902912621359223,65,0.6372549019607843,0.4676729147293814,0.41557258967041594,1.1713806388617114,1.2731708076642088,1.4113742639177325
4,falling,julho_levels,level_ge_7m,103,102,1,0.9902912621359223,65,0.6372549019607843,0.4727766080884317,0.42993468226103604,1.137708590134456,1.2221448679931397,1.3740426100788525
4,stable,reference,all,627,627,0,1.0,559,0.8915470494417863,0.23114890627339912,-0.029373895589675666,0.5311257047127486,1.0632893676042574,1.7941023130621963
4,stable,julho_levels,all,627,627,0,1.0,551,0.8787878787878788,0.24519797567591686,-0.007676125751304457,0.5678236842607511,1.1428941711068785,1.620245806102604
4,stable,reference,level_ge_7m,33,33,0,1.0,24,0.7272727272727273,0.43903786737032163,0.29386586341101456,1.2917291267150444,1.5247791371356483,1.7941023130621963
