lead_h,family,phase,subset,training_rows,n,mae_m3_s,bias_m3_s,p90_absolute_m3_s
8,reference_full,validation,all,4382,6544,107.78930567842053,24.585396474842938,259.81823532397084
8,reference_full,validation,high_flow,4382,28,338.5975769324695,13.980643559379681,644.5253317930024
8,reference_full,test,all,10934,1960,217.52222879116616,-14.806456885318738,342.7395072706678
8,reference_full,test,high_flow,10934,271,563.6511925148726,-219.22150021677794,1051.004174200099
8,reference_ceran_only,validation,all,4382,6544,99.08194951688952,30.160872500060776,226.07525987204514
8,reference_ceran_only,validation,high_flow,4382,28,431.65775728356385,-154.47854506555038,879.558757081641
8,reference_ceran_only,test,all,10934,1960,226.54380093192776,-12.114703506318662,346.20109140377474
8,reference_ceran_only,test,high_flow,10934,271,646.4070581303594,-125.65879960543329,1455.6391781335146
8,augmented_ceran_2023,validation,all,5054,6544,113.40152598145684,50.68087451067832,242.03035484510139
8,augmented_ceran_2023,validation,high_flow,5054,28,528.1878777451534,-188.31397749887577,1093.9194019009174
8,augmented_ceran_2023,test,all,11606,1960,227.53087303287631,-17.12924266901487,370.4118265194088
8,augmented_ceran_2023,test,high_flow,11606,271,589.5085801280665,-191.167872605945,1477.181065527029
9,reference_full,validation,all,4381,6543,114.44567881747525,28.152701837843924,270.11532438716193
9,reference_full,validation,high_flow,4381,28,405.53230004188197,79.14267451226247,688.5488129137475
9,reference_full,test,all,10933,1959,227.0794091187324,-19.03485476938394,353.3912639949295
9,reference_full,test,high_flow,10933,271,609.4159283509719,-251.82754349432628,1276.735687892665
9,reference_ceran_only,validation,all,4381,6543,104.63941861141993,36.088665098535614,232.69438120662883
9,reference_ceran_only,validation,high_flow,4381,28,473.32966190472655,-148.04169351311717,995.300803755604
9,reference_ceran_only,test,all,10933,1959,238.35896859241498,-17.051967881405055,355.1806390297739
9,reference_ceran_only,test,high_flow,10933,271,713.6293373070267,-162.68139013272676,1847.4186177353122
9,augmented_ceran_2023,validation,all,5052,6543,120.79577623962022,61.567971341196724,250.84223823245546
9,augmented_ceran_2023,validation,high_flow,5052,28,606.0788997689514,-193.6976640426629,1321.6474546967568
9,augmented_ceran_2023,test,all,11604,1959,242.20347385576858,-26.772177680805985,390.8017946981672
9,augmented_ceran_2023,test,high_flow,11604,271,677.9198426783504,-262.4893832325159,1768.125748380162
10,reference_full,validation,all,4380,6542,120.16983043432101,31.681445169777884,275.9360092829522
10,reference_full,validation,high_flow,4380,28,497.4095309754929,149.65107676226634,937.0762193087589
10,reference_full,test,all,10932,1958,236.38021489261175,-24.084292347128102,367.3417451802262
10,reference_full,test,high_flow,10932,271,665.3661568404963,-291.90578160156076,1570.6415899377957
10,reference_ceran_only,validation,all,4380,6542,109.59097753783551,42.25764486083958,236.27190800324456
10,reference_ceran_only,validation,high_flow,4380,28,541.9607438486582,-161.8570685270758,1093.8620844926122
10,reference_ceran_only,test,all,10932,1958,249.20315245557882,-23.27490470696386,366.27240873066523
10,reference_ceran_only,test,high_flow,10932,271,789.1629336976016,-207.0652744484993,1991.21000340342
10,augmented_ceran_2023,validation,all,5050,6542,129.71681270647193,71.47969633793814,266.91862235490953
10,augmented_ceran_2023,validation,high_flow,5050,28,677.2792422439887,-196.72710091379392,1654.5070977598
10,augmented_ceran_2023,test,all,11602,1958,253.704860842926,-30.97285197518293,408.1335843292708
10,augmented_ceran_2023,test,high_flow,11602,271,749.4853858397662,-305.57893600477774,2053.886799549992
11,reference_full,validation,all,4379,6541,124.46143481185847,36.62644026393301,281.50885098042505
11,reference_full,validation,high_flow,4379,28,608.8678821200199,235.35442457711522,1154.9681973786592
11,reference_full,test,all,10931,1957,246.35988560412352,-29.179438075023615,376.723831523761
11,reference_full,test,high_flow,10931,271,729.8799581223853,-328.6906148763272,1854.1446555071027
11,reference_ceran_only,validation,all,4379,6541,113.95480804020951,48.80088177157652,241.57257603434903
11,reference_ceran_only,validation,high_flow,4379,28,608.6829951754953,-183.26246496964865,1242.9101011829118
11,reference_ceran_only,test,all,10931,1957,261.48506880463464,-29.28100085228248,378.8527674182197
11,reference_ceran_only,test,high_flow,10931,271,867.456322811975,-248.73598305891474,2169.7511574773857
11,augmented_ceran_2023,validation,all,5048,6541,138.6486750459365,85.11613668563092,278.55237024143076
11,augmented_ceran_2023,validation,high_flow,5048,28,745.4402459845943,-219.27628570847853,1804.8513758406555
11,augmented_ceran_2023,test,all,11600,1957,264.91129367327403,-44.75508920532213,415.5535763488861
11,augmented_ceran_2023,test,high_flow,11600,271,817.3986363331755,-392.24894550386415,2075.585494498731
