plant,ts,time,Q,I,turbined,spilled,residual,source,ONS_Q,ONS_I,delta_Q,delta_I,CERAN_Q_minus_turbined_spilled,CERAN_Q_minus_all_including_residual
julho,1789930800.0,2026-09-20T16:00:00-03:00,283.7,396.48,0.0,283.7,30.7,JSON,284.0,396.0,-0.30000000000001137,0.4800000000000182,0.0,-30.7
castro,1789934400.0,2026-09-20T17:00:00-03:00,195.85,240.27,153.98,41.87,19.04,JSON,196.0,240.0,-0.15000000000000568,0.27000000000001023,7.105427357601002e-15,-19.039999999999992
monte,1789934400.0,2026-09-20T17:00:00-03:00,299.4,291.07,0.0,299.4,5.5,JSON,299.0,291.0,0.39999999999997726,0.06999999999999318,0.0,-5.5
julho,1789934400.0,2026-09-20T17:00:00-03:00,289.22,305.33,0.0,289.22,30.72,JSON,289.0,305.0,0.22000000000002728,0.3299999999999841,0.0,-30.72
monte,1789938000.0,2026-09-20T18:00:00-03:00,353.14,265.64,147.03,206.11,5.5,JSON,353.0,266.0,0.13999999999998636,-0.36000000000001364,-2.842170943040401e-14,-5.500000000000028
julho,1789938000.0,2026-09-20T18:00:00-03:00,503.53,326.31,272.61,230.92,30.52,JSON,504.0,326.0,-0.4700000000000273,0.3100000000000023,-2.842170943040401e-14,-30.520000000000028
castro,1789938000.0,2026-09-20T18:00:00-03:00,201.14,245.56,153.75,47.39,19.07,JSON,201.0,246.0,0.13999999999998636,-0.4399999999999977,-1.4210854715202004e-14,-19.070000000000014
monte,1789941600.0,2026-09-20T19:00:00-03:00,349.54,320.37,172.55,176.99,5.5,JSON,350.0,320.0,-0.45999999999997954,0.37000000000000455,0.0,-5.5
julho,1789941600.0,2026-09-20T19:00:00-03:00,525.91,429.24,324.49,201.42,30.42,JSON,526.0,429.0,-0.09000000000003183,0.2400000000000091,-2.842170943040401e-14,-30.42000000000003
castro,1789941600.0,2026-09-20T19:00:00-03:00,205.02,205.02,153.71,51.31,19.1,JSON,205.0,205.0,0.020000000000010232,0.020000000000010232,0.0,-19.1
monte,1789945200.0,2026-09-20T20:00:00-03:00,348.52,348.52,171.53,176.99,5.5,JSON,349.0,349.0,-0.4800000000000182,-0.4800000000000182,-2.842170943040401e-14,-5.500000000000028
castro,1789945200.0,2026-09-20T20:00:00-03:00,211.11,255.53,153.58,57.53,19.13,JSON,211.0,256.0,0.11000000000001364,-0.46999999999999886,0.0,-19.13
julho,1789945200.0,2026-09-20T20:00:00-03:00,501.35,420.79,322.02,179.33,30.33,JSON,501.0,421.0,0.35000000000002274,-0.20999999999997954,2.842170943040401e-14,-30.32999999999997
castro,1789948800.0,2026-09-20T21:00:00-03:00,213.29,228.1,153.6,59.69,19.14,JSON,213.0,228.0,0.28999999999999204,0.09999999999999432,0.0,-19.14
julho,1789948800.0,2026-09-20T21:00:00-03:00,483.81,419.37,322.15,161.66,30.26,JSON,484.0,419.0,-0.18999999999999773,0.37000000000000455,2.842170943040401e-14,-30.259999999999973
monte,1789948800.0,2026-09-20T21:00:00-03:00,337.8,341.97,156.8,181.0,5.5,JSON,338.0,342.0,-0.19999999999998863,-0.029999999999972715,0.0,-5.5
castro,1789952400.0,2026-09-20T22:00:00-03:00,213.36,213.36,153.67,59.69,19.14,JSON,213.0,213.0,0.36000000000001364,0.36000000000001364,2.842170943040401e-14,-19.139999999999972
julho,1789952400.0,2026-09-20T22:00:00-03:00,449.66,304.66,322.96,126.7,30.1,JSON,450.0,305.0,-0.339999999999975,-0.339999999999975,4.263256414560601e-14,-30.09999999999996
monte,1789952400.0,2026-09-20T22:00:00-03:00,360.15,368.48,170.97,189.18,5.5,JSON,360.0,368.0,0.14999999999997726,0.4800000000000182,-2.842170943040401e-14,-5.500000000000028
julho,1789956000.0,2026-09-20T23:00:00-03:00,438.77,374.33,326.14,112.63,30.03,JSON,439.0,374.0,-0.2300000000000182,0.3299999999999841,0.0,-30.03
monte,1789956000.0,2026-09-20T23:00:00-03:00,359.76,359.76,170.58,189.18,5.5,JSON,360.0,360.0,-0.2400000000000091,-0.2400000000000091,-2.842170943040401e-14,-5.500000000000028
castro,1789956000.0,2026-09-20T23:00:00-03:00,215.58,230.39,153.69,61.89,19.15,JSON,216.0,230.0,-0.4199999999999875,0.38999999999998636,1.4210854715202004e-14,-19.149999999999984
monte,1789963200.0,2026-09-21T01:00:00-03:00,364.44,368.61,166.89,197.55,5.5,JSON,364.0,369.0,0.4399999999999977,-0.38999999999998636,0.0,-5.5
julho,1789963200.0,2026-09-21T01:00:00-03:00,412.07,347.63,325.19,86.88,29.88,JSON,412.0,348.0,0.06999999999999318,-0.37000000000000455,0.0,-29.88
castro,1789963200.0,2026-09-21T01:00:00-03:00,215.59,215.59,153.7,61.89,19.15,JSON,216.0,216.0,-0.4099999999999966,-0.4099999999999966,1.4210854715202004e-14,-19.149999999999984
monte,1789966800.0,2026-09-21T02:00:00-03:00,368.4,372.57,166.6,201.8,5.5,JSON,368.0,373.0,0.39999999999997726,-0.4300000000000068,-2.842170943040401e-14,-5.500000000000028
julho,1789966800.0,2026-09-21T02:00:00-03:00,406.47,374.25,325.02,81.45,29.85,JSON,406.0,374.0,0.4700000000000273,0.25,4.263256414560601e-14,-29.84999999999996
castro,1789966800.0,2026-09-21T02:00:00-03:00,215.58,215.58,153.69,61.89,19.15,JSON,216.0,216.0,-0.4199999999999875,-0.4199999999999875,1.4210854715202004e-14,-19.149999999999984
monte,1789970400.0,2026-09-21T03:00:00-03:00,367.31,367.31,165.51,201.8,5.5,JSON,367.0,367.0,0.3100000000000023,0.3100000000000023,0.0,-5.5
julho,1789970400.0,2026-09-21T03:00:00-03:00,403.15,387.04,324.42,78.73,29.83,JSON,403.0,387.0,0.14999999999997726,0.040000000000020464,-4.263256414560601e-14,-29.83000000000004
castro,1789970400.0,2026-09-21T03:00:00-03:00,213.17,198.36,153.48,59.69,19.14,JSON,213.0,198.0,0.1699999999999875,0.36000000000001364,0.0,-19.14
monte,1789974000.0,2026-09-21T04:00:00-03:00,373.12,381.45,162.66,210.46,5.5,JSON,373.0,381.0,0.12000000000000455,0.44999999999998863,0.0,-5.5
julho,1789974000.0,2026-09-21T04:00:00-03:00,398.52,366.3,325.23,73.29,29.79,JSON,399.0,366.0,-0.4800000000000182,0.30000000000001137,-4.263256414560601e-14,-29.790000000000042
castro,1789974000.0,2026-09-21T04:00:00-03:00,213.42,213.42,153.73,59.69,19.14,JSON,213.0,213.0,0.4199999999999875,0.4199999999999875,0.0,-19.14
monte,1789977600.0,2026-09-21T05:00:00-03:00,376.36,376.36,165.9,210.46,5.5,JSON,376.0,376.0,0.36000000000001364,0.36000000000001364,0.0,-5.5
julho,1789977600.0,2026-09-21T05:00:00-03:00,390.98,342.65,325.84,65.14,29.74,JSON,391.0,343.0,-0.01999999999998181,-0.35000000000002274,4.263256414560601e-14,-29.739999999999956
castro,1789977600.0,2026-09-21T05:00:00-03:00,211.29,196.48,153.76,57.53,19.13,JSON,211.0,196.0,0.28999999999999204,0.47999999999998977,0.0,-19.13
monte,1789981200.0,2026-09-21T06:00:00-03:00,378.93,378.93,168.47,210.46,5.5,JSON,379.0,379.0,-0.06999999999999318,-0.06999999999999318,0.0,-5.5
julho,1789981200.0,2026-09-21T06:00:00-03:00,391.26,391.26,326.12,65.14,29.74,JSON,391.0,391.0,0.2599999999999909,0.2599999999999909,-1.4210854715202004e-14,-29.740000000000013
castro,1789981200.0,2026-09-21T06:00:00-03:00,211.37,211.37,153.84,57.53,19.13,JSON,211.0,211.0,0.37000000000000455,0.37000000000000455,0.0,-19.13
monte,1789984800.0,2026-09-21T07:00:00-03:00,382.87,387.04,168.0,214.87,5.5,JSON,383.0,387.0,-0.12999999999999545,0.040000000000020464,0.0,-5.5
julho,1789984800.0,2026-09-21T07:00:00-03:00,389.39,389.39,324.25,65.14,29.74,JSON,389.0,389.0,0.38999999999998636,0.38999999999998636,-1.4210854715202004e-14,-29.740000000000013
castro,1789984800.0,2026-09-21T07:00:00-03:00,213.44,228.25,153.75,59.69,19.14,JSON,213.0,228.0,0.4399999999999977,0.25,0.0,-19.14
monte,1789988400.0,2026-09-21T08:00:00-03:00,392.1,400.43,168.64,223.46,5.5,JSON,392.0,400.0,0.10000000000002274,0.4300000000000068,2.842170943040401e-14,-5.499999999999972
julho,1789988400.0,2026-09-21T08:00:00-03:00,393.98,442.31,320.69,73.29,29.79,JSON,394.0,442.0,-0.01999999999998181,0.3100000000000023,1.4210854715202004e-14,-29.789999999999985
castro,1789988400.0,2026-09-21T08:00:00-03:00,217.94,247.55,153.8,64.14,19.16,JSON,218.0,248.0,-0.060000000000002274,-0.44999999999998863,-1.4210854715202004e-14,-19.160000000000014
monte,1789992000.0,2026-09-21T09:00:00-03:00,718.21,976.54,170.04,548.17,5.5,JSON,718.0,977.0,0.21000000000003638,-0.4600000000000364,1.1368683772161603e-13,-5.499999999999886
julho,1789992000.0,2026-09-21T09:00:00-03:00,453.02,710.8,330.14,122.88,30.08,JSON,453.0,711.0,0.01999999999998181,-0.20000000000004547,0.0,-30.08
castro,1789992000.0,2026-09-21T09:00:00-03:00,278.81,604.53,154.95,123.86,19.41,JSON,279.0,605.0,-0.18999999999999773,-0.4700000000000273,1.4210854715202004e-14,-19.409999999999986
monte,1789995600.0,2026-09-21T10:00:00-03:00,2628.74,2941.24,171.48,2457.26,5.5,JSON,2629.0,2941.0,-0.2600000000002183,0.23999999999978172,-4.547473508864641e-13,-5.500000000000455
julho,1789995600.0,2026-09-21T10:00:00-03:00,512.86,1253.97,164.97,347.89,30.89,JSON,513.0,1254.0,-0.13999999999998636,-0.029999999999972715,0.0,-30.89
castro,1789995600.0,2026-09-21T10:00:00-03:00,513.48,1372.2,153.18,360.3,20.05,JSON,513.0,1372.0,0.4800000000000182,0.20000000000004547,0.0,-20.05
monte,1789999200.0,2026-09-21T11:00:00-03:00,2649.66,2528.83,183.58,2466.08,5.5,JSON,2650.0,2529.0,-0.3400000000001455,-0.17000000000007276,0.0,-5.5
castro,1789999200.0,2026-09-21T11:00:00-03:00,1205.2,2833.81,152.0,1053.2,21.22,JSON,1205.0,2834.0,0.20000000000004547,-0.19000000000005457,0.0,-21.22
julho,1789999200.0,2026-09-21T11:00:00-03:00,1563.76,2401.54,222.52,1341.24,31.78,JSON,1564.0,2402.0,-0.2400000000000091,-0.4600000000000364,0.0,-31.78
julho,1789999200.0,2026-09-21T11:00:00-03:00,1563.76,2401.54,222.52,1341.24,31.78,HTML,1564.0,2402.0,-0.2400000000000091,-0.4600000000000364,0.0,-31.78
julho,1789995600.0,2026-09-21T10:00:00-03:00,512.86,1253.97,164.97,347.89,30.89,HTML,513.0,1254.0,-0.13999999999998636,-0.029999999999972715,0.0,-30.89
julho,1789992000.0,2026-09-21T09:00:00-03:00,453.02,710.8,330.14,122.88,30.08,HTML,453.0,711.0,0.01999999999998181,-0.20000000000004547,0.0,-30.08
julho,1789988400.0,2026-09-21T08:00:00-03:00,393.98,442.31,320.69,73.29,29.79,HTML,394.0,442.0,-0.01999999999998181,0.3100000000000023,1.4210854715202004e-14,-29.789999999999985
julho,1789984800.0,2026-09-21T07:00:00-03:00,389.39,389.39,324.25,65.14,29.74,HTML,389.0,389.0,0.38999999999998636,0.38999999999998636,-1.4210854715202004e-14,-29.740000000000013
julho,1789981200.0,2026-09-21T06:00:00-03:00,391.26,391.26,326.12,65.14,29.74,HTML,391.0,391.0,0.2599999999999909,0.2599999999999909,-1.4210854715202004e-14,-29.740000000000013
julho,1789977600.0,2026-09-21T05:00:00-03:00,390.98,342.65,325.84,65.14,29.74,HTML,391.0,343.0,-0.01999999999998181,-0.35000000000002274,4.263256414560601e-14,-29.739999999999956
