window,station,field,field_absent,empty,finite,finite_approved,finite_other_qc,nonempty_nonfinite,negative,zero_reported,qc_json
2024-06-12,86447000,NivelDisplay,0,0,0,0,0,0,0,0,{}
2024-06-12,86447000,NivelManual,0,0,0,0,0,0,0,0,{}
2024-06-12,86447000,ChuvaAcumAdotada,0,0,0,0,0,0,0,0,{}
2024-06-12,86448000,NivelFinal,0,45,128,128,0,0,0,0,"{""Dado aprovado"": 173}"
2024-06-12,86448000,ChuvaFinal,0,173,0,0,0,0,0,0,"{""Dado aprovado"": 173}"
2024-06-12,86448000,VazaoFinal,0,0,173,173,0,0,0,0,"{""Dado aprovado"": 173}"
2024-06-12,86448000,NivelSensor,0,45,128,128,0,0,0,0,"{""Dado aprovado"": 173}"
2024-06-12,86448000,NivelDisplay,0,173,0,0,0,0,0,0,"{""null"": 173}"
2024-06-12,86448000,NivelManual,0,173,0,0,0,0,0,0,"{""null"": 173}"
2024-06-12,86448000,ChuvaAcumAdotada,0,173,0,0,0,0,0,0,"{""null"": 173}"
2024-06-12,86450000,NivelFinal,0,0,0,0,0,0,0,0,{}
2024-06-12,86450000,ChuvaFinal,0,0,0,0,0,0,0,0,{}
2024-06-12,86450000,VazaoFinal,0,0,0,0,0,0,0,0,{}
2024-06-12,86450000,NivelSensor,0,0,0,0,0,0,0,0,{}
2024-06-12,86450000,NivelDisplay,0,0,0,0,0,0,0,0,{}
2024-06-12,86450000,NivelManual,0,0,0,0,0,0,0,0,{}
2024-06-12,86450000,ChuvaAcumAdotada,0,0,0,0,0,0,0,0,{}
2024-06-12,86471000,NivelFinal,0,0,128,128,0,0,0,0,"{""Dado aprovado"": 128}"
2024-06-12,86471000,ChuvaFinal,0,0,128,128,0,0,0,98,"{""Dado aprovado"": 128}"
2024-06-12,86471000,VazaoFinal,0,128,0,0,0,0,0,0,"{""Dado aprovado"": 128}"
2024-06-12,86471000,NivelSensor,0,0,128,128,0,0,0,0,"{""Dado aprovado"": 128}"
2024-06-12,86471000,NivelDisplay,0,128,0,0,0,0,0,0,"{""null"": 128}"
2024-06-12,86471000,NivelManual,0,128,0,0,0,0,0,0,"{""null"": 128}"
2024-06-12,86471000,ChuvaAcumAdotada,0,128,0,0,0,0,0,0,"{""null"": 128}"
2024-06-12,86472000,NivelFinal,0,960,0,0,0,0,0,0,"{""null"": 960}"
2024-06-12,86472000,ChuvaFinal,0,0,960,960,0,0,0,737,"{""Dado aprovado"": 960}"
2024-06-12,86472000,VazaoFinal,0,960,0,0,0,0,0,0,"{""null"": 960}"
2024-06-12,86472000,NivelSensor,0,960,0,0,0,0,0,0,"{""null"": 960}"
2024-06-12,86472000,NivelDisplay,0,960,0,0,0,0,0,0,"{""null"": 960}"
2024-06-12,86472000,NivelManual,0,960,0,0,0,0,0,0,"{""null"": 960}"
2024-06-12,86472000,ChuvaAcumAdotada,0,0,960,960,0,0,0,0,"{""Dado aprovado"": 960}"
2024-06-12,86472600,NivelFinal,0,0,944,944,0,0,0,0,"{""Dado aprovado"": 944}"
2024-06-12,86472600,ChuvaFinal,0,0,944,944,0,0,0,731,"{""Dado aprovado"": 944}"
2024-06-12,86472600,VazaoFinal,0,944,0,0,0,0,0,0,"{""null"": 944}"
2024-06-12,86472600,NivelSensor,0,0,944,944,0,0,0,0,"{""Dado aprovado"": 944}"
2024-06-12,86472600,NivelDisplay,0,944,0,0,0,0,0,0,"{""null"": 944}"
2024-06-12,86472600,NivelManual,0,944,0,0,0,0,0,0,"{""null"": 944}"
2024-06-12,86472600,ChuvaAcumAdotada,0,0,944,944,0,0,0,0,"{""Dado aprovado"": 944}"
2024-06-12,86479000,NivelFinal,0,0,0,0,0,0,0,0,{}
2024-06-12,86479000,ChuvaFinal,0,0,0,0,0,0,0,0,{}
2024-06-12,86479000,VazaoFinal,0,0,0,0,0,0,0,0,{}
2024-06-12,86479000,NivelSensor,0,0,0,0,0,0,0,0,{}
2024-06-12,86479000,NivelDisplay,0,0,0,0,0,0,0,0,{}
2024-06-12,86479000,NivelManual,0,0,0,0,0,0,0,0,{}
2024-06-12,86479000,ChuvaAcumAdotada,0,0,0,0,0,0,0,0,{}
2024-06-12,86488000,NivelFinal,0,0,120,120,0,0,0,0,"{""Dado aprovado"": 120}"
2024-06-12,86488000,ChuvaFinal,0,0,120,120,0,0,0,92,"{""Dado aprovado"": 120}"
2024-06-12,86488000,VazaoFinal,0,0,120,120,0,0,0,0,"{""Dado aprovado"": 120}"
2024-06-12,86488000,NivelSensor,0,0,120,120,0,0,0,0,"{""Dado aprovado"": 120}"
2024-06-12,86488000,NivelDisplay,0,120,0,0,0,0,0,0,"{""null"": 120}"
2024-06-12,86488000,NivelManual,0,120,0,0,0,0,0,0,"{""null"": 120}"
2024-06-12,86488000,ChuvaAcumAdotada,0,120,0,0,0,0,0,0,"{""null"": 120}"
2024-06-12,86493000,NivelFinal,0,0,0,0,0,0,0,0,{}
2024-06-12,86493000,ChuvaFinal,0,0,0,0,0,0,0,0,{}
2024-06-12,86493000,VazaoFinal,0,0,0,0,0,0,0,0,{}
2024-06-12,86493000,NivelSensor,0,0,0,0,0,0,0,0,{}
2024-06-12,86493000,NivelDisplay,0,0,0,0,0,0,0,0,{}
2024-06-12,86493000,NivelManual,0,0,0,0,0,0,0,0,{}
2024-06-12,86493000,ChuvaAcumAdotada,0,0,0,0,0,0,0,0,{}
2024-06-12,86495500,NivelFinal,0,0,240,240,0,0,0,0,"{""Dado aprovado"": 240}"
2024-06-12,86495500,ChuvaFinal,0,240,0,0,0,0,0,0,"{""Dado aprovado"": 240}"
2024-06-12,86495500,VazaoFinal,0,15,225,225,0,0,0,0,"{""Dado aprovado"": 240}"
2024-06-12,86495500,NivelSensor,0,0,240,240,0,0,0,0,"{""Dado aprovado"": 240}"
2024-06-12,86495500,NivelDisplay,0,240,0,0,0,0,0,0,"{""null"": 240}"
2024-06-12,86495500,NivelManual,0,240,0,0,0,0,0,0,"{""null"": 240}"
2024-06-12,86495500,ChuvaAcumAdotada,0,240,0,0,0,0,0,0,"{""null"": 240}"
2024-06-12,86500000,NivelFinal,0,0,0,0,0,0,0,0,{}
2024-06-12,86500000,ChuvaFinal,0,0,0,0,0,0,0,0,{}
2024-06-12,86500000,VazaoFinal,0,0,0,0,0,0,0,0,{}
2024-06-12,86500000,NivelSensor,0,0,0,0,0,0,0,0,{}
2024-06-12,86500000,NivelDisplay,0,0,0,0,0,0,0,0,{}
2024-06-12,86500000,NivelManual,0,0,0,0,0,0,0,0,{}
2024-06-12,86500000,ChuvaAcumAdotada,0,0,0,0,0,0,0,0,{}
2024-06-12,86504900,NivelFinal,0,0,0,0,0,0,0,0,{}
2024-06-12,86504900,ChuvaFinal,0,0,0,0,0,0,0,0,{}
2024-06-12,86504900,VazaoFinal,0,0,0,0,0,0,0,0,{}
2024-06-12,86504900,NivelSensor,0,0,0,0,0,0,0,0,{}
2024-06-12,86504900,NivelDisplay,0,0,0,0,0,0,0,0,{}
2024-06-12,86504900,NivelManual,0,0,0,0,0,0,0,0,{}
2024-06-12,86504900,ChuvaAcumAdotada,0,0,0,0,0,0,0,0,{}
2024-06-12,86505500,NivelFinal,0,0,7,7,0,0,0,0,"{""Dado aprovado"": 7}"
2024-06-12,86505500,ChuvaFinal,0,0,7,7,0,0,0,4,"{""Dado aprovado"": 7}"
2024-06-12,86505500,VazaoFinal,0,7,0,0,0,0,0,0,"{""Dado aprovado"": 7}"
2024-06-12,86505500,NivelSensor,0,0,7,7,0,0,0,0,"{""Dado aprovado"": 7}"
2024-06-12,86505500,NivelDisplay,0,7,0,0,0,0,0,0,"{""null"": 7}"
2024-06-12,86505500,NivelManual,0,7,0,0,0,0,0,0,"{""null"": 7}"
2024-06-12,86505500,ChuvaAcumAdotada,0,7,0,0,0,0,0,0,"{""null"": 7}"
2024-06-12,86510000,NivelFinal,0,0,960,960,0,0,0,0,"{""Dado aprovado"": 960}"
2024-06-12,86510000,ChuvaFinal,0,0,960,960,0,0,0,768,"{""Dado aprovado"": 960}"
2024-06-12,86510000,VazaoFinal,0,0,960,960,0,0,0,0,"{""Dado aprovado"": 960}"
2024-06-12,86510000,NivelSensor,0,0,960,960,0,0,0,0,"{""Dado aprovado"": 960}"
2024-06-12,86510000,NivelDisplay,0,960,0,0,0,0,0,0,"{""null"": 960}"
2024-06-12,86510000,NivelManual,0,960,0,0,0,0,0,0,"{""null"": 960}"
2024-06-12,86510000,ChuvaAcumAdotada,0,0,960,960,0,0,0,0,"{""Dado aprovado"": 960}"
