year,station,field,rows,field_absent,empty_values,nonempty_nonnumeric_or_nonfinite,numeric,approved_numeric,suspect_numeric,numeric_missing_qc,numeric_other_qc,negative_numeric,zero_numeric
2022,86163000,NivelFinal,1480,0,0,0,1480,1480,0,0,0,0,0
2022,86163000,VazaoFinal,1480,0,580,0,900,900,0,0,0,0,0
2022,86200900,ChuvaAcumAdotada,1511,0,1511,0,0,0,0,0,0,0,0
2022,86200900,ChuvaFinal,1511,0,1511,0,0,0,0,0,0,0,0
2022,86200900,NivelSensor,1511,0,0,0,1511,1511,0,0,0,0,0
2022,86200900,NivelDisplay,1511,0,1511,0,0,0,0,0,0,0,0
2022,86200900,NivelManual,1511,0,1511,0,0,0,0,0,0,0,0
2022,86200900,NivelFinal,1511,0,0,0,1511,1511,0,0,0,0,0
2022,86200900,VazaoFinal,1511,0,1511,0,0,0,0,0,0,0,0
2022,86280500,ChuvaAcumAdotada,1276,0,1276,0,0,0,0,0,0,0,0
2022,86280500,ChuvaFinal,1276,0,0,0,1276,1276,0,0,0,0,1110
2022,86280500,NivelSensor,1276,0,0,0,1276,1276,0,0,0,0,0
2022,86280500,NivelDisplay,1276,0,1276,0,0,0,0,0,0,0,0
2022,86280500,NivelManual,1276,0,1276,0,0,0,0,0,0,0,0
2022,86280500,NivelFinal,1276,0,0,0,1276,1276,0,0,0,0,0
2022,86280500,VazaoFinal,1276,0,1276,0,0,0,0,0,0,0,0
2022,86298000,ChuvaAcumAdotada,1522,0,1522,0,0,0,0,0,0,0,0
2022,86298000,ChuvaFinal,1522,0,0,0,1522,1522,0,0,0,0,1517
2022,86298000,NivelSensor,1522,0,0,0,1522,1522,0,0,0,0,0
2022,86298000,NivelDisplay,1522,0,1522,0,0,0,0,0,0,0,0
2022,86298000,NivelManual,1522,0,1522,0,0,0,0,0,0,0,0
2022,86298000,NivelFinal,1522,0,0,0,1522,1522,0,0,0,0,0
2022,86298000,VazaoFinal,1522,0,0,0,1522,1522,0,0,0,0,0
2022,86403000,ChuvaAcumAdotada,1536,0,1536,0,0,0,0,0,0,0,0
2022,86403000,ChuvaFinal,1536,0,0,0,1536,1536,0,0,0,0,1260
2022,86403000,NivelSensor,1536,0,0,0,1536,1536,0,0,0,0,0
2022,86403000,NivelDisplay,1536,0,1536,0,0,0,0,0,0,0,0
2022,86403000,NivelManual,1536,0,1536,0,0,0,0,0,0,0,0
2022,86403000,NivelFinal,1536,0,0,0,1536,1536,0,0,0,0,0
2022,86403000,VazaoFinal,1536,0,0,0,1536,1536,0,0,0,0,1
2022,86410800,ChuvaAcumAdotada,1535,0,1535,0,0,0,0,0,0,0,0
2022,86410800,ChuvaFinal,1535,0,0,0,1535,1535,0,0,0,0,1210
2022,86410800,NivelSensor,1535,0,0,0,1535,1535,0,0,0,0,0
2022,86410800,NivelDisplay,1535,0,1535,0,0,0,0,0,0,0,0
2022,86410800,NivelManual,1535,0,1535,0,0,0,0,0,0,0,0
2022,86410800,NivelFinal,1535,0,0,0,1535,1535,0,0,0,0,0
2022,86410800,VazaoFinal,1535,0,1535,0,0,0,0,0,0,0,0
2022,86447000,ChuvaAcumAdotada,1531,0,1531,0,0,0,0,0,0,0,0
2022,86447000,ChuvaFinal,1531,0,0,0,1531,1531,0,0,0,0,1252
2022,86447000,NivelSensor,1531,0,1,0,1530,1530,0,0,0,0,0
2022,86447000,NivelDisplay,1531,0,1531,0,0,0,0,0,0,0,0
2022,86447000,NivelManual,1531,0,1531,0,0,0,0,0,0,0,0
2022,86447000,NivelFinal,1531,0,1,0,1530,1530,0,0,0,0,0
2022,86447000,VazaoFinal,1531,0,19,0,1512,1512,0,0,0,0,0
2022,86448000,ChuvaAcumAdotada,1435,0,1435,0,0,0,0,0,0,0,0
2022,86448000,ChuvaFinal,1435,0,0,0,1435,1435,0,0,0,0,1219
2022,86448000,NivelSensor,1435,0,0,0,1435,1435,0,0,0,0,4
2022,86448000,NivelDisplay,1435,0,1435,0,0,0,0,0,0,0,0
2022,86448000,NivelManual,1435,0,1435,0,0,0,0,0,0,0,0
2022,86448000,NivelFinal,1435,0,0,0,1435,1435,0,0,0,0,4
2022,86448000,VazaoFinal,1435,0,0,0,1435,1435,0,0,0,0,4
2022,86450000,ChuvaAcumAdotada,1522,0,1522,0,0,0,0,0,0,0,0
2022,86450000,ChuvaFinal,1522,0,0,0,1522,1522,0,0,0,0,1278
2022,86450000,NivelSensor,1522,0,0,0,1522,1522,0,0,0,0,0
2022,86450000,NivelDisplay,1522,0,1522,0,0,0,0,0,0,0,0
2022,86450000,NivelManual,1522,0,1522,0,0,0,0,0,0,0,0
2022,86450000,NivelFinal,1522,0,0,0,1522,1522,0,0,0,0,0
2022,86450000,VazaoFinal,1522,0,1,0,1521,1521,0,0,0,0,0
2022,86471000,ChuvaAcumAdotada,1519,0,1519,0,0,0,0,0,0,0,0
2022,86471000,ChuvaFinal,1519,0,0,0,1519,1519,0,0,0,0,1255
2022,86471000,NivelSensor,1519,0,0,0,1519,1519,0,0,0,0,0
2022,86471000,NivelDisplay,1519,0,1519,0,0,0,0,0,0,0,0
2022,86471000,NivelManual,1519,0,1519,0,0,0,0,0,0,0,0
2022,86471000,NivelFinal,1519,0,0,0,1519,1519,0,0,0,0,0
2022,86471000,VazaoFinal,1519,0,10,0,1509,1509,0,0,0,0,0
2022,86472000,ChuvaAcumAdotada,6144,0,17,0,6127,6127,0,0,0,0,156
2022,86472000,ChuvaFinal,6144,0,17,0,6127,6127,0,0,0,0,5495
2022,86472000,NivelSensor,6144,0,14,0,6130,1831,3,4296,0,0,0
2022,86472000,NivelDisplay,6144,0,6142,0,2,0,0,0,2,0,2
2022,86472000,NivelManual,6144,0,6144,0,0,0,0,0,0,0,0
2022,86472000,NivelFinal,6144,0,3032,0,3112,3109,2,0,1,0,0
2022,86472000,VazaoFinal,6144,0,3033,0,3111,3109,2,0,0,0,0
2022,86472600,ChuvaAcumAdotada,0,0,0,0,0,0,0,0,0,0,0
2022,86472600,ChuvaFinal,0,0,0,0,0,0,0,0,0,0,0
2022,86472600,NivelSensor,0,0,0,0,0,0,0,0,0,0,0
2022,86472600,NivelDisplay,0,0,0,0,0,0,0,0,0,0,0
2022,86472600,NivelManual,0,0,0,0,0,0,0,0,0,0,0
2022,86472600,NivelFinal,0,0,0,0,0,0,0,0,0,0,0
2022,86472600,VazaoFinal,0,0,0,0,0,0,0,0,0,0,0
2022,86479000,ChuvaAcumAdotada,1522,0,1522,0,0,0,0,0,0,0,0
2022,86479000,ChuvaFinal,1522,0,1522,0,0,0,0,0,0,0,0
2022,86479000,NivelSensor,1522,0,0,0,1522,1522,0,0,0,722,0
2022,86479000,NivelDisplay,1522,0,1522,0,0,0,0,0,0,0,0
2022,86479000,NivelManual,1522,0,1522,0,0,0,0,0,0,0,0
2022,86479000,NivelFinal,1522,0,0,0,1522,1522,0,0,0,722,0
2022,86479000,VazaoFinal,1522,0,762,0,760,760,0,0,0,0,15
2022,86488000,ChuvaAcumAdotada,1410,0,1410,0,0,0,0,0,0,0,0
2022,86488000,ChuvaFinal,1410,0,0,0,1410,1410,0,0,0,0,1276
2022,86488000,NivelSensor,1410,0,0,0,1410,1410,0,0,0,0,0
2022,86488000,NivelDisplay,1410,0,1410,0,0,0,0,0,0,0,0
2022,86488000,NivelManual,1410,0,1410,0,0,0,0,0,0,0,0
2022,86488000,NivelFinal,1410,0,0,0,1410,1410,0,0,0,0,0
2022,86488000,VazaoFinal,1410,0,37,0,1373,1373,0,0,0,0,0
2022,86493000,ChuvaAcumAdotada,1492,0,1492,0,0,0,0,0,0,0,0
2022,86493000,ChuvaFinal,1492,0,1492,0,0,0,0,0,0,0,0
2022,86493000,NivelSensor,1492,0,0,0,1492,1492,0,0,0,0,0
2022,86493000,NivelDisplay,1492,0,1492,0,0,0,0,0,0,0,0
2022,86493000,NivelManual,1492,0,1492,0,0,0,0,0,0,0,0
2022,86493000,NivelFinal,1492,0,0,0,1492,1492,0,0,0,0,0
2022,86493000,VazaoFinal,1492,0,1492,0,0,0,0,0,0,0,0
2022,86495500,ChuvaAcumAdotada,1488,0,1488,0,0,0,0,0,0,0,0
2022,86495500,ChuvaFinal,1488,0,1488,0,0,0,0,0,0,0,0
2022,86495500,NivelSensor,1488,0,0,0,1488,1488,0,0,0,0,0
2022,86495500,NivelDisplay,1488,0,1488,0,0,0,0,0,0,0,0
2022,86495500,NivelManual,1488,0,1488,0,0,0,0,0,0,0,0
2022,86495500,NivelFinal,1488,0,0,0,1488,1488,0,0,0,0,0
2022,86495500,VazaoFinal,1488,0,1488,0,0,0,0,0,0,0,0
2022,86500000,ChuvaAcumAdotada,0,0,0,0,0,0,0,0,0,0,0
2022,86500000,ChuvaFinal,0,0,0,0,0,0,0,0,0,0,0
2022,86500000,NivelSensor,0,0,0,0,0,0,0,0,0,0,0
2022,86500000,NivelDisplay,0,0,0,0,0,0,0,0,0,0,0
2022,86500000,NivelManual,0,0,0,0,0,0,0,0,0,0,0
2022,86500000,NivelFinal,0,0,0,0,0,0,0,0,0,0,0
