phase,horizon_h,subset,axis,stratum,scheduled_rows,observed,unknown_truth,pairs,failures,both_hit,hit_to_miss,miss_to_hit,both_miss,control_hits,augmented_hits,control_mae,augmented_mae,sum_absolute_error_change,control_under_halfmeter,augmented_under_halfmeter,control_over_halfmeter,augmented_over_halfmeter
test,3,all,known_trend,stable,1118,1114,4,1114,0,1101,0,0,13,1101,1101,0.06267315110600574,0.06337621548953501,0.7832137232516154,6,6,7,7
test,3,all,known_trend,falling,479,474,5,474,0,457,3,0,14,460,457,0.12626406288117525,0.12533868000625345,-0.43863148271293295,2,2,12,15
test,3,all,known_trend,unknown,27,14,13,4,10,4,0,0,0,4,4,0.11751855948911455,0.1253358129064454,0.03126901366932344,0,0,0,0
test,3,all,upstream,missing,604,586,18,577,9,541,2,0,34,543,541,0.15601394094468674,0.15790010171883423,1.0883147666830935,21,21,13,15
test,3,all,upstream,complete,1361,1356,5,1355,1,1333,3,0,19,1336,1333,0.0778670093027286,0.07880838078055337,1.2755583524525593,6,8,13,14
test,3,all,transition,both_hit,1874,1874,0,1874,0,1874,0,0,0,1874,1874,0.07476888190978606,0.07553764784081071,1.4406673547401696,0,0,0,0
test,3,all,transition,both_miss,53,53,0,53,0,0,0,0,53,0,0,1.00246774938016,1.013393874035128,0.579084606713324,27,27,26,26
test,3,all,transition,hit_to_miss,5,5,0,5,0,0,5,0,0,5,0,0.4564332228387887,0.5252574543752205,0.34412115768215923,0,2,0,3
test,3,all,transition,unknown_truth,23,0,23,0,0,0,0,0,0,0,0,,,0,0,0,0,0
test,3,all,transition,missing_forecast,10,10,0,0,10,0,0,0,0,0,0,,,0,0,0,0,0
test,3,level_ge_7m,total,all,237,237,0,236,1,200,2,0,34,202,200,0.28695729570194706,0.2894561920773366,0.5897395445919118,18,20,16,16
test,3,level_ge_7m,target_level,7to9,120,120,0,120,0,118,0,0,2,118,118,0.1268686098184054,0.13049527160510677,0.435199414404166,2,2,0,0
test,3,level_ge_7m,target_level,atleast9,117,117,0,116,1,82,2,0,32,84,82,0.45256628109871444,0.4538985236003329,0.15454013018774582,16,18,16,16
test,3,level_ge_7m,known_trend,rising,78,78,0,78,0,52,2,0,24,54,52,0.5188085022105849,0.5457530903901897,2.101677878009177,17,19,7,7
test,3,level_ge_7m,known_trend,stable,69,69,0,69,0,66,0,0,3,66,66,0.12782628477932095,0.13733246501549207,0.6559264362958048,1,1,2,2
test,3,level_ge_7m,known_trend,falling,88,88,0,88,0,81,0,0,7,81,81,0.2083440328900921,0.18334112021612992,-2.200256315308671,0,0,7,7
test,3,level_ge_7m,known_trend,unknown,2,2,0,1,1,1,0,0,0,1,1,0.10057006913265099,0.1329616147282522,0.0323915455956012,0,0,0,0
test,3,level_ge_7m,upstream,missing,95,95,0,94,1,72,0,0,22,72,72,0.4571084129277564,0.45141783795967305,-0.5349140469998162,14,14,8,8
test,3,level_ge_7m,upstream,complete,142,142,0,142,0,128,2,0,12,130,128,0.17432204908767907,0.18224214480311382,1.124653591591728,4,6,8,8
test,3,level_ge_7m,transition,both_hit,200,200,0,200,0,200,0,0,0,200,200,0.1318006773454727,0.13350533088001593,0.34093070690864646,0,0,0,0
test,3,level_ge_7m,transition,both_miss,34,34,0,34,0,0,0,0,34,0,0,1.1906537944062645,1.191890468906036,0.04204693299222839,18,18,16,16
test,3,level_ge_7m,transition,missing_forecast,1,1,0,0,1,0,0,0,0,0,0,,,0,0,0,0,0
test,3,level_ge_7m,transition,hit_to_miss,2,2,0,2,0,0,2,0,0,2,0,0.4397786533759911,0.5431596057215096,0.20676190469103695,0,2,0,0
test,4,all,total,all,1964,1941,23,1930,11,1853,7,14,56,1860,1867,0.12530877032224458,0.12587821276004338,1.0990239049516841,29,34,41,29
test,4,all,target_level,below7,1704,1704,0,1694,10,1668,3,11,12,1671,1679,0.08860965723835901,0.08809304809683785,-0.8751358857368889,6,9,17,6
test,4,all,target_level,7to9,120,120,0,120,0,117,1,0,2,118,117,0.1732796034429846,0.1761186935476059,0.3406908125545538,2,3,0,0
test,4,all,target_level,unknown,23,0,23,0,0,0,0,0,0,0,0,,,0,0,0,0,0
test,4,all,target_level,atleast9,117,117,0,116,1,68,3,3,42,71,71,0.6116173702327043,0.6256989993545494,1.6334689781340188,21,22,24,23
test,4,all,known_trend,rising,341,340,1,340,0,305,4,1,30,309,306,0.2291044159836375,0.2376753260985722,2.9141094390777846,21,23,10,11
test,4,all,known_trend,stable,1117,1111,6,1111,0,1092,1,7,11,1093,1099,0.08199299254190659,0.08133715041351218,-0.7286406046461986,5,6,13,6
test,4,all,known_trend,falling,479,475,4,475,0,452,2,6,15,454,458,0.151054100954318,0.14887527804572886,-1.0349408815798453,3,5,18,12
test,4,all,known_trend,unknown,27,15,12,4,11,4,0,0,0,4,4,0.27637815503400465,0.26350214305899045,-0.051504047900056804,0,0,0,0
test,4,all,upstream,missing,604,586,18,576,10,532,3,6,35,535,538,0.18927194852497886,0.19104467430062375,1.0210900467714688,19,22,22,16
test,4,all,upstream,complete,1360,1355,5,1354,1,1321,4,8,21,1325,1329,0.09809843749744773,0.09815599573834895,0.07793385818021514,10,12,19,13
test,4,all,transition,both_hit,1853,1853,0,1853,0,1853,0,0,0,1853,1853,0.08861496706260061,0.08874618225330833,0.24314174838139335,0,0,0,0
test,4,all,transition,both_miss,56,56,0,56,0,0,0,0,56,0,0,1.1816437346580917,1.2150649973731997,1.8715907120460458,29,29,27,27
test,4,all,transition,hit_to_miss,7,7,0,7,0,0,7,0,0,7,0,0.400328476500297,0.6005251636940291,1.4013768103561244,0,5,0,2
test,4,all,transition,miss_to_hit,14,14,0,14,0,0,0,14,0,0,14,0.6191460198984213,0.4464970651961441,-2.4170853658318796,0,0,14,0
test,4,all,transition,unknown_truth,23,0,23,0,0,0,0,0,0,0,0,,,0,0,0,0,0
test,4,all,transition,missing_forecast,11,11,0,0,11,0,0,0,0,0,0,,,0,0,0,0,0
test,4,level_ge_7m,total,all,237,237,0,236,1,185,4,3,44,189,188,0.3887337600006435,0.39709884385949334,1.9741597906885726,23,25,24,23
test,4,level_ge_7m,target_level,7to9,120,120,0,120,0,117,1,0,2,118,117,0.1732796034429846,0.1761186935476059,0.3406908125545538,2,3,0,0
test,4,level_ge_7m,target_level,atleast9,117,117,0,116,1,68,3,3,42,71,71,0.6116173702327043,0.6256989993545494,1.6334689781340188,21,22,24,23
test,4,level_ge_7m,known_trend,rising,81,81,0,81,0,49,4,0,28,53,49,0.63078940252498,0.6837086809371895,4.28646155138896,20,22,8,10
test,4,level_ge_7m,known_trend,stable,69,69,0,69,0,64,0,0,5,64,64,0.23599526467723403,0.230698429546232,-0.36548162403913764,3,3,2,2
test,4,level_ge_7m,known_trend,falling,85,85,0,85,0,71,0,3,11,71,74,0.28237409500611005,0.2597429332130214,-1.923648752412534,0,0,14,11
test,4,level_ge_7m,known_trend,unknown,2,2,0,1,1,1,0,0,0,1,1,0.36175441737998426,0.33858303313126825,-0.02317138424871601,0,0,0,0
test,4,level_ge_7m,upstream,missing,96,96,0,95,1,64,1,3,27,65,67,0.6186647960273133,0.6242635532987708,0.5318819407884607,15,16,15,12
test,4,level_ge_7m,upstream,complete,141,141,0,141,0,121,3,0,17,124,121,0.2338156860819653,0.24404460700324265,1.4422778499001119,8,9,9,11
test,4,level_ge_7m,transition,both_hit,185,185,0,185,0,185,0,0,0,185,185,0.16159939288295344,0.15952428323649553,-0.38389528459471656,0,0,0,0
test,4,level_ge_7m,transition,both_miss,44,44,0,44,0,0,0,0,44,0,0,1.3320978653366042,1.3710797496677227,1.7152029105692055,23,23,21,21
test,4,level_ge_7m,transition,hit_to_miss,4,4,0,4,0,0,4,0,0,4,0,0.41684480934518087,0.6236088644246807,0.8270562203179992,0,2,0,2
test,4,level_ge_7m,transition,missing_forecast,1,1,0,0,1,0,0,0,0,0,0,,,0,0,0,0,0
test,4,level_ge_7m,transition,miss_to_hit,3,3,0,3,0,0,0,3,0,0,3,0.5218647882047183,0.4604634363367464,-0.1842040556039155,0,0,3,0
test,5,all,total,all,1963,1940,23,1928,12,1813,9,15,91,1822,1828,0.1664160549367453,0.16018541111219706,-12.01268129372904,50,45,56,55
test,5,all,target_level,below7,1703,1703,0,1692,11,1651,7,8,26,1658,1659,0.11549630982088853,0.11247670194253263,-5.109176530178184,15,16,19,17
test,5,all,target_level,7to9,120,120,0,120,0,106,2,5,7,108,111,0.24661389415769705,0.25422866088770724,0.913772007601219,10,5,2,4
test,5,all,target_level,unknown,23,0,23,0,0,0,0,0,0,0,0,,,0,0,0,0,0
test,5,all,target_level,atleast9,117,117,0,116,1,56,0,2,58,56,58,0.8261787103636029,0.7587883933709124,-7.817276771152075,25,24,35,34
test,5,all,known_trend,rising,341,340,1,340,0,291,2,4,43,293,295,0.30115748864954833,0.2880232874884898,-4.465628394759907,26,25,21,20
test,5,all,known_trend,stable,1117,1111,6,1111,0,1080,3,7,21,1083,1087,0.1126867345952871,0.10962530626585543,-3.4012468739985993,14,10,14,14
test,5,all,known_trend,falling,478,473,5,473,0,439,4,4,26,443,443,0.19380720258001466,0.18522705431101194,-4.058410131238297,10,10,20,20
test,5,all,known_trend,unknown,27,16,11,4,12,3,0,0,1,3,3,0.397709705371897,0.3758607319388382,-0.08739589373223522,0,0,1,1
test,5,all,upstream,missing,604,586,18,575,11,518,4,5,48,522,523,0.23964339838907064,0.22239660738033948,-9.916904830020432,23,23,30,29
test,5,all,upstream,complete,1359,1354,5,1353,1,1295,5,10,43,1300,1305,0.13529578702463363,0.1337468022029717,-2.095776463708609,27,22,26,26
test,5,all,transition,both_hit,1813,1813,0,1813,0,1813,0,0,0,1813,1813,0.10992106038355827,0.10784525725326977,-3.7634310752130675,0,0,0,0
test,5,all,transition,miss_to_hit,15,15,0,15,0,0,0,15,0,0,15,0.5840290672958057,0.44190866499002085,-2.131806034586775,9,0,6,0
test,5,all,transition,both_miss,91,91,0,91,0,0,0,0,91,0,0,1.196722456234452,1.110904191649853,-7.8094620771985195,41,41,50,50
test,5,all,transition,hit_to_miss,9,9,0,9,0,0,9,0,0,9,0,0.43345465732017496,0.6214566454612108,1.6920178932693233,0,4,0,5
test,5,all,transition,unknown_truth,23,0,23,0,0,0,0,0,0,0,0,,,0,0,0,0,0
test,5,all,transition,missing_forecast,12,12,0,0,12,0,0,0,0,0,0,,,0,0,0,0,0
