model,lead_h,origin,time,forecast_m,lower_m,upper_m,validation_score,parameters,test_mae_m,today_mae_m,today_n,today_p90_abs_m
arvores,4.0,2026-09-21T14:00:00-03:00,2026-09-21T18:00:00-03:00,10.745334032769389,8.238012365789292,13.252655699749486,0.20026788813070903,"(7, 'absolute_error')",0.09730627196245861,1.061119433014428,10,2.5073216669800975
arvores_previsao_chuva,4.0,2026-09-21T14:00:00-03:00,2026-09-21T18:00:00-03:00,10.962079581343298,8.500738457376205,13.423420705310392,0.19625341135977076,"(15, 'absolute_error')",0.09046140692271314,1.0294811194719482,10,2.461341123967093
linear_log,5.0,2026-09-21T14:00:00-03:00,2026-09-21T19:00:00-03:00,16.78330197046753,13.857816345481849,19.708787595453213,0.28745490742355095,"(10.0, False)",0.16240402207802873,1.4115235165009712,9,2.9254856249856815
arvores,5.0,2026-09-21T14:00:00-03:00,2026-09-21T19:00:00-03:00,11.294632438378972,8.454195011068197,14.135069865689747,0.19097167919544292,"(15, 'absolute_error')",0.11487575168934108,1.3802754672527047,9,2.8404374273107753
arvores_previsao_chuva,5.0,2026-09-21T14:00:00-03:00,2026-09-21T19:00:00-03:00,11.872384423586757,9.201023992132619,14.543744855040895,0.20654417197276304,"(15, 'squared_error')",0.11466771010450968,1.3004852359922112,9,2.6713604314541373
linear_log,6.0,2026-09-21T14:00:00-03:00,2026-09-21T20:00:00-03:00,18.424373867906574,15.031989638430598,21.81675809738255,0.3382645092929208,"(10.0, False)",0.21893000673218818,1.7189021128557522,8,3.3923842294759767
arvores,6.0,2026-09-21T14:00:00-03:00,2026-09-21T20:00:00-03:00,12.372695573131036,9.31883307127812,15.426558074983951,0.22986083186775685,"(15, 'squared_error')",0.15272569091516774,1.6301098529247677,8,3.0538625018529157
arvores_previsao_chuva,6.0,2026-09-21T14:00:00-03:00,2026-09-21T20:00:00-03:00,12.28650824677488,9.266071341248999,15.30694515230076,0.2254065064826261,"(15, 'squared_error')",0.1506057162210693,1.532568349569959,8,3.0204369055258806
linear_log,7.0,2026-09-21T14:00:00-03:00,2026-09-21T21:00:00-03:00,19.41299250481983,15.754419303142344,23.071565706497317,0.38103123866319183,"(10.0, False)",0.2709866946045892,2.04881263917865,7,3.6585732016774863
arvores,7.0,2026-09-21T14:00:00-03:00,2026-09-21T21:00:00-03:00,12.75177626961641,9.087651459385409,16.415901079847412,0.2542193987455132,"(7, 'squared_error')",0.20825673994082589,1.9884963689941297,7,3.6641248102310016
arvores_previsao_chuva,7.0,2026-09-21T14:00:00-03:00,2026-09-21T21:00:00-03:00,12.548798783767753,9.065775837253733,16.03182173028177,0.23802162317328665,"(15, 'squared_error')",0.1851052661932503,1.9339807386456733,7,3.4830229465140192
linear_log,8.0,2026-09-21T14:00:00-03:00,2026-09-21T22:00:00-03:00,19.828771706394853,16.040605892529427,23.61693752026028,0.4147938315816052,"(100.0, False)",0.29367200467678717,2.4040711498477885,6,3.788165813865425
arvores,8.0,2026-09-21T14:00:00-03:00,2026-09-21T22:00:00-03:00,13.179702016269122,9.415279292327925,16.944124740210317,0.31587298237808936,"(15, 'squared_error')",0.254154443330002,2.3946198319525713,6,3.764422723941196
