h,model,phase,subset,n,mae_m,p90_abs_m,bias_m,persistence_mae_m
8,propagacao,test,todos,1295,0.44547335018434425,0.9408117644509885,-0.030447481935760416,0.775119691119691
8,propagacao,test,nivel_alvo_maior_igual_9m,70,1.4856529178054856,2.2043139205242754,0.7716659782645141,1.812714285714286
8,propagacao,today,todos,6,2.1335414396750187,3.2969253839850934,-2.1335414396750187,1.8983333333333334
8,propagacao,today,nivel_alvo_maior_igual_9m,0,,,,
9,estatistico,test,todos,1295,0.3157066993645929,0.6392230734897497,-0.03714220678151446,0.8283088803088804
9,estatistico,test,nivel_alvo_maior_igual_9m,70,0.9413493667883321,2.5431419438909573,0.14353129534976913,2.0309999999999997
9,estatistico,today,todos,5,2.832995138855302,3.869735137417395,-2.832995138855302,2.246
9,estatistico,today,nivel_alvo_maior_igual_9m,0,,,,
9,propagacao,test,todos,1295,0.4876335105915664,1.0959071658960178,-0.030668085133402814,0.8283088803088804
9,propagacao,test,nivel_alvo_maior_igual_9m,70,1.5592741489354807,2.279700783085526,0.7438292480317223,2.0309999999999997
9,propagacao,today,todos,5,2.450126109223766,3.286147040743191,-2.450126109223766,2.246
9,propagacao,today,nivel_alvo_maior_igual_9m,0,,,,
10,estatistico,test,todos,1295,0.36294016766030485,0.7427146507723764,-0.06192623354925176,0.8722548262548262
10,estatistico,test,nivel_alvo_maior_igual_9m,70,0.9359667334266831,2.1603736571045316,-0.07235458187541442,2.249285714285714
10,estatistico,today,todos,4,3.1506670086910864,3.860994353389228,-3.1506670086910864,2.5949999999999998
10,estatistico,today,nivel_alvo_maior_igual_9m,0,,,,
10,propagacao,test,todos,1295,0.5388531110115884,1.1906925566696458,-0.031817758610303795,0.8722548262548262
10,propagacao,test,nivel_alvo_maior_igual_9m,70,1.6264718551152706,2.368098481925575,0.7032296791716294,2.249285714285714
10,propagacao,today,todos,4,2.7851338021963032,3.3936621035060957,-2.7851338021963032,2.5949999999999998
10,propagacao,today,nivel_alvo_maior_igual_9m,0,,,,
11,estatistico,test,todos,1295,0.4089963492141517,0.8073512827596236,-0.030929457358597794,0.9091042471042471
11,estatistico,test,nivel_alvo_maior_igual_9m,70,1.1867706245812324,3.3411227948741993,0.14214303756906396,2.4697142857142866
11,estatistico,today,todos,3,3.5290802493140228,4.017518142905542,-3.5290802493140228,2.903333333333333
11,estatistico,today,nivel_alvo_maior_igual_9m,0,,,,
11,propagacao,test,todos,1295,0.5920589081479127,1.2761575663440385,-0.03570896851386138,0.9091042471042471
11,propagacao,test,nivel_alvo_maior_igual_9m,70,1.70707265558563,2.4613175638310736,0.6414503081073056,2.4697142857142866
11,propagacao,today,todos,3,3.02481171416337,3.387692590603143,-3.02481171416337,2.903333333333333
11,propagacao,today,nivel_alvo_maior_igual_9m,0,,,,
12,estatistico,test,todos,1295,0.4457057714760801,0.8879060500696959,-0.04716724062260938,0.9401235521235521
12,estatistico,test,nivel_alvo_maior_igual_9m,70,1.3579320129138017,3.5073489072986335,0.056718019445097245,2.692714285714286
12,estatistico,today,todos,2,3.6843581231719362,3.854265403942706,-3.6843581231719362,3.2
12,estatistico,today,nivel_alvo_maior_igual_9m,0,,,,
12,propagacao,test,todos,1295,0.6227752145603715,1.299948777041706,-0.031131652404908446,0.9401235521235521
12,propagacao,test,nivel_alvo_maior_igual_9m,70,1.721609733510434,2.3981747236685096,0.48485735929155904,2.692714285714286
12,propagacao,today,todos,2,3.1130570184954065,3.1993454315965035,-3.1130570184954065,3.2
12,propagacao,today,nivel_alvo_maior_igual_9m,0,,,,
